Real Det Return,Running Update Time,Running Forward KL,Reward Loss,Running Reverse KL,Running Env Steps,Real Sto Return,Itration
257.63,0,32.5797,347.39520263671875,33.3949,0,244.54,0
299.62,1,30.4298,202.63018798828125,29.6902,5000,312.37,1
337.6,2,29.0081,290.0582580566406,26.2328,10000,320.3,2
292.08,3,30.1993,95.55511474609375,54.7365,15000,327.55,3
438.54,4,28.6346,100.86686706542969,29.5697,20000,422.05,4
726.58,5,26.558,212.6228790283203,18.5094,25000,713.26,5
877.67,6,26.0042,32.221492767333984,23.4653,30000,767.45,6
771.72,7,26.3893,-4.441285133361816,27.4612,35000,771.12,7
889.21,8,26.216,285.5238342285156,17.2814,40000,703.28,8
684.1,9,26.1705,-212.0857696533203,49.2941,45000,772.9,9
781.19,10,25.1824,-233.22158813476562,45.015,50000,754.36,10
795.81,11,26.085,-167.20736694335938,41.9704,55000,874.31,11
815.24,12,25.7602,-278.19207763671875,38.5141,60000,1070.09,12
894.19,13,25.5315,-337.40185546875,42.61,65000,864.95,13
1114.03,14,24.3893,-365.87030029296875,35.6039,70000,1007.23,14
3047.55,15,23.6087,-243.9544677734375,28.1969,75000,2221.29,15
2788.75,16,22.5967,-268.8953552246094,26.4472,80000,1728.88,16
3004.93,17,22.7739,-347.588623046875,31.0466,85000,2121.03,17
2982.0,18,22.0026,-159.2763214111328,18.2931,90000,2775.92,18
3137.85,19,22.6866,-150.59751892089844,19.6872,95000,2690.56,19
3007.09,20,24.0009,-256.4642333984375,24.2305,100000,2960.79,20
3110.37,21,23.0514,-38.18124008178711,14.467,105000,3089.93,21
3242.63,22,22.3023,-6.717718601226807,14.4268,110000,3127.74,22
3232.37,23,23.3174,-387.8858947753906,21.7361,115000,2834.48,23
3244.82,24,23.1,-362.9571228027344,18.9265,120000,1981.4,24
3306.9,25,22.4808,-144.6144256591797,16.3884,125000,2639.63,25
3221.07,26,23.0369,-107.5416259765625,15.9093,130000,3003.56,26
3190.82,27,23.7081,-242.20623779296875,18.3994,135000,2874.35,27
3202.26,28,24.6335,-62.15500259399414,16.8502,140000,3238.6,28
3266.92,29,23.0505,-128.9943084716797,15.5256,145000,2918.86,29
3226.54,30,23.5512,-177.5079345703125,16.7001,150000,2873.69,30
1519.59,31,23.8409,-499.03857421875,20.8454,155000,1963.16,31
3301.19,32,24.1141,-387.7500915527344,20.0803,160000,2679.29,32
3284.21,33,24.0104,-452.8451843261719,20.0611,165000,2315.22,33
3260.6,34,24.0679,-185.1651153564453,16.5146,170000,3059.22,34
3311.52,35,23.8656,-115.1955795288086,15.2981,175000,3278.66,35
3249.98,36,23.1833,-212.84686279296875,14.8445,180000,2960.09,36
3233.04,37,23.7207,-235.7224884033203,16.0076,185000,2843.47,37
3306.51,38,23.9684,-360.4732666015625,16.8145,190000,2444.22,38
2876.92,39,24.0768,-466.47137451171875,14.8161,195000,2218.66,39
3113.61,40,23.1323,-387.45074462890625,15.1339,200000,2581.99,40
3168.81,41,23.532,-242.20819091796875,14.6421,205000,2504.84,41
3287.56,42,22.6978,-334.9229736328125,15.7474,210000,2783.88,42
3083.66,43,24.0107,-492.06591796875,16.9144,215000,2214.7,43
3295.1,44,24.0467,-206.5548553466797,16.0813,220000,3268.72,44
3346.96,45,23.7371,-314.8480224609375,15.5707,225000,3084.93,45
3271.52,46,22.9621,-246.4541778564453,14.408,230000,3078.47,46
3354.93,47,23.2112,-203.773681640625,15.9253,235000,3325.41,47
3272.21,48,22.0296,-328.738037109375,13.4824,240000,2845.19,48
3315.97,49,23.3112,-274.1005859375,15.4226,245000,2926.6,49
3228.96,50,23.2299,-349.9657287597656,14.2291,250000,2658.64,50
2928.32,51,23.3603,-555.0807495117188,14.5325,255000,2218.99,51
1486.64,52,23.8994,-679.6096801757812,15.2396,260000,1998.04,52
3273.67,53,23.7608,-375.1571960449219,13.8872,265000,3042.3,53
3316.31,54,23.7488,-489.9376525878906,14.4406,270000,2477.25,54
3287.5,55,23.0326,-352.5975646972656,15.0628,275000,3080.72,55
3353.03,56,23.3507,-303.4607238769531,15.235,280000,3238.0,56
3289.04,57,23.4551,-377.9117431640625,14.2455,285000,3177.66,57
3373.98,58,22.3124,-350.9875183105469,13.8205,290000,3270.94,58
3361.09,59,22.4466,-376.4327392578125,13.9846,295000,2687.45,59
3368.36,60,21.6811,-428.2117614746094,13.7124,300000,3193.29,60
3275.59,61,23.8797,-515.2498168945312,14.3181,305000,2790.67,61
3371.19,62,22.4616,-479.7154541015625,13.9835,310000,3146.15,62
3423.09,63,22.2719,-376.3018493652344,15.1777,315000,3369.29,63
3404.98,64,23.1292,-584.8316650390625,18.2738,320000,2632.7,64
3414.57,65,22.9946,-416.74530029296875,15.635,325000,3401.63,65
3411.92,66,22.5501,-427.82684326171875,14.8702,330000,3359.94,66
3390.29,67,23.586,-716.251220703125,14.7802,335000,2445.71,67
3390.6,68,22.3942,-472.5399169921875,14.6738,340000,2447.88,68
3425.99,69,22.794,-468.50628662109375,15.8755,345000,2480.33,69
3382.44,70,22.1686,-586.1600341796875,14.6731,350000,2828.49,70
3420.72,71,23.7545,-910.5980224609375,19.1156,355000,2430.29,71
3402.11,72,22.3947,-543.4916381835938,15.272,360000,2988.4,72
2657.58,73,23.7928,-762.6221923828125,16.7192,365000,1860.14,73
3052.25,74,23.0379,-865.380859375,16.5156,370000,2355.86,74
3445.33,75,22.4541,-705.2025756835938,20.7604,375000,3023.1,75
3447.62,76,21.396,-462.79742431640625,14.8388,380000,3379.82,76
3513.17,77,22.7562,-548.453369140625,15.7475,385000,3184.89,77
3497.83,78,22.0342,-530.366943359375,16.023,390000,3409.95,78
3450.91,79,21.8989,-678.9058837890625,19.5626,395000,3065.42,79
3360.76,80,22.635,-781.5560913085938,21.8055,400000,3066.16,80
3400.16,81,22.4994,-808.8921508789062,16.0653,405000,2864.28,81
3435.81,82,21.5512,-497.7572021484375,14.8845,410000,3390.07,82
3481.93,83,22.364,-529.2420654296875,15.4332,415000,3372.88,83
3511.53,84,21.7629,-627.2597045898438,14.2018,420000,3241.0,84
3266.47,85,22.4526,-814.7401123046875,13.9556,425000,2781.26,85
3182.13,86,22.6752,-884.6362915039062,14.3052,430000,2241.89,86
3335.93,87,21.927,-971.4638671875,18.5804,435000,2546.7,87
3453.06,88,21.837,-563.0159301757812,15.088,440000,3412.6,88
3463.07,89,21.9778,-657.8107299804688,13.8786,445000,2930.89,89
3437.4,90,21.1762,-702.8822631835938,13.6809,450000,3352.26,90
3487.93,91,21.9404,-583.7975463867188,15.5074,455000,3441.47,91
3449.31,92,21.3988,-593.9107666015625,13.8232,460000,3215.67,92
3467.07,93,21.8727,-753.0906372070312,14.1874,465000,3150.38,93
3485.33,94,20.5796,-618.5608520507812,13.858,470000,3239.22,94
3475.27,95,21.4359,-572.6829223632812,14.6644,475000,3394.16,95
3464.45,96,22.0727,-626.170654296875,15.9007,480000,3425.01,96
