Running Reverse KL,Real Sto Return,Running Forward KL,Running Env Steps,Reward Loss,Real Det Return,Itration,Running Update Time
26.3184,220.12,32.7852,0,-235.1551055908203,225.44,0,0
20.0395,240.82,30.7544,5000,-302.4101257324219,237.06,1,1
23.6433,363.95,29.6309,10000,-237.12289428710938,369.09,2,2
44.5051,619.99,25.3192,15000,-467.5523376464844,714.1,3,3
51.2801,654.18,26.4246,20000,-500.4864196777344,586.83,4,4
120.7881,694.38,25.4568,25000,-946.0740966796875,720.31,5,5
60.1717,1120.61,25.5795,30000,-649.3863525390625,1260.96,6,6
23.9215,1292.54,24.333,35000,-445.29669189453125,1474.55,7,7
80.5038,1096.9,25.2676,40000,-827.422607421875,1138.09,8,8
43.0904,866.62,25.2605,45000,-546.7542114257812,867.17,9,9
22.3035,1888.95,25.213,50000,-387.591064453125,3038.78,10,10
16.673,1489.95,24.7136,55000,-336.3531494140625,2043.98,11,11
14.4978,2468.76,24.4935,60000,-418.3782043457031,2980.76,12,12
20.9262,1051.55,25.5185,65000,-550.7476806640625,1106.41,13,13
16.2455,2638.53,25.1242,70000,-364.7416687011719,3050.55,14,14
19.9145,1281.5,24.713,75000,-552.9930419921875,2749.07,15,15
14.4083,1729.85,24.4943,80000,-470.7626953125,1988.8,16,16
15.6682,2715.74,24.8297,85000,-453.1961364746094,2979.3,17,17
15.2711,2355.77,24.2207,90000,-474.2326965332031,2970.45,18,18
14.6456,2774.3,24.5106,95000,-493.4035339355469,3000.65,19,19
13.4329,1976.99,24.322,100000,-656.1445922851562,1110.03,20,20
16.5848,2547.05,24.466,105000,-596.2308349609375,2648.42,21,21
13.8931,2340.01,24.7128,110000,-609.6348266601562,3044.41,22,22
14.7041,2540.06,24.4603,115000,-584.2244873046875,3098.63,23,23
16.4368,2855.62,24.7495,120000,-593.181396484375,3130.13,24,24
15.5066,2604.25,24.9663,125000,-671.7804565429688,3099.37,25,25
14.2509,2338.82,23.7432,130000,-702.4617309570312,3086.85,26,26
13.6264,1902.97,24.0952,135000,-754.5274047851562,3083.04,27,27
