Real Det Return,Running Env Steps,Real Sto Return,Reward Loss,Running Reverse KL,Itration,Running Update Time,Running Forward KL
221.89,0,221.76,429.3684387207031,19.0698,0,0,32.7175
320.92,5000,306.6,537.826904296875,38.8003,1,1,30.3104
284.94,10000,312.27,626.8111572265625,27.5124,2,2,30.5379
368.62,15000,359.46,446.05291748046875,68.0943,3,3,31.7865
369.91,20000,356.5,345.63592529296875,42.3861,4,4,29.5603
371.13,25000,365.12,340.4372863769531,93.6055,5,5,29.8009
375.5,30000,364.51,527.8569946289062,38.5164,6,6,29.7003
392.58,35000,373.93,229.50509643554688,70.6343,7,7,29.5031
356.01,40000,348.61,214.40634155273438,59.4174,8,8,30.655
403.27,45000,384.23,481.63507080078125,15.3247,9,9,29.6332
379.79,50000,384.03,561.3673095703125,17.5497,10,10,30.642
443.47,55000,434.09,241.20069885253906,17.7825,11,11,29.2037
423.5,60000,416.73,12.536799430847168,24.5699,12,12,30.7815
682.82,65000,579.5,-54.911869049072266,35.9672,13,13,25.975
566.19,70000,545.14,-184.38067626953125,56.7367,14,14,27.2352
936.18,75000,693.95,-79.29547119140625,89.7678,15,15,24.6649
601.77,80000,585.18,-168.51060485839844,111.8543,16,16,26.6991
605.72,85000,616.95,-367.702880859375,70.2364,17,17,27.1444
763.66,90000,745.98,-340.1929931640625,42.7181,18,18,25.8712
874.95,95000,786.19,-317.2783508300781,35.7419,19,19,24.906
938.92,100000,842.12,-353.115478515625,45.5001,20,20,24.9497
982.2,105000,944.07,-384.4215393066406,29.6118,21,21,23.9898
986.72,110000,923.6,-191.4244842529297,14.5874,22,22,24.079
1128.76,115000,1232.06,-411.5392150878906,16.6001,23,23,25.0191
1132.2,120000,1187.62,-457.4981384277344,16.3902,24,24,24.3102
3063.16,125000,2685.25,-336.27862548828125,15.9841,25,25,24.9655
3059.26,130000,2836.92,-423.30157470703125,15.2531,26,26,24.4865
3125.82,135000,2332.84,-442.7566833496094,34.721,27,27,24.0579
3094.03,140000,2782.4,-415.40240478515625,17.4507,28,28,23.1686
2976.19,145000,3038.05,-428.4438171386719,15.0384,29,29,24.4032
3050.64,150000,2959.87,-441.6560363769531,14.8025,30,30,23.9416
1762.98,155000,1442.47,-522.183349609375,41.3338,31,31,23.4308
2987.1,160000,2376.05,-591.8523559570312,15.0384,32,32,23.6359
2265.64,165000,1367.11,-744.6589965820312,50.2929,33,33,23.7538
1182.03,170000,1136.14,-557.8135986328125,35.789,34,34,24.1147
1610.36,175000,1309.51,-544.9066162109375,15.7364,35,35,23.6487
1346.49,180000,1300.14,-788.3275146484375,49.7721,36,36,24.1968
1693.12,185000,1303.8,-777.2214965820312,30.9619,37,37,23.446
1905.76,190000,1571.05,-590.7108764648438,15.8897,38,38,22.8761
1829.89,195000,1395.21,-761.3468627929688,41.0636,39,39,23.6935
1318.18,200000,1220.53,-769.01416015625,47.612,40,40,24.0191
1603.13,205000,1339.89,-848.0774536132812,38.8631,41,41,23.8126
3226.99,210000,1797.07,-834.291015625,29.7953,42,42,23.564
2315.47,215000,1612.54,-488.9215087890625,12.5758,43,43,22.0953
2082.08,220000,1511.43,-893.0575561523438,35.2192,44,44,23.0714
1505.1,225000,1435.49,-960.2520141601562,18.731,45,45,22.7424
3247.91,230000,2645.95,-698.7404174804688,14.8542,46,46,22.7753
3053.17,235000,2054.1,-993.3236083984375,19.6021,47,47,23.2276
1905.01,240000,1435.26,-951.864013671875,17.3776,48,48,22.5403
1291.56,245000,1645.13,-936.1594848632812,12.9945,49,49,22.8518
1497.82,250000,1462.94,-1047.7017822265625,16.7546,50,50,22.8509
3261.82,255000,2468.86,-1195.19384765625,19.9162,51,51,22.3792
2077.2,260000,1548.26,-1227.461669921875,18.5455,52,52,22.7252
1267.56,265000,1292.63,-1224.604736328125,16.3306,53,53,23.516
3050.52,270000,1659.54,-1076.455322265625,13.6579,54,54,22.6123
1685.45,275000,1272.85,-1242.0029296875,21.2946,55,55,24.0043
2231.29,280000,1693.76,-1179.4295654296875,15.2327,56,56,22.9722
2907.7,285000,1748.03,-1214.4200439453125,16.3286,57,57,23.2043
3262.17,290000,2490.08,-1073.6290283203125,17.6195,58,58,23.1588
2920.21,295000,1516.54,-1203.60498046875,16.6788,59,59,21.99
2879.88,300000,1609.32,-1510.117431640625,15.8356,60,60,23.5293
3123.2,305000,2977.83,-851.6799926757812,16.3975,61,61,22.7676
3248.39,310000,1938.49,-1619.17138671875,33.1822,62,62,23.146
3188.02,315000,2042.41,-1584.193115234375,17.4808,63,63,23.1225
2770.06,320000,2903.92,-816.1649169921875,12.6686,64,64,22.4322
3071.49,325000,2760.42,-1066.46875,16.6539,65,65,22.7755
2988.91,330000,2095.62,-1523.2913818359375,20.6869,66,66,23.7503
3226.06,335000,2110.25,-1497.3504638671875,21.4186,67,67,22.8521
3410.25,340000,2889.88,-1266.349853515625,15.1165,68,68,22.6773
3260.27,345000,2242.13,-1532.7242431640625,19.0351,69,69,22.3412
3229.08,350000,2858.62,-1146.606689453125,15.1632,70,70,22.5868
3002.11,355000,3149.56,-983.679931640625,13.7661,71,71,23.1917
3333.16,360000,3201.11,-1153.4163818359375,15.5178,72,72,22.9782
3178.04,365000,3120.19,-1190.7982177734375,15.2336,73,73,23.3035
3412.41,370000,2850.34,-1358.2603759765625,17.3727,74,74,22.0923
3221.22,375000,3155.89,-1107.948486328125,15.3301,75,75,22.9261
3159.49,380000,3187.0,-1123.39599609375,13.9672,76,76,23.249
3206.63,385000,3297.87,-1055.6807861328125,15.8674,77,77,23.5479
3341.25,390000,3382.09,-1161.7498779296875,14.6037,78,78,22.2919
3253.9,395000,2884.23,-1131.7877197265625,15.5577,79,79,23.0311
3257.65,400000,3326.78,-1204.2752685546875,15.427,80,80,23.2328
3216.78,405000,3287.85,-1213.2685546875,14.4103,81,81,22.8112
3255.4,410000,3320.8,-1192.8385009765625,15.8055,82,82,23.3386
3411.22,415000,3262.44,-1181.3291015625,14.9962,83,83,21.8819
3345.9,420000,2394.86,-1263.9122314453125,15.7974,84,84,23.4994
3474.54,425000,3100.69,-1407.5550537109375,16.1166,85,85,20.9487
3460.26,430000,3425.81,-1153.068115234375,14.5757,86,86,21.9687
3221.05,435000,3297.41,-1236.8272705078125,14.6872,87,87,22.0171
3225.88,440000,3283.75,-1151.38427734375,12.8388,88,88,21.3257
3484.76,445000,3457.87,-1057.68798828125,13.913,89,89,20.8215
3391.71,450000,3411.56,-1136.95947265625,14.2256,90,90,21.3916
3464.11,455000,3470.34,-1143.690185546875,14.6137,91,91,20.6961
3289.57,460000,3396.26,-1075.08349609375,12.8835,92,92,19.8426
3471.47,465000,3281.28,-1094.1298828125,13.7358,93,93,20.2226
3451.68,470000,3385.44,-1120.24365234375,14.3013,94,94,20.9793
3450.23,475000,3124.83,-1173.2393798828125,15.0654,95,95,20.5155
3370.56,480000,3440.89,-1240.77197265625,13.8656,96,96,20.1596
3419.79,485000,3505.4,-1401.1552734375,16.337,97,97,20.3874
3533.57,490000,3511.76,-1325.0216064453125,13.6482,98,98,20.3116
3539.59,495000,3189.25,-1343.3468017578125,13.5949,99,99,20.0703
3604.62,500000,3181.78,-1376.1566162109375,12.713,100,100,19.9292
3378.54,505000,3495.92,-1417.828369140625,13.3054,101,101,20.4479
3332.29,510000,3446.02,-1423.241943359375,13.4759,102,102,20.8048
3342.91,515000,3492.9,-1313.721435546875,13.4423,103,103,20.4325
3592.14,520000,2878.35,-1392.3004150390625,12.9655,104,104,19.3552
3575.1,525000,3127.31,-1538.242431640625,12.963,105,105,19.122
3378.71,530000,3445.82,-1543.450927734375,13.0661,106,106,20.183
3392.94,535000,3515.14,-1368.509765625,13.3382,107,107,19.7145
3595.44,540000,2546.24,-1726.6221923828125,13.0974,108,108,20.1804
3362.11,545000,3461.93,-1487.3497314453125,12.9481,109,109,19.6254
3400.21,550000,3495.4,-1364.7059326171875,12.1759,110,110,19.2751
3504.88,555000,3492.32,-1451.295166015625,14.429,111,111,20.7853
3557.12,560000,2660.46,-1949.452880859375,14.2579,112,112,20.4396
3598.97,565000,2753.32,-1684.2366943359375,12.9353,113,113,19.8269
3591.9,570000,3316.83,-1610.0675048828125,13.1405,114,114,19.354
3497.63,575000,3070.66,-1953.76123046875,13.2808,115,115,20.5994
3590.63,580000,3450.77,-1596.1143798828125,12.5964,116,116,19.6555
3506.0,585000,3513.67,-1543.63232421875,14.0314,117,117,20.6285
3577.8,590000,3385.94,-1565.7515869140625,13.384,118,118,19.6017
3566.26,595000,3559.75,-1749.950439453125,15.2344,119,119,20.2011
3496.62,600000,2710.14,-1951.3538818359375,14.4429,120,120,19.965
3543.23,605000,3449.51,-1690.0340576171875,14.9383,121,121,19.3557
3522.46,610000,2943.78,-1832.157958984375,13.3275,122,122,20.9536
3569.09,615000,3343.2,-1659.2508544921875,13.4324,123,123,19.9765
3521.63,620000,3506.57,-1636.044189453125,13.5393,124,124,19.9785
3639.36,625000,3580.86,-1771.3426513671875,13.2638,125,125,20.2178
3577.58,630000,3210.83,-1617.460205078125,13.3021,126,126,19.8154
3502.85,635000,3504.54,-1806.000244140625,13.9158,127,127,20.6718
3580.28,640000,3390.94,-1732.929443359375,12.8049,128,128,19.7829
3572.16,645000,3376.01,-1926.9376220703125,16.0155,129,129,19.5433
3573.43,650000,3547.06,-1882.4798583984375,13.9076,130,130,19.5126
3577.99,655000,3371.11,-1886.981689453125,13.1907,131,131,19.8821
3506.82,660000,3326.26,-2035.543701171875,13.9927,132,132,20.3412
3490.6,665000,3367.51,-1981.8668212890625,13.7376,133,133,19.9735
3604.35,670000,3407.96,-1881.615966796875,13.0009,134,134,19.384
3530.91,675000,3553.08,-1843.812744140625,14.2357,135,135,20.7782
3519.57,680000,3509.54,-2058.87353515625,14.1159,136,136,20.3193
3573.34,685000,2997.82,-2084.54443359375,13.63,137,137,19.6438
3599.2,690000,3384.05,-1915.603271484375,12.6706,138,138,19.5656
3542.69,695000,3536.2,-2095.171630859375,13.9829,139,139,20.7943
3585.01,700000,3555.21,-2163.883544921875,13.7229,140,140,20.0324
3522.41,705000,3522.33,-2002.2310791015625,13.4185,141,141,20.1338
3555.44,710000,3449.6,-1911.2501220703125,12.7964,142,142,19.1757
3580.15,715000,3312.79,-2061.24658203125,12.5734,143,143,19.716
3580.04,720000,3561.1,-2034.8929443359375,12.7139,144,144,19.9639
3556.49,725000,3528.2,-2163.605224609375,14.1737,145,145,20.4374
3550.7,730000,3543.85,-2185.506591796875,13.4821,146,146,19.7047
3574.18,735000,3095.73,-2290.75732421875,12.7769,147,147,19.9664
3558.15,740000,3520.59,-2252.979248046875,13.3552,148,148,20.3511
3556.04,745000,3521.06,-2166.131103515625,13.1026,149,149,20.1974
3563.03,750000,3310.35,-2330.706298828125,12.7411,150,150,19.3679
3486.03,755000,3494.46,-2219.62841796875,12.5176,151,151,19.898
3627.1,760000,3595.31,-2341.732666015625,13.6755,152,152,20.3638
