Real Sto Return,Running Env Steps,Real Det Return,Running Update Time,Running Forward KL,Reward Loss,Running Reverse KL,Itration
200.62,0,195.85,0,33.3755,-1473.838623046875,20.4775,0
236.1,5000,234.59,1,31.8195,-1571.081298828125,27.377,1
250.74,10000,280.69,2,31.9535,-1638.1793212890625,30.177,2
309.27,15000,242.05,3,32.3445,-1517.877197265625,26.3588,3
381.71,20000,362.43,4,27.1363,-1521.8388671875,17.9063,4
365.69,25000,371.8,5,28.9768,-1484.6962890625,20.4143,5
488.31,30000,495.8,6,25.7477,-1459.8997802734375,20.2845,6
587.6,35000,623.6,7,26.088,-1378.5155029296875,15.8167,7
675.94,40000,725.02,8,25.7736,-1252.3114013671875,13.5157,8
581.19,45000,638.46,9,25.7259,-1296.9566650390625,14.5555,9
635.29,50000,668.9,10,24.2941,-948.8960571289062,13.5553,10
721.49,55000,699.92,11,24.591,-1046.2012939453125,13.6387,11
739.43,60000,705.35,12,24.2683,-819.5982055664062,12.8088,12
738.89,65000,776.97,13,23.1803,-977.1806030273438,12.1151,13
1081.44,70000,1613.69,14,21.7765,-993.4291381835938,11.2265,14
828.54,75000,857.73,15,23.9008,-1113.2255859375,12.5831,15
1015.93,80000,1168.8,16,21.8584,-1276.3497314453125,17.6868,16
1268.37,85000,2562.45,17,21.9765,-1149.4959716796875,16.8981,17
1168.26,90000,1288.22,18,21.9646,-1266.2874755859375,16.5062,18
1153.31,95000,1021.94,19,22.4281,-1086.8504638671875,11.8861,19
1288.03,100000,1431.67,20,21.1933,-1177.039306640625,28.6731,20
1309.37,105000,1160.42,21,21.1797,-1210.73095703125,13.4875,21
2994.57,110000,2923.18,22,20.6035,-337.44879150390625,12.6333,22
1763.2,115000,3100.74,23,19.9388,-644.4198608398438,11.9037,23
2943.43,120000,3049.93,24,20.2393,-251.21157836914062,12.3536,24
2636.85,125000,3064.88,25,19.3557,-202.22030639648438,12.4752,25
2467.19,130000,3205.12,26,19.2525,-382.4244384765625,11.2822,26
1573.46,135000,2958.24,27,20.2647,-1486.035400390625,15.6587,27
1228.54,140000,1370.95,28,19.2289,-1077.4730224609375,11.7037,28
2935.73,145000,3331.28,29,18.7004,-419.1026611328125,12.4907,29
2095.17,150000,3371.32,30,19.4171,-697.9000244140625,12.3702,30
2960.56,155000,3269.45,31,19.5095,-182.09765625,12.4828,31
2983.87,160000,3370.74,32,19.7148,-148.28968811035156,12.7501,32
3017.95,165000,3259.77,33,20.1682,-338.3918151855469,12.018,33
3241.46,170000,3211.48,34,20.0135,-220.0610809326172,12.887,34
3360.4,175000,3357.41,35,18.6733,-223.24261474609375,12.2614,35
2840.33,180000,3334.58,36,18.7691,-263.3141784667969,12.83,36
3208.59,185000,3350.71,37,19.1736,-229.20187377929688,12.9349,37
2195.79,190000,3272.42,38,19.9772,-1168.52099609375,17.9613,38
