Real Det Return,Running Update Time,Reward Loss,Running Forward KL,Running Env Steps,Itration,Real Sto Return,Running Reverse KL
289.32,0,358.9898681640625,447.6012,0,0,283.33,278.0921
308.82,1,84.889892578125,421.6391,5000,1,322.35,290.5635
356.37,2,-655.427978515625,395.996,10000,2,366.15,265.2022
428.76,3,-879.9409790039062,401.3254,15000,3,381.34,265.6224
425.67,4,-991.9986572265625,414.679,20000,4,427.02,276.8854
422.91,5,-1271.5345458984375,392.9292,25000,5,408.8,263.9266
529.45,6,-1456.9447021484375,405.7525,30000,6,419.1,250.7446
446.73,7,-1864.7720947265625,414.5974,35000,7,480.14,261.6733
474.75,8,-1766.71044921875,394.6264,40000,8,458.72,246.2235
538.97,9,-2241.78076171875,393.8105,45000,9,456.32,245.7866
493.03,10,-2481.07958984375,384.6732,50000,10,497.4,258.8866
704.23,11,-2727.135498046875,383.6522,55000,11,547.33,282.04
555.0,12,-2634.954345703125,386.3441,60000,12,502.72,231.5966
643.03,13,-2937.304443359375,367.1899,65000,13,545.04,253.6884
608.33,14,-3298.08837890625,379.5071,70000,14,523.58,263.6097
528.67,15,-3468.453125,371.4973,75000,15,635.19,261.2253
683.76,16,-3751.7607421875,370.4667,80000,16,611.3,269.9101
732.98,17,-3942.005126953125,370.4664,85000,17,624.95,260.5671
572.83,18,-4530.0341796875,370.4912,90000,18,602.47,280.7445
663.68,19,-4155.43603515625,365.4853,95000,19,654.14,254.1991
751.7,20,-4118.4619140625,361.9439,100000,20,661.79,244.7109
683.01,21,-4605.71484375,363.204,105000,21,597.51,256.1962
701.95,22,-5029.3916015625,360.6233,110000,22,702.39,261.8007
649.56,23,-5235.7431640625,365.483,115000,23,620.15,256.9391
688.41,24,-5335.0478515625,356.0694,120000,24,606.43,252.963
733.91,25,-5552.26513671875,356.6201,125000,25,689.25,274.3536
717.28,26,-6010.84423828125,346.5602,130000,26,673.0,266.6854
687.43,27,-6207.806640625,347.9648,135000,27,658.44,264.9042
703.13,28,-6191.47802734375,363.1945,140000,28,591.41,260.143
598.53,29,-6367.353515625,365.7128,145000,29,723.0,266.5094
472.21,30,-6566.8427734375,365.3405,150000,30,598.67,257.7918
802.7,31,-6610.01708984375,365.0918,155000,31,708.83,252.4015
675.37,32,-6535.056640625,356.3697,160000,32,851.42,241.3136
740.93,33,-6741.37646484375,363.0427,165000,33,729.34,246.8855
791.16,34,-6723.02099609375,360.813,170000,34,759.07,253.773
907.22,35,-6827.99072265625,363.1392,175000,35,889.03,242.4804
743.39,36,-7153.53076171875,350.1192,180000,36,877.08,237.1572
664.94,37,-6824.5126953125,348.21,185000,37,705.14,239.649
625.82,38,-8220.8095703125,354.1716,190000,38,697.21,285.2597
604.56,39,-8292.7919921875,349.3847,195000,39,723.64,268.3516
622.25,40,-8316.2421875,346.8325,200000,40,915.19,267.1739
721.3,41,-8288.1474609375,350.6298,205000,41,1031.3,263.4774
455.86,42,-8167.3525390625,392.6978,210000,42,599.53,256.3373
691.27,43,-8926.421875,354.5381,215000,43,762.73,257.8581
774.73,44,-8987.564453125,342.7248,220000,44,838.46,250.2113
722.89,45,-8854.6005859375,334.7639,225000,45,745.28,236.758
755.34,46,-9415.625,342.2261,230000,46,771.42,261.2859
624.78,47,-9446.369140625,348.1299,235000,47,803.29,246.096
902.23,48,-8816.978515625,318.5869,240000,48,1551.72,230.8881
843.93,49,-8517.9140625,349.9518,245000,49,1182.72,227.5274
881.2,50,-9503.1201171875,338.5132,250000,50,1242.64,240.5997
730.97,51,-8592.240234375,331.1907,255000,51,1292.09,206.4907
759.9,52,-9133.2802734375,341.4037,260000,52,1235.86,223.6526
989.06,53,-7588.4873046875,334.9424,265000,53,1201.98,191.1582
730.56,54,-8509.2890625,328.9801,270000,54,1298.57,205.4425
747.74,55,-9160.6279296875,322.9672,275000,55,1426.5,207.7789
733.13,56,-8782.20703125,326.4709,280000,56,1434.34,195.9383
710.88,57,-8837.044921875,320.8698,285000,57,2080.31,202.4868
1257.12,58,-7814.912109375,314.0825,290000,58,2828.21,172.9636
848.7,59,-10093.267578125,325.0774,295000,59,1240.43,231.9791
1291.35,60,-8238.1376953125,317.6557,300000,60,1778.55,182.645
1204.22,61,-5625.66064453125,316.654,305000,61,2739.67,136.0105
1424.41,62,-7396.10400390625,314.5068,310000,62,1546.27,167.8376
1408.99,63,-2979.1689453125,284.7879,315000,63,3293.38,83.3269
600.06,64,-7963.2109375,298.0015,320000,64,2761.9,169.0307
2626.93,65,-5606.53125,292.2217,325000,65,2865.73,117.8959
927.24,66,-4410.0654296875,283.803,330000,66,3175.79,99.1813
2284.65,67,-3145.047607421875,294.3374,335000,67,3186.13,85.8092
1632.18,68,-5984.1640625,283.3411,340000,68,3387.94,123.8899
1801.78,69,-3445.0439453125,287.3452,345000,69,3802.85,95.2043
1058.2,70,-7435.1640625,299.4326,350000,70,3001.52,145.4018
1406.34,71,-5836.11181640625,297.312,355000,71,3279.6,116.5391
2063.37,72,-5071.203125,289.2944,360000,72,3738.93,99.152
768.98,73,-6330.51171875,284.3727,365000,73,2917.94,122.0122
2394.82,74,-3999.0478515625,286.4869,370000,74,3620.01,80.3231
1853.91,75,-6877.41455078125,299.0879,375000,75,2834.1,142.0954
1697.04,76,-6430.99462890625,286.1654,380000,76,2970.52,129.6376
2689.03,77,-6655.185546875,296.5263,385000,77,2927.54,137.9419
2233.1,78,-4484.19091796875,292.5027,390000,78,3403.02,96.0707
2919.62,79,-3485.034912109375,288.3386,395000,79,4312.22,76.8999
3085.44,80,-5440.7861328125,288.0317,400000,80,3762.62,112.2123
2272.18,81,-3817.561767578125,277.5543,405000,81,4555.24,71.7457
1629.0,82,-9282.2470703125,314.1922,410000,82,2009.27,190.4588
2369.37,83,-6365.78173828125,288.112,415000,83,3487.14,120.9345
1597.9,84,-4083.525634765625,289.2371,420000,84,3938.86,89.1587
