Running Reverse KL,Real Sto Return,Reward Loss,Real Det Return,Running Update Time,Running Env Steps,Itration,Running Forward KL
266.7707,310.54,-5710.712890625,323.19,0,0,0,445.2739
303.9528,311.76,-6062.5322265625,286.01,1,5000,1,448.9103
263.0867,364.41,-5901.27392578125,359.25,2,10000,2,444.8087
267.9333,371.3,-6538.92822265625,298.73,3,15000,3,440.523
265.8263,377.42,-6587.9140625,496.76,4,20000,4,452.0992
272.6413,358.17,-6817.130859375,386.8,5,25000,5,435.813
253.149,457.22,-6384.40234375,383.89,6,30000,6,426.0715
258.8435,481.27,-6408.61474609375,452.22,7,35000,7,435.0194
272.9839,441.62,-6667.01904296875,430.26,8,40000,8,433.0693
274.3312,428.42,-7285.46337890625,472.09,9,45000,9,431.9171
262.129,425.38,-7618.23193359375,429.52,10,50000,10,430.9921
252.1044,525.03,-7341.74365234375,595.32,11,55000,11,438.862
284.1354,479.06,-7628.96875,527.03,12,60000,12,432.271
283.152,467.66,-8529.5068359375,425.8,13,65000,13,445.0244
268.4248,486.34,-8329.5625,448.8,14,70000,14,430.1529
272.9127,482.25,-9012.841796875,483.44,15,75000,15,457.2261
253.714,537.75,-8653.3603515625,595.58,16,80000,16,424.462
254.1488,560.88,-8825.580078125,645.97,17,85000,17,403.6428
235.9927,462.93,-8641.033203125,517.2,18,90000,18,430.7273
268.4222,595.49,-9660.00390625,506.53,19,95000,19,412.665
252.8749,572.75,-9043.5654296875,611.37,20,100000,20,416.1303
257.8371,511.14,-9339.4130859375,511.29,21,105000,21,406.5246
256.5213,553.11,-10143.5029296875,599.2,22,110000,22,419.1315
252.6397,614.84,-9989.0634765625,585.83,23,115000,23,410.341
262.3385,539.49,-10439.482421875,528.97,24,120000,24,393.9761
299.192,580.47,-11188.099609375,628.81,25,125000,25,388.3618
245.4344,524.62,-10291.931640625,564.12,26,130000,26,387.1925
279.0457,598.68,-10503.4853515625,631.55,27,135000,27,376.6635
277.7475,625.18,-10780.3232421875,641.3,28,140000,28,392.2835
269.4217,557.34,-10844.138671875,597.55,29,145000,29,387.7981
244.7562,608.44,-10572.9033203125,585.69,30,150000,30,378.2503
278.3968,485.1,-11012.6455078125,570.36,31,155000,31,395.8836
271.6711,620.8,-10923.87109375,680.93,32,160000,32,387.0023
253.1135,657.11,-10789.80859375,605.38,33,165000,33,366.736
248.6282,621.1,-11038.5009765625,663.15,34,170000,34,372.3255
257.9512,701.39,-11222.9716796875,869.13,35,175000,35,371.2846
274.7344,739.16,-11710.7216796875,655.15,36,180000,36,379.4658
245.0152,733.33,-11409.3564453125,773.13,37,185000,37,383.5702
233.39,815.15,-11288.716796875,771.83,38,190000,38,374.5034
247.2105,758.3,-11990.009765625,804.71,39,195000,39,387.0763
256.958,727.62,-11888.880859375,683.8,40,200000,40,389.2128
237.3908,854.16,-11587.7646484375,882.12,41,205000,41,372.3658
259.9094,672.19,-12330.0439453125,928.76,42,210000,42,384.6508
230.6657,819.09,-11594.380859375,770.12,43,215000,43,369.5921
218.9942,901.2,-11397.474609375,697.67,44,220000,44,372.0249
233.1406,699.05,-12205.3037109375,630.34,45,225000,45,388.3422
234.7008,757.36,-11614.2646484375,776.71,46,230000,46,374.3101
256.2764,734.07,-12278.4609375,679.62,47,235000,47,376.0589
223.0776,758.73,-11334.29296875,666.64,48,240000,48,378.683
218.5904,799.1,-11668.8994140625,800.44,49,245000,49,375.7261
226.3741,983.63,-11721.119140625,979.17,50,250000,50,362.1812
240.8306,798.65,-11815.439453125,839.52,51,255000,51,377.4074
205.7078,997.15,-11381.740234375,1149.63,52,260000,52,349.8005
220.9022,771.07,-12396.716796875,650.17,53,265000,53,383.6639
223.4044,889.17,-11461.3193359375,1161.46,54,270000,54,361.0309
216.7392,1163.21,-10916.0498046875,1089.08,55,275000,55,356.6714
230.7016,1074.73,-11968.02734375,1237.31,56,280000,56,344.6664
203.8782,1139.59,-11134.705078125,1034.52,57,285000,57,344.5124
232.9789,957.48,-11821.0498046875,889.54,58,290000,58,351.8654
211.3455,940.81,-11749.21484375,991.99,59,295000,59,332.5702
249.1994,1008.34,-11527.7236328125,1085.09,60,300000,60,356.9794
186.0075,1471.05,-10336.818359375,1211.54,61,305000,61,322.562
193.8135,1609.13,-10952.376953125,1550.51,62,310000,62,343.5905
184.9562,1098.8,-11598.669921875,1193.51,63,315000,63,339.2097
190.9966,1209.14,-11254.375,978.15,64,320000,64,328.7805
208.317,1216.06,-11570.5419921875,1188.57,65,325000,65,348.4386
185.8449,1327.36,-11375.0224609375,931.04,66,330000,66,331.5602
219.0681,952.5,-12182.1328125,1227.1,67,335000,67,360.9294
161.3967,1398.9,-9089.7587890625,1167.32,68,340000,68,313.9418
168.5793,1965.7,-10355.6435546875,1221.43,69,345000,69,303.5616
189.9511,1287.38,-11043.4326171875,1036.74,70,350000,70,335.4829
192.1867,1170.48,-11086.19140625,989.55,71,355000,71,326.3253
219.7905,1109.58,-12671.05859375,956.38,72,360000,72,340.8597
200.553,1492.68,-11527.251953125,1118.19,73,365000,73,331.0609
202.4625,1434.16,-11888.8603515625,1242.07,74,370000,74,359.347
228.6655,1144.08,-12634.123046875,1064.32,75,375000,75,363.804
192.9146,1367.53,-11888.1044921875,1489.65,76,380000,76,341.8251
231.6083,1094.98,-12992.505859375,929.73,77,385000,77,370.8256
210.4303,888.04,-12443.9814453125,809.87,78,390000,78,360.7715
149.6586,2533.17,-8885.9677734375,1560.94,79,395000,79,327.4415
184.5069,1773.97,-10917.35546875,1567.94,80,400000,80,335.6649
173.0951,1944.04,-10701.3515625,1455.79,81,405000,81,325.4465
175.9958,2141.11,-10694.017578125,1229.96,82,410000,82,329.4924
183.2082,1819.67,-10935.5419921875,1287.06,83,415000,83,329.0502
165.055,1819.09,-10124.7763671875,1275.76,84,420000,84,308.3381
187.403,1311.42,-11770.861328125,1035.08,85,425000,85,329.1013
177.6839,1549.93,-10640.166015625,1756.24,86,430000,86,326.1085
178.4387,1855.44,-10997.0703125,1480.9,87,435000,87,315.0328
187.5206,1313.91,-11732.2939453125,1680.92,88,440000,88,331.8931
162.8631,1348.11,-10237.2958984375,1052.21,89,445000,89,308.5133
187.9179,1525.93,-11945.1865234375,1314.21,90,450000,90,326.7339
155.334,2655.56,-8728.2236328125,1772.43,91,455000,91,307.6639
