Real Sto Return,Running Forward KL,Running Reverse KL,Reward Loss,Itration,Running Env Steps,Real Det Return,Running Update Time
363.88,428.0102,247.2703,-666.3965454101562,0,0,476.08,0
432.04,414.0676,313.6944,-1283.4564208984375,1,5000,370.53,1
348.38,430.1275,288.8386,-1919.728515625,2,10000,332.13,2
359.14,415.2473,258.4693,-1109.9176025390625,3,15000,419.04,3
452.85,412.4373,243.5851,-2133.08251953125,4,20000,538.9,4
382.04,425.959,275.2439,-2412.965576171875,5,25000,436.83,5
418.25,421.991,293.0216,-2740.819091796875,6,30000,372.39,6
420.08,415.5046,301.4464,-3157.478271484375,7,35000,340.38,7
481.08,411.8228,289.3774,-3079.34130859375,8,40000,529.06,8
455.65,410.8074,276.9628,-3021.747802734375,9,45000,441.41,9
451.16,415.8587,280.0964,-3481.843017578125,10,50000,514.88,10
508.17,419.8623,280.4716,-4663.9833984375,11,55000,505.48,11
478.65,432.281,260.2007,-4808.9541015625,12,60000,462.66,12
515.21,410.468,285.2246,-5525.833984375,13,65000,514.86,13
509.54,400.6061,276.2581,-4468.9755859375,14,70000,646.72,14
552.93,424.2942,281.1649,-3936.74951171875,15,75000,506.52,15
607.59,405.6247,262.5538,-4367.01611328125,16,80000,633.72,16
538.66,407.3167,263.9224,-5703.48681640625,17,85000,590.55,17
593.62,411.2122,287.9644,-6467.60009765625,18,90000,531.89,18
552.43,412.1237,284.0732,-6417.77783203125,19,95000,462.78,19
564.64,417.3986,272.6771,-5290.07373046875,20,100000,601.99,20
611.58,398.9365,253.8807,-6098.24853515625,21,105000,714.91,21
582.35,391.404,230.7489,-6274.13818359375,22,110000,744.88,22
670.28,390.748,249.8289,-6116.84765625,23,115000,662.27,23
599.19,392.8131,272.9069,-5930.10546875,24,120000,665.09,24
634.21,395.142,260.9852,-7173.279296875,25,125000,814.02,25
606.17,399.2217,268.4209,-6304.24462890625,26,130000,817.98,26
660.39,387.7238,239.1269,-6630.13232421875,27,135000,773.12,27
710.2,394.3792,241.7623,-7124.1728515625,28,140000,676.23,28
743.43,387.6068,255.9242,-8196.359375,29,145000,695.04,29
789.7,396.1141,250.9764,-8174.49658203125,30,150000,659.4,30
661.07,395.1091,264.6614,-9125.7744140625,31,155000,603.98,31
707.49,393.3047,256.6457,-8635.21875,32,160000,795.07,32
788.42,379.8166,263.2938,-8782.8857421875,33,165000,698.38,33
716.42,396.9886,264.5954,-7749.92724609375,34,170000,586.43,34
736.65,371.3855,250.423,-8911.984375,35,175000,772.4,35
745.35,370.8635,240.9133,-8129.4375,36,180000,691.96,36
913.34,376.0917,236.8657,-9067.9404296875,37,185000,851.47,37
810.86,370.6924,242.1505,-9249.7314453125,38,190000,953.85,38
882.48,382.3394,245.1505,-8420.4384765625,39,195000,869.88,39
774.3,374.3123,249.8862,-9744.349609375,40,200000,956.66,40
830.12,381.4429,247.7515,-10108.998046875,41,205000,732.42,41
754.85,386.0496,260.3276,-10464.3935546875,42,210000,708.27,42
1010.43,377.5209,236.2034,-9644.1767578125,43,215000,1111.1,43
1157.87,360.5592,241.9545,-9756.7392578125,44,220000,937.37,44
853.27,362.4404,230.703,-9816.162109375,45,225000,818.83,45
1037.72,354.5377,221.323,-9825.9794921875,46,230000,961.0,46
936.98,371.0982,241.1182,-10997.7978515625,47,235000,679.43,47
1103.93,367.4502,250.9291,-11372.3740234375,48,240000,868.64,48
1162.97,350.6241,238.3907,-10650.2763671875,49,245000,1118.36,49
1152.45,362.9781,236.1085,-10643.7177734375,50,250000,1137.73,50
1285.39,345.5469,211.0796,-9965.099609375,51,255000,1514.18,51
1130.34,343.8081,214.2501,-10356.5859375,52,260000,797.57,52
1122.15,348.6844,194.1628,-9180.36328125,53,265000,967.12,53
1373.96,343.1939,204.8881,-9250.8193359375,54,270000,964.94,54
1808.07,337.6498,204.3721,-8871.8798828125,55,275000,1181.18,55
1074.45,335.6171,211.6446,-10253.5869140625,56,280000,1092.46,56
1343.52,359.3558,233.8589,-11761.103515625,57,285000,1332.58,57
1267.26,341.9953,192.5378,-9749.3935546875,58,290000,1206.57,58
1770.51,350.6233,200.0964,-9980.9833984375,59,295000,1055.33,59
1079.1,352.4495,206.4491,-9276.419921875,60,300000,1096.34,60
1644.81,352.0238,216.6976,-11212.337890625,61,305000,894.55,61
1611.01,349.7072,228.7727,-11843.85546875,62,310000,1368.82,62
1845.3,348.1172,206.0806,-10864.26171875,63,315000,1494.24,63
1593.57,336.7581,207.1538,-10860.7392578125,64,320000,1237.01,64
2287.64,349.711,200.1171,-10478.64453125,65,325000,1187.61,65
2164.27,325.8364,166.1203,-8455.1474609375,66,330000,1251.88,66
2117.94,319.7738,156.6019,-7866.44775390625,67,335000,1720.65,67
2037.52,328.708,173.5761,-9770.8447265625,68,340000,1526.27,68
2394.6,312.8838,175.731,-9974.3095703125,69,345000,2234.62,69
3089.04,313.7189,150.7681,-7911.75390625,70,350000,2421.39,70
2257.06,333.814,184.3563,-10017.3681640625,71,355000,2543.05,71
2935.68,300.2671,118.6013,-6205.044921875,72,360000,1900.85,72
2463.4,314.236,140.8278,-8301.126953125,73,365000,4343.26,73
3144.91,310.1239,148.5115,-8367.9580078125,74,370000,3171.35,74
3279.27,278.3883,87.6307,-5208.6650390625,75,375000,4709.93,75
3797.89,300.0356,131.2586,-8502.9609375,76,380000,4637.14,76
3020.57,292.5211,118.6899,-7333.3017578125,77,385000,2743.29,77
3942.5,293.0406,107.2951,-5766.16552734375,78,390000,4434.43,78
4445.64,307.6376,115.8768,-6087.32421875,79,395000,2333.8,79
4639.99,313.4814,124.5608,-5088.5830078125,80,400000,3673.66,80
4524.58,294.6838,111.4013,-5932.4912109375,81,405000,4656.48,81
3594.15,297.603,113.7805,-5802.3515625,82,410000,2993.54,82
3575.19,307.1091,132.0792,-7534.8740234375,83,415000,4971.58,83
3758.63,312.8466,143.4771,-8039.87109375,84,420000,3852.87,84
2479.0,331.4033,178.4649,-9728.771484375,85,425000,3297.01,85
2004.08,343.7715,214.058,-11414.5224609375,86,430000,1675.26,86
2720.09,350.6075,210.539,-11521.8974609375,87,435000,3668.76,87
4740.22,296.3207,107.0973,-6215.5732421875,88,440000,5094.94,88
4464.09,300.0229,116.8447,-7250.0576171875,89,445000,4629.26,89
4549.45,295.5536,112.309,-6751.80615234375,90,450000,4890.33,90
4749.26,288.7488,102.6888,-6454.9443359375,91,455000,4729.69,91
4690.28,308.9279,119.8142,-7390.7841796875,92,460000,5032.25,92
4411.91,303.1386,125.1301,-8678.623046875,93,465000,5052.86,93
4475.54,300.9409,132.598,-8751.529296875,94,470000,3162.91,94
4748.57,286.5554,99.276,-7129.35693359375,95,475000,5120.34,95
4306.37,294.932,110.0174,-8411.0322265625,96,480000,4046.74,96
4340.77,295.5948,107.0708,-8607.4677734375,97,485000,3014.56,97
4746.61,297.7783,108.8686,-8446.1337890625,98,490000,2406.24,98
3501.24,302.1804,123.7579,-9632.34375,99,495000,3406.49,99
2716.74,340.0138,188.4969,-11721.8076171875,100,500000,2088.87,100
4200.23,288.4133,100.4197,-7306.7158203125,101,505000,4960.35,101
4767.28,295.9217,116.4276,-8024.02294921875,102,510000,5032.36,102
3750.12,302.8976,145.3777,-10631.9521484375,103,515000,2617.78,103
4313.71,285.6062,107.0621,-8387.8291015625,104,520000,4003.8,104
4886.79,278.7789,88.7803,-8543.716796875,105,525000,3553.66,105
4942.17,282.0363,93.052,-8154.060546875,106,530000,4906.47,106
4782.93,292.9757,110.5061,-9178.66015625,107,535000,4900.26,107
4695.27,289.4349,98.5403,-8765.322265625,108,540000,4675.81,108
4988.57,279.6908,87.7219,-8635.4580078125,109,545000,5125.11,109
4949.8,283.8556,100.9611,-9051.38671875,110,550000,5090.18,110
4926.56,295.2968,106.5614,-9613.9765625,111,555000,4675.44,111
4040.15,281.9498,102.9359,-8839.427734375,112,560000,3583.79,112
4402.76,292.2632,106.8875,-9503.357421875,113,565000,4932.93,113
4443.17,281.0382,107.5625,-9449.2958984375,114,570000,1791.33,114
4369.27,298.5125,122.451,-10289.5927734375,115,575000,3375.87,115
3933.03,292.9072,128.0993,-10233.1484375,116,580000,1728.96,116
813.97,379.6538,230.7307,-13646.2705078125,117,585000,687.78,117
4883.8,297.8028,118.5628,-10231.3447265625,118,590000,4841.8,118
4956.85,283.5398,103.4601,-9797.7978515625,119,595000,4612.93,119
4802.71,296.7285,117.5383,-10706.63671875,120,600000,4317.55,120
4554.18,279.9912,91.9763,-9634.3447265625,121,605000,4798.55,121
4410.1,285.9454,103.6279,-10298.921875,122,610000,2130.22,122
4701.5,286.5471,104.9531,-10389.6396484375,123,615000,4986.61,123
