Itration,Real Det Return,Reward Loss,Running Reverse KL,Running Env Steps,Running Update Time,Real Sto Return,Running Forward KL
0,290.11,-1309.813720703125,273.2302,0,0,322.1,454.8789
1,266.3,-1305.4456787109375,266.8122,5000,1,399.53,431.8824
2,438.92,-1302.86181640625,239.0181,10000,2,390.02,432.1496
3,410.19,-1512.0322265625,271.4826,15000,3,376.17,431.2388
4,263.03,-2519.371826171875,254.4247,20000,4,402.87,434.3087
5,305.63,-2291.93896484375,261.063,25000,5,445.25,429.0267
6,254.25,-1646.3885498046875,288.0827,30000,6,418.39,419.4082
7,538.4,-2719.198486328125,272.7571,35000,7,469.91,418.1811
8,490.32,-3094.087158203125,263.7307,40000,8,481.81,414.9591
9,484.38,-2488.426025390625,250.1156,45000,9,553.22,408.3079
10,506.54,-3159.7939453125,263.6124,50000,10,473.39,411.0103
11,495.57,-3149.0986328125,265.2862,55000,11,495.58,385.807
12,497.67,-3009.18359375,257.9469,60000,12,529.42,393.7194
13,529.57,-4230.04296875,255.9909,65000,13,557.52,398.8754
14,480.15,-3761.168212890625,257.7871,70000,14,495.07,417.8046
15,547.09,-5428.009765625,272.5464,75000,15,549.19,405.7018
16,532.28,-5516.46044921875,275.4723,80000,16,592.68,412.8011
17,479.26,-5442.65185546875,253.673,85000,17,527.58,400.0318
18,634.18,-4733.669921875,245.4369,90000,18,545.14,395.595
19,703.97,-4818.41748046875,255.6162,95000,19,584.68,410.2868
20,494.06,-5387.75,248.6916,100000,20,511.04,398.0564
21,522.3,-5319.771484375,248.6584,105000,21,584.39,394.3725
22,527.59,-5403.1083984375,275.2357,110000,22,708.96,403.9496
23,553.92,-5669.544921875,274.3093,115000,23,575.98,392.1378
24,457.54,-6459.75390625,271.2382,120000,24,682.55,406.2546
25,549.19,-6067.646484375,260.7067,125000,25,661.35,394.0102
26,514.67,-6525.3388671875,263.0758,130000,26,646.86,402.1667
27,678.99,-6018.84814453125,253.1,135000,27,607.14,391.7907
28,488.08,-6352.58056640625,242.304,140000,28,776.62,386.3869
29,433.08,-7419.921875,272.1126,145000,29,687.46,389.5382
30,632.59,-6524.9677734375,258.0942,150000,30,665.84,391.8419
31,611.64,-6061.482421875,252.9738,155000,31,746.68,383.5413
32,637.81,-6954.615234375,255.339,160000,32,628.59,392.7792
33,652.96,-6779.099609375,264.2978,165000,33,736.15,408.517
34,557.5,-8298.1396484375,271.4898,170000,34,696.29,391.0139
35,533.76,-8848.0771484375,267.0002,175000,35,619.22,389.9407
36,584.52,-8358.66015625,248.246,180000,36,870.1,382.9676
37,728.34,-8935.0244140625,254.8882,185000,37,795.62,394.6046
38,753.14,-10030.455078125,272.2986,190000,38,765.74,395.1029
39,595.15,-9540.9599609375,258.6781,195000,39,689.25,389.9771
40,905.94,-9542.404296875,248.9812,200000,40,821.22,393.2909
41,791.41,-9911.00390625,262.1615,205000,41,701.46,390.6081
42,512.84,-11661.583984375,335.5297,210000,42,770.77,387.8921
43,588.92,-10716.4267578125,266.7544,215000,43,803.43,379.0196
44,655.91,-10797.041015625,277.3872,220000,44,875.9,374.8619
45,680.13,-9458.244140625,232.7978,225000,45,993.25,372.9096
46,968.31,-9562.283203125,242.6664,230000,46,905.99,363.7901
