Running Update Time,Running Env Steps,Running Reverse KL,Itration,Reward Loss,Real Det Return,Running Forward KL,Real Sto Return
0,0,240.1167,0,1011.1834716796875,426.86,413.8504,345.26
1,5000,330.7092,1,1086.540283203125,339.96,439.6742,350.32
2,10000,291.6528,2,1408.1043701171875,372.54,411.6423,430.69
3,15000,261.9288,3,533.498779296875,529.78,407.4404,371.63
4,20000,284.5057,4,-35.649478912353516,339.94,409.8163,371.55
5,25000,266.8645,5,-195.2462158203125,420.91,411.4084,448.75
6,30000,267.1692,6,-630.0255737304688,417.59,407.1684,420.08
7,35000,262.6591,7,-467.906005859375,434.22,407.5847,474.77
8,40000,254.0351,8,-259.6880187988281,493.83,409.0233,451.76
9,45000,256.0365,9,-922.3023681640625,615.06,397.2076,544.76
10,50000,271.3314,10,-581.6473999023438,499.33,403.275,438.5
11,55000,258.6307,11,-1404.2196044921875,601.05,403.5875,464.01
12,60000,271.6968,12,-1484.65283203125,455.74,408.745,451.4
13,65000,260.2221,13,-1150.4632568359375,508.78,399.1372,532.58
14,70000,270.7318,14,-1571.218017578125,556.21,398.0659,520.9
15,75000,301.6022,15,-1916.2318115234375,493.24,388.6753,606.82
16,80000,265.0924,16,-1757.4422607421875,526.4,394.7357,583.86
17,85000,292.2387,17,-2253.3359375,484.06,388.5925,597.97
18,90000,270.4126,18,-2545.5087890625,507.47,375.2474,600.71
19,95000,253.5564,19,-2862.68896484375,595.98,381.4006,616.17
20,100000,276.7791,20,-2954.3876953125,582.54,379.7237,597.31
21,105000,263.8793,21,-3364.411376953125,631.01,380.8748,617.89
22,110000,263.7337,22,-3309.721435546875,531.46,369.0821,633.22
23,115000,257.0035,23,-3562.48583984375,583.31,366.4225,661.36
24,120000,270.6429,24,-3656.87548828125,591.96,364.1121,610.33
25,125000,257.7089,25,-3362.21044921875,733.23,375.8175,636.74
26,130000,267.726,26,-3801.0849609375,640.9,376.1331,701.81
27,135000,238.6067,27,-3890.2841796875,649.92,368.5324,747.73
28,140000,253.8437,28,-4476.275390625,750.95,375.0244,721.99
29,145000,268.8469,29,-4534.37890625,657.73,385.4776,631.14
30,150000,246.6502,30,-4656.03662109375,814.29,374.7217,856.92
31,155000,253.9733,31,-4953.64697265625,816.31,371.5099,851.19
32,160000,269.4818,32,-5267.0654296875,814.23,367.7599,865.74
33,165000,266.6873,33,-4917.046875,794.78,365.7601,952.76
34,170000,240.6624,34,-5251.48876953125,826.53,361.0352,1156.04
35,175000,220.2376,35,-5297.4189453125,1006.28,354.6457,1111.31
36,180000,205.8316,36,-4649.35546875,1275.14,353.5583,1436.85
37,185000,231.4341,37,-5391.6943359375,1087.24,373.107,1328.18
38,190000,228.7586,38,-5083.8564453125,1552.54,368.1751,1414.57
39,195000,202.9883,39,-4732.373046875,1681.36,348.1753,1683.96
40,200000,179.2473,40,-4301.27880859375,1169.81,343.916,2280.51
41,205000,181.6218,41,-4653.56982421875,1294.22,336.4927,2141.29
42,210000,157.4781,42,-3952.10498046875,2363.64,334.3831,2725.77
43,215000,145.8087,43,-3628.4765625,1831.33,320.6775,2435.33
