Reward Loss,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Running Env Steps,Running Update Time,Real Det Return
-1076.509033203125,296.2461,456.0664,240.48,0,0,0,256.42
-236.47523498535156,282.55,403.7373,309.9,1,5000,1,306.56
-304.9733581542969,292.4112,416.7398,315.87,2,10000,2,300.14
-674.8212280273438,262.9551,392.6469,399.34,3,15000,3,370.32
-774.3695068359375,254.4,395.8694,415.11,4,20000,4,402.72
-920.1074829101562,258.9682,414.6236,395.35,5,25000,5,387.44
-1294.156982421875,262.5911,398.7278,415.79,6,30000,6,384.7
-1300.365478515625,264.4571,389.8436,471.1,7,35000,7,446.57
-1701.7833251953125,259.0136,391.1235,441.09,8,40000,8,495.33
-1938.48828125,248.8361,385.3558,444.8,9,45000,9,421.72
-1743.918701171875,281.2342,402.3359,440.35,10,50000,10,421.32
-2267.07568359375,258.2764,398.2647,475.19,11,55000,11,459.09
-2098.749755859375,244.2123,378.2594,489.65,12,60000,12,566.48
-2477.8857421875,248.7646,371.0394,540.49,13,65000,13,456.76
-2658.93994140625,276.1912,381.6856,565.83,14,70000,14,482.23
-2727.0390625,264.025,385.3904,508.64,15,75000,15,398.98
