Running Forward KL,Running Reverse KL,Real Sto Return,Real Det Return,Running Update Time,Running Env Steps,Itration,Reward Loss
444.5019,248.0121,335.59,310.31,0,0,0,-548.7215576171875
438.4922,309.1062,338.9,323.92,1,5000,1,-588.0697631835938
444.6572,282.4518,347.32,343.61,2,10000,2,-225.3134307861328
426.4457,276.2945,403.86,316.92,3,15000,3,-625.6051025390625
455.7949,278.3208,372.59,365.45,4,20000,4,-997.2302856445312
432.2705,263.4307,419.45,476.31,5,25000,5,-1310.7177734375
440.4303,293.3353,383.91,348.45,6,30000,6,-1194.05419921875
441.5795,296.893,408.79,366.19,7,35000,7,-1344.826171875
419.65,295.7481,424.07,415.69,8,40000,8,-2017.698486328125
432.7201,316.3898,484.79,428.71,9,45000,9,-1839.65380859375
433.0715,318.1717,512.42,377.49,10,50000,10,-2262.1904296875
426.106,305.6446,490.86,392.31,11,55000,11,-2739.190673828125
433.8495,348.8154,436.77,374.15,12,60000,12,-3866.414794921875
430.6767,307.4762,472.25,383.4,13,65000,13,-3378.478759765625
432.5615,287.2639,540.71,397.37,14,70000,14,-3621.505859375
430.3376,292.0615,493.1,386.27,15,75000,15,-4077.04833984375
434.2163,297.2749,504.83,397.83,16,80000,16,-4078.646240234375
439.6567,290.5295,473.21,411.16,17,85000,17,-4470.4228515625
439.1736,270.8592,547.75,432.93,18,90000,18,-4346.61572265625
426.1896,278.8819,565.71,514.73,19,95000,19,-4224.6376953125
427.7051,286.9641,562.66,443.68,20,100000,20,-4573.76171875
436.1294,280.3339,595.89,444.39,21,105000,21,-5081.39599609375
431.6515,268.3195,581.37,454.48,22,110000,22,-5271.392578125
428.7563,269.0648,586.5,456.73,23,115000,23,-5409.64111328125
421.2972,263.8485,673.77,549.87,24,120000,24,-5342.49365234375
417.6288,264.6103,682.16,487.46,25,125000,25,-5965.5830078125
418.4007,267.7739,657.27,521.14,26,130000,26,-6139.50146484375
419.3133,268.2029,944.68,533.24,27,135000,27,-6486.30029296875
414.174,251.8559,764.64,592.99,28,140000,28,-5637.94482421875
417.3871,256.3753,710.76,577.17,29,145000,29,-6258.98876953125
417.191,258.2336,737.35,584.94,30,150000,30,-6404.36376953125
420.0123,259.6973,735.57,604.69,31,155000,31,-6634.02099609375
414.1634,232.9643,882.41,818.94,32,160000,32,-6329.2646484375
418.0427,268.451,807.09,685.9,33,165000,33,-7327.3115234375
418.9921,260.7916,814.03,640.4,34,170000,34,-7129.29150390625
414.7598,245.5986,1064.78,626.69,35,175000,35,-6858.0302734375
418.6684,265.4095,845.6,551.31,36,180000,36,-7428.712890625
414.1519,249.4434,870.74,591.08,37,185000,37,-7205.87109375
407.0227,243.2702,1048.75,671.93,38,190000,38,-6533.962890625
399.142,240.923,923.23,702.68,39,195000,39,-7020.47021484375
390.3035,235.4046,1226.89,608.71,40,200000,40,-6989.22216796875
398.9154,224.6067,1203.04,726.67,41,205000,41,-7116.9501953125
395.5509,223.6931,1378.74,791.09,42,210000,42,-7027.06591796875
385.865,212.3705,1348.74,749.68,43,215000,43,-6137.5625
396.371,225.8507,1326.65,678.48,44,220000,44,-7005.4296875
390.1674,215.6623,1545.63,2338.82,45,225000,45,-6396.5185546875
384.6349,201.2094,2052.93,1386.0,46,230000,46,-6710.67529296875
384.8027,203.5223,2078.94,1106.18,47,235000,47,-7056.17529296875
377.9271,193.6003,1902.84,1324.23,48,240000,48,-5615.9609375
375.6511,200.15,1638.53,1217.01,49,245000,49,-6271.4296875
401.219,234.0487,1369.14,1703.56,50,250000,50,-7794.099609375
393.3471,215.1194,1571.56,1321.12,51,255000,51,-7513.61669921875
372.6675,202.0193,1546.43,975.82,52,260000,52,-6787.701171875
365.4321,186.6126,2704.67,1894.31,53,265000,53,-5439.01171875
390.9688,229.8467,1763.73,1272.72,54,270000,54,-8590.08203125
397.6388,233.5297,1115.32,953.43,55,275000,55,-9741.3974609375
391.7298,235.5624,1295.91,1484.91,56,280000,56,-9267.107421875
374.3599,207.5183,1892.82,1126.05,57,285000,57,-6413.9912109375
374.6258,206.2948,2512.28,1605.42,58,290000,58,-6813.4208984375
376.533,200.9142,2126.81,1534.19,59,295000,59,-7514.45263671875
381.2704,217.4248,1682.35,1360.74,60,300000,60,-8168.83740234375
374.8823,210.4781,2053.42,1230.27,61,305000,61,-7894.5078125
377.1561,210.0364,2496.5,1528.36,62,310000,62,-7927.2880859375
377.074,214.4284,2263.76,1059.0,63,315000,63,-8123.87158203125
384.3012,226.1978,2308.53,1056.88,64,320000,64,-8702.974609375
364.4542,194.3135,3259.38,2626.46,65,325000,65,-6628.9541015625
379.4413,210.2289,1506.84,1330.33,66,330000,66,-7386.2001953125
387.1498,218.0034,1394.07,1659.58,67,335000,67,-7924.83203125
370.1296,226.9567,2049.74,1490.11,68,340000,68,-6876.2265625
385.3167,223.7657,1905.27,1527.62,69,345000,69,-9588.8896484375
373.9534,204.4061,2297.25,1176.7,70,350000,70,-8754.806640625
359.5185,185.4342,2424.45,1736.64,71,355000,71,-7399.84423828125
359.5865,190.7233,3655.81,1597.17,72,360000,72,-7339.56640625
360.4264,187.7637,3839.33,2482.04,73,365000,73,-6699.13330078125
354.3925,177.8824,3871.64,2603.37,74,370000,74,-7448.02001953125
361.4396,197.1159,2712.54,1191.25,75,375000,75,-8252.4853515625
375.499,203.8525,2700.81,2267.7,76,380000,76,-8293.0830078125
366.6992,192.8324,3755.05,1983.99,77,385000,77,-6391.5703125
358.1333,181.9827,2881.97,2667.24,78,390000,78,-6095.43408203125
379.1579,217.8377,2930.52,1932.79,79,395000,79,-6344.3544921875
364.8449,196.0077,3068.22,1785.72,80,400000,80,-8231.060546875
354.9752,184.7419,2407.59,1473.4,81,405000,81,-7752.67529296875
359.2502,193.7301,2969.26,1372.0,82,410000,82,-7652.51708984375
352.8546,176.5801,3959.25,1297.56,83,415000,83,-6866.462890625
359.0372,180.7519,4068.01,2996.58,84,420000,84,-6785.54541015625
365.3281,199.6614,2673.31,2394.61,85,425000,85,-9836.4404296875
357.9849,189.3946,3980.17,1864.41,86,430000,86,-6827.8037109375
353.5816,188.1975,4336.56,2075.6,87,435000,87,-5974.3642578125
347.4866,165.0011,4793.42,2023.58,88,440000,88,-6344.4853515625
345.4847,172.8235,4096.72,2614.81,89,445000,89,-7117.1484375
354.4492,183.6186,4789.77,3303.19,90,450000,90,-6944.07763671875
345.0651,173.8501,4129.64,4713.63,91,455000,91,-6532.32177734375
356.0271,174.6014,3725.65,3606.8,92,460000,92,-8887.2080078125
353.3733,183.7088,4607.58,2046.73,93,465000,93,-6878.716796875
373.6161,219.9662,3908.95,2845.31,94,470000,94,-7063.37353515625
347.8819,181.3608,3433.48,3630.39,95,475000,95,-8148.041015625
356.7807,187.9151,3880.25,1621.58,96,480000,96,-7719.8828125
354.9429,192.3141,3240.07,2697.38,97,485000,97,-9255.90625
369.9651,213.3433,1673.42,2617.76,98,490000,98,-7782.76513671875
373.558,212.0403,2528.95,3238.64,99,495000,99,-10173.0458984375
355.2128,177.6856,3814.1,4036.82,100,500000,100,-8253.52734375
362.7993,189.0039,3672.6,3254.75,101,505000,101,-9408.2314453125
371.5443,216.8966,1894.53,3477.53,102,510000,102,-9974.478515625
363.9624,196.039,4721.31,2580.19,103,515000,103,-8949.1728515625
373.4762,201.269,3428.53,2268.55,104,520000,104,-10069.1015625
368.8534,203.5351,3126.97,2813.5,105,525000,105,-11305.8115234375
360.9396,183.8851,4589.35,1724.9,106,530000,106,-10127.95703125
355.1932,180.1595,4452.12,1889.96,107,535000,107,-9683.0263671875
359.0741,172.779,3583.08,1735.34,108,540000,108,-10040.705078125
353.1241,180.8101,3829.95,1866.38,109,545000,109,-9051.126953125
357.8527,181.676,3845.01,1995.91,110,550000,110,-10080.087890625
352.2528,181.884,4032.37,2113.67,111,555000,111,-10546.0908203125
355.2615,182.512,4024.25,4277.45,112,560000,112,-10247.6748046875
356.3212,170.4957,3725.01,3972.93,113,565000,113,-10086.212890625
365.2915,186.5959,3782.88,1758.07,114,570000,114,-11080.724609375
340.9837,162.931,5122.92,5288.7,115,575000,115,-10233.8740234375
342.9213,157.8263,4130.15,4866.71,116,580000,116,-10770.1435546875
345.8756,165.6055,4604.63,4444.92,117,585000,117,-10604.048828125
351.6376,168.4189,4545.44,4822.56,118,590000,118,-10778.1787109375
348.5219,167.1538,4285.89,4679.17,119,595000,119,-11542.7412109375
352.2594,172.3139,4318.27,3649.8,120,600000,120,-11527.80859375
350.0734,162.8245,4073.16,3724.29,121,605000,121,-11256.0
365.2703,184.9503,4648.38,3884.65,122,610000,122,-12262.7216796875
343.5255,161.2634,4916.84,5012.52,123,615000,123,-11894.966796875
362.9034,178.3832,3233.47,3732.67,124,620000,124,-12295.9541015625
351.0227,170.3379,3999.47,4007.73,125,625000,125,-12504.3359375
347.6824,167.1085,4445.81,4549.01,126,630000,126,-12433.5947265625
356.4786,173.4956,4407.07,4087.29,127,635000,127,-12505.1533203125
347.3645,168.683,4761.62,4163.21,128,640000,128,-12664.525390625
350.0029,173.0794,4299.32,4644.99,129,645000,129,-12819.466796875
344.3068,162.2955,4226.52,2853.23,130,650000,130,-13121.251953125
338.178,159.898,4080.25,2455.53,131,655000,131,-12909.03125
349.3925,169.0655,4828.86,4837.13,132,660000,132,-13095.951171875
355.5941,172.4458,4279.8,3406.24,133,665000,133,-13296.404296875
353.6986,174.4728,4449.73,4439.47,134,670000,134,-13673.7021484375
349.0706,168.4348,5070.36,5199.86,135,675000,135,-13703.3291015625
361.4557,181.2764,3824.21,2312.25,136,680000,136,-14243.654296875
347.2969,160.5837,4929.12,4437.19,137,685000,137,-13972.404296875
346.8848,158.5348,4974.66,3802.11,138,690000,138,-13905.6357421875
367.7623,184.6271,2741.38,3906.8,139,695000,139,-13805.431640625
349.2618,166.1701,4653.58,4600.35,140,700000,140,-14292.2744140625
342.1227,153.1377,4767.56,3924.01,141,705000,141,-14102.6669921875
344.2267,150.7339,5078.25,3887.43,142,710000,142,-14192.302734375
339.438,155.0832,5083.74,2687.34,143,715000,143,-14369.306640625
340.063,163.1441,4430.08,2671.23,144,720000,144,-14677.6328125
343.7075,167.6945,5049.23,4216.22,145,725000,145,-15049.298828125
346.1926,158.2593,4961.1,3809.63,146,730000,146,-14965.8212890625
346.8606,161.6008,4735.25,3776.62,147,735000,147,-15164.6826171875
349.9814,158.0889,4550.3,3288.13,148,740000,148,-15397.0830078125
336.2045,156.4414,4236.69,4784.97,149,745000,149,-15099.1435546875
348.4943,168.5138,4008.95,2004.13,150,750000,150,-15294.2490234375
337.5353,150.8514,4689.58,3726.2,151,755000,151,-15301.412109375
347.333,162.9237,5075.7,4860.19,152,760000,152,-15577.16015625
337.3466,150.9531,4204.76,3880.01,153,765000,153,-15365.6572265625
340.3461,154.4116,4502.26,4928.25,154,770000,154,-15261.64453125
339.4715,154.2555,4682.86,4973.6,155,775000,155,-15655.8955078125
350.3245,171.4268,4979.14,3756.99,156,780000,156,-16009.9677734375
340.6196,151.1747,5051.36,1868.05,157,785000,157,-15357.984375
336.4335,149.1671,4545.01,4684.59,158,790000,158,-15558.7919921875
340.4476,154.1978,4949.85,5241.5,159,795000,159,-16274.091796875
344.1384,161.4715,4467.61,4376.88,160,800000,160,-15883.873046875
343.9076,153.875,4771.44,1956.88,161,805000,161,-16376.5869140625
347.3405,160.0727,4709.39,4514.34,162,810000,162,-16358.39453125
352.2223,153.7488,4757.45,3632.85,163,815000,163,-16470.009765625
351.6895,157.6152,5010.06,1853.6,164,820000,164,-16523.673828125
371.1662,176.0368,4345.7,3416.67,165,825000,165,-16606.95703125
342.2205,153.5827,4503.55,4397.83,166,830000,166,-16745.830078125
343.9499,156.9775,4993.76,4441.01,167,835000,167,-16741.974609375
338.4767,156.7544,4673.8,5187.51,168,840000,168,-16686.0
337.8611,147.9497,4686.77,5020.29,169,845000,169,-16679.748046875
341.7321,153.6707,4965.41,5271.08,170,850000,170,-16600.056640625
340.3399,154.007,4633.73,4885.63,171,855000,171,-16903.56640625
340.6552,152.6746,4916.01,5126.34,172,860000,172,-16933.2578125
352.8225,167.3969,4978.15,4235.53,173,865000,173,-16946.169921875
345.5825,156.7181,4846.56,4923.65,174,870000,174,-17335.30078125
341.0037,148.12,5060.02,4141.73,175,875000,175,-17016.91015625
347.1136,159.8601,5043.38,4973.35,176,880000,176,-17465.615234375
342.1572,157.4673,5066.49,1625.45,177,885000,177,-17161.5
347.6985,159.6346,4251.36,2352.68,178,890000,178,-16878.61328125
340.5744,158.2188,4853.57,2001.45,179,895000,179,-17004.87890625
342.2478,153.4171,4771.79,2625.8,180,900000,180,-16852.943359375
347.5738,160.1053,4767.33,1803.46,181,905000,181,-17163.421875
339.7797,153.0189,4731.58,5147.87,182,910000,182,-17309.20703125
438.1623,330.1885,493.5,539.11,183,915000,183,-15727.654296875
371.0444,189.1212,4431.87,4674.08,184,920000,184,-17263.484375
376.4869,198.0047,4797.62,1667.66,185,925000,185,-18209.763671875
348.9167,160.1015,4875.92,1813.53,186,930000,186,-17527.998046875
344.74,160.2508,5115.64,5325.19,187,935000,187,-17694.083984375
341.3734,158.4953,5148.0,5334.31,188,940000,188,-17821.8203125
338.3714,151.4692,4654.17,5203.54,189,945000,189,-17783.54296875
347.84,159.9324,4923.48,5238.8,190,950000,190,-17947.9296875
340.8572,157.2015,4951.65,4459.54,191,955000,191,-17381.19140625
332.7264,142.0447,4647.25,4727.61,192,960000,192,-17498.228515625
346.2038,162.9844,4739.3,4907.0,193,965000,193,-17574.736328125
341.5449,157.7006,4957.2,4841.43,194,970000,194,-17938.5
348.4576,152.8777,4606.37,4396.95,195,975000,195,-17741.08984375
342.5617,149.6598,4958.34,2024.66,196,980000,196,-17614.158203125
