Running Update Time,Running Reverse KL,Real Sto Return,Itration,Reward Loss,Real Det Return,Running Forward KL,Running Env Steps
0,293.3233,323.67,0,1830.5804443359375,272.95,453.657,0
1,287.6772,400.09,1,1532.64111328125,391.91,416.0155,5000
2,275.4863,433.34,2,521.8944702148438,466.95,403.1287,10000
3,259.6557,388.55,3,562.6069946289062,308.96,424.9785,15000
4,270.5549,412.95,4,363.1147155761719,547.41,408.4847,20000
5,295.8837,397.08,5,458.3650817871094,375.97,419.062,25000
6,269.5718,451.17,6,-126.77490997314453,570.14,404.1932,30000
7,261.0311,482.99,7,-419.24859619140625,518.87,397.927,35000
8,270.0304,479.97,8,-456.20013427734375,431.52,413.6328,40000
9,260.23,493.34,9,-872.156494140625,447.32,412.4413,45000
10,251.1211,472.52,10,-1392.2176513671875,432.97,414.4278,50000
11,261.688,444.14,11,-942.3258056640625,404.08,425.5416,55000
12,257.5743,509.48,12,-982.9122924804688,443.25,409.4257,60000
13,256.6703,551.85,13,-1597.471435546875,504.66,413.5646,65000
14,263.5803,561.85,14,-1434.0084228515625,471.07,408.9681,70000
15,257.4573,581.56,15,-2108.199462890625,582.85,387.7727,75000
16,254.0135,538.26,16,-2523.259765625,422.03,394.2385,80000
