Real Sto Return,Running Env Steps,Reward Loss,Running Reverse KL,Real Det Return,Itration,Running Forward KL,Running Update Time
400.04,0,516.2077026367188,290.9683,376.0,0,434.3092,0
325.1,5000,1303.065673828125,271.652,326.14,1,432.1415,1
394.91,10000,1212.56103515625,250.4299,502.42,2,415.7578,2
438.78,15000,1125.512451171875,266.8268,563.07,3,401.0643,3
427.59,20000,-117.02179718017578,241.4956,397.95,4,389.4645,4
398.83,25000,150.78782653808594,271.3855,374.14,5,397.7213,5
476.9,30000,-376.02520751953125,277.9387,474.25,6,389.8387,6
435.34,35000,-546.3934936523438,261.829,481.57,7,398.0145,7
453.76,40000,-1258.5963134765625,264.9677,678.04,8,396.3433,8
508.75,45000,-1214.40380859375,252.1524,480.17,9,409.6978,9
527.24,50000,-1048.0850830078125,245.0497,454.86,10,397.5324,10
429.24,55000,-1629.492431640625,258.0775,398.6,11,395.4842,11
530.38,60000,-2371.92431640625,252.9615,446.04,12,390.5183,12
497.39,65000,-2172.517333984375,255.9808,446.06,13,399.3931,13
503.12,70000,-2604.01123046875,265.063,437.47,14,386.8674,14
537.03,75000,-2687.294921875,253.5184,562.46,15,379.2827,15
548.68,80000,-3122.5556640625,242.412,505.66,16,386.969,16
542.39,85000,-3311.604248046875,261.0426,443.68,17,406.8099,17
523.63,90000,-3602.248779296875,251.3038,455.63,18,387.5263,18
512.0,95000,-4177.3212890625,250.3106,485.63,19,390.9562,19
510.04,100000,-4392.7412109375,253.1514,549.85,20,394.2959,20
545.89,105000,-4772.68212890625,244.4493,449.22,21,388.7172,21
700.81,110000,-5072.39013671875,252.075,674.43,22,391.4752,22
558.78,115000,-5444.95849609375,266.4525,653.35,23,388.4686,23
591.22,120000,-5714.12744140625,258.1991,693.09,24,395.8057,24
672.19,125000,-5190.09912109375,241.6239,680.51,25,391.0345,25
621.65,130000,-5866.85986328125,254.0061,619.01,26,390.9664,26
601.9,135000,-6492.3779296875,265.8213,494.84,27,387.3101,27
612.02,140000,-6444.39208984375,278.356,579.27,28,386.7577,28
658.01,145000,-6099.13330078125,231.4231,559.05,29,384.261,29
677.46,150000,-7187.6123046875,273.761,638.25,30,384.2232,30
700.75,155000,-6790.021484375,245.4579,523.73,31,383.8649,31
688.91,160000,-7016.32568359375,264.873,602.84,32,382.9035,32
734.52,165000,-7078.95068359375,248.5806,519.44,33,373.7064,33
829.74,170000,-7129.7158203125,238.2596,639.33,34,368.9635,34
712.34,175000,-7590.99853515625,252.3029,668.06,35,386.8452,35
1029.12,180000,-6236.19091796875,232.3512,1332.34,36,370.721,36
911.82,185000,-6772.81494140625,219.1933,791.85,37,364.1806,37
802.42,190000,-7742.53564453125,235.9436,759.93,38,369.8757,38
855.63,195000,-7878.05517578125,241.293,1024.99,39,371.0733,39
961.75,200000,-7625.02099609375,227.665,639.06,40,365.9955,40
750.38,205000,-8450.5732421875,246.537,694.18,41,371.9977,41
1024.2,210000,-8588.056640625,237.0464,1135.2,42,354.6535,42
820.11,215000,-9163.005859375,254.7129,1302.04,43,376.5264,43
1083.04,220000,-9302.0146484375,234.965,941.37,44,371.4524,44
1043.87,225000,-8571.36328125,225.0876,841.15,45,370.3131,45
1168.04,230000,-9318.3349609375,247.5305,731.93,46,359.7004,46
1219.11,235000,-9792.125,262.3964,459.06,47,365.2514,47
1493.74,240000,-10493.654296875,252.1885,477.55,48,354.4961,48
1536.55,245000,-11177.556640625,278.481,429.72,49,365.4172,49
2496.09,250000,-6874.203125,177.1137,498.11,50,328.4311,50
2075.34,255000,-8768.375,211.977,1736.16,51,344.8031,51
2756.01,260000,-7585.58154296875,179.6913,1275.84,52,330.2805,52
1955.56,265000,-7898.75244140625,180.8035,500.91,53,326.5967,53
1965.73,270000,-8312.0546875,190.0061,1012.61,54,337.6833,54
1563.65,275000,-9624.3857421875,236.7672,1326.6,55,341.4435,55
1919.86,280000,-7426.04052734375,173.9881,2101.48,56,318.6787,56
2441.11,285000,-8301.990234375,194.1956,4126.37,57,334.5746,57
2309.58,290000,-8039.0634765625,175.8943,3385.33,58,330.371,58
2129.38,295000,-9838.5146484375,232.1891,1294.0,59,340.2525,59
1931.26,300000,-7689.74365234375,168.3645,1926.45,60,323.0891,60
1714.85,305000,-10623.8564453125,248.8573,3267.8,61,340.7237,61
2172.5,310000,-8164.1337890625,186.9477,2377.75,62,319.4897,62
1568.99,315000,-10539.609375,231.667,1063.58,63,351.2143,63
1853.23,320000,-8856.1943359375,193.0089,1557.88,64,337.5711,64
2476.38,325000,-7911.109375,176.8042,2371.83,65,323.9995,65
2611.7,330000,-9953.115234375,214.1611,2100.45,66,330.709,66
3573.76,335000,-7944.35107421875,178.81,2810.42,67,331.6232,67
3590.22,340000,-7375.10791015625,163.0659,3924.62,68,318.3742,68
2792.13,345000,-8460.662109375,191.1429,3201.04,69,321.9222,69
3830.64,350000,-5562.6181640625,135.0116,3486.01,70,309.9083,70
3455.29,355000,-8292.8603515625,164.2536,3287.53,71,319.5088,71
3744.63,360000,-8427.8544921875,174.592,4966.57,72,329.0574,72
3415.35,365000,-8515.626953125,185.2937,3769.14,73,326.1109,73
4943.95,370000,-4290.29296875,131.811,5173.62,74,314.5591,74
4635.7,375000,-5279.5400390625,133.0351,5187.46,75,315.0062,75
3328.16,380000,-6154.001953125,146.4276,3336.83,76,320.1398,76
3876.59,385000,-8806.33984375,167.8284,4911.84,77,325.5787,77
3942.99,390000,-7491.35009765625,155.3806,3732.62,78,316.4275,78
3608.56,395000,-7631.5478515625,148.3477,5076.51,79,324.8499,79
3197.27,400000,-7521.01611328125,153.3592,4180.86,80,324.8165,80
3636.8,405000,-7850.9072265625,150.3528,2794.2,81,321.8411,81
4610.98,410000,-6954.60009765625,148.0278,4430.82,82,315.5537,82
2740.63,415000,-9131.244140625,182.1077,3321.5,83,323.7498,83
4392.86,420000,-8820.6064453125,165.5066,2776.2,84,319.0765,84
4062.47,425000,-7011.67041015625,130.7996,3047.98,85,317.8374,85
4635.04,430000,-7470.7958984375,137.4785,4664.6,86,316.2111,86
4825.91,435000,-6520.43017578125,118.8932,3513.33,87,300.7635,87
4483.43,440000,-7105.53466796875,136.9392,2539.54,88,313.4096,88
3860.56,445000,-9330.6826171875,175.1351,2994.53,89,321.3718,89
4967.11,450000,-8273.4462890625,146.3861,3956.97,90,308.8267,90
4664.33,455000,-7510.28076171875,128.1864,1758.54,91,314.362,91
4794.73,460000,-7376.345703125,115.7513,2712.76,92,305.7534,92
4271.39,465000,-7256.7880859375,126.1316,4819.97,93,307.9776,93
4426.57,470000,-8718.314453125,145.2464,2884.46,94,317.7263,94
5004.46,475000,-8869.8046875,154.5788,3761.51,95,317.2217,95
4807.7,480000,-7677.845703125,112.57,4690.3,96,305.3635,96
4863.84,485000,-8429.46875,120.9802,5133.94,97,303.5861,97
4434.05,490000,-9080.0341796875,139.4366,3018.62,98,308.1595,98
3891.01,495000,-9491.068359375,148.7186,4363.94,99,313.9153,99
4784.11,500000,-8482.7724609375,116.2699,4914.89,100,304.438,100
3767.69,505000,-9684.8046875,143.5126,3765.78,101,310.1218,101
4573.6,510000,-8340.9326171875,119.8152,3383.93,102,306.2626,102
4530.31,515000,-9221.2919921875,117.9612,4243.56,103,302.1102,103
4705.69,520000,-9496.265625,120.9429,4609.23,104,304.0441,104
4652.34,525000,-9095.064453125,109.5325,5064.91,105,299.3875,105
4767.16,530000,-9595.388671875,122.0444,5071.84,106,306.4993,106
4247.09,535000,-9081.2451171875,103.7224,4684.96,107,297.9915,107
4973.53,540000,-9464.5634765625,112.2448,3891.05,108,300.006,108
4614.84,545000,-10174.4375,133.1218,5182.03,109,308.1283,109
5030.84,550000,-10327.0986328125,136.314,5149.17,110,307.4961,110
3682.78,555000,-9159.76171875,127.2849,4980.58,111,306.8029,111
2504.13,560000,-12462.8857421875,265.7997,995.63,112,334.2269,112
5067.95,565000,-9687.4912109375,102.9358,5110.16,113,297.9297,113
4941.18,570000,-10846.1650390625,140.5366,5010.83,114,305.6141,114
4885.86,575000,-9772.619140625,110.3072,5011.68,115,298.3325,115
4284.12,580000,-10130.28515625,121.5147,5236.24,116,298.6876,116
5101.47,585000,-10595.4853515625,120.6313,5243.99,117,302.3857,117
4545.09,590000,-11828.3212890625,141.1486,5162.29,118,313.3713,118
5001.16,595000,-11133.37890625,104.1177,4943.74,119,300.7461,119
5163.2,600000,-10513.7490234375,109.8797,5277.15,120,299.6304,120
4945.08,605000,-11558.998046875,112.7012,4275.52,121,303.8981,121
4889.95,610000,-11177.1357421875,107.639,5123.88,122,298.3314,122
4951.25,615000,-11601.978515625,115.6712,5172.31,123,300.7245,123
5096.79,620000,-11862.6015625,122.7127,5071.07,124,306.5545,124
4638.51,625000,-12419.107421875,130.3033,5078.53,125,309.7934,125
5079.45,630000,-11761.80859375,114.1182,5151.78,126,298.1104,126
4776.6,635000,-12035.224609375,125.9667,5134.79,127,297.8588,127
4698.97,640000,-11569.201171875,124.6635,4216.57,128,304.2492,128
5098.03,645000,-12204.9765625,107.4094,5169.35,129,298.3746,129
4354.13,650000,-12980.234375,137.8233,3965.31,130,308.3258,130
5126.95,655000,-12782.1689453125,121.2174,4122.92,131,303.7308,131
3724.75,660000,-13300.61328125,162.8672,2446.59,132,307.0584,132
4544.61,665000,-12532.3818359375,145.6948,3984.09,133,301.4501,133
4699.33,670000,-12938.236328125,107.6138,4872.23,134,309.3581,134
4356.26,675000,-13169.1884765625,127.2506,4591.75,135,306.6423,135
5137.42,680000,-12806.9482421875,104.7396,4530.91,136,298.5957,136
5064.82,685000,-13463.4091796875,108.7769,4902.9,137,302.1507,137
5001.85,690000,-13762.802734375,157.6127,3832.53,138,312.1443,138
4726.25,695000,-13478.01953125,124.2801,5081.31,139,308.8803,139
3423.03,700000,-14408.91796875,145.473,2951.93,140,312.0266,140
4059.0,705000,-14003.234375,174.8304,3980.14,141,317.045,141
2929.19,710000,-14449.859375,222.3292,2721.2,142,322.2497,142
4940.1,715000,-13968.341796875,117.1619,2960.25,143,299.537,143
4948.24,720000,-14322.8681640625,127.0416,4752.4,144,307.102,144
3869.7,725000,-14672.8798828125,171.9229,5142.13,145,320.9385,145
4543.23,730000,-13361.087890625,116.7346,4497.21,146,299.7315,146
5109.86,735000,-14074.65234375,131.265,5237.63,147,302.7412,147
3838.5,740000,-14891.2001953125,170.1061,3775.35,148,318.4865,148
4471.56,745000,-13883.5068359375,104.001,2754.2,149,296.5443,149
4349.89,750000,-14927.8984375,126.4758,4363.73,150,305.2769,150
4267.97,755000,-14379.7294921875,130.2713,5193.3,151,308.6692,151
4989.21,760000,-14678.6533203125,124.2988,5183.57,152,305.7964,152
4821.88,765000,-14749.1396484375,126.4283,5227.11,153,306.1344,153
4880.2,770000,-14846.3115234375,114.7449,5261.09,154,303.4593,154
4518.76,775000,-14381.591796875,135.6513,5095.58,155,303.9968,155
4917.05,780000,-14243.8603515625,110.1633,5094.43,156,294.0961,156
3998.59,785000,-14782.90625,127.7905,4997.62,157,305.2169,157
4195.1,790000,-14785.138671875,141.645,3752.35,158,305.5573,158
4399.95,795000,-14361.017578125,111.0863,3669.83,159,297.551,159
3462.02,800000,-15872.009765625,185.9646,5083.37,160,327.874,160
3865.36,805000,-15356.4560546875,155.0514,2987.19,161,312.7648,161
4908.25,810000,-14798.4560546875,99.5676,5259.08,162,294.6899,162
3498.88,815000,-15584.70703125,151.0216,5021.88,163,312.9241,163
3065.85,820000,-16091.5068359375,191.4244,5186.89,164,323.6105,164
1721.66,825000,-16385.482421875,250.4964,613.39,165,330.7116,165
4828.31,830000,-14198.7861328125,99.3442,5265.4,166,298.9853,166
3324.15,835000,-15171.1728515625,126.435,1416.69,167,304.8938,167
4434.08,840000,-15256.080078125,112.7868,5144.62,168,302.6285,168
4339.18,845000,-14883.552734375,139.2661,4681.99,169,303.6443,169
4456.79,850000,-15118.859375,115.3587,2858.58,170,296.1522,170
3905.95,855000,-15704.416015625,135.1566,4304.85,171,305.9532,171
5033.6,860000,-15008.7294921875,116.4843,3833.78,172,302.9989,172
3354.84,865000,-15931.1318359375,165.2833,1167.79,173,304.8537,173
5120.21,870000,-15348.724609375,105.6423,5244.93,174,297.2564,174
5011.57,875000,-15585.833984375,129.0364,5223.54,175,302.8616,175
4018.56,880000,-15954.08984375,110.6922,5215.12,176,304.032,176
5018.48,885000,-15963.3662109375,99.6481,4997.57,177,293.6946,177
5152.7,890000,-15898.9208984375,128.6317,5124.82,178,300.6365,178
5116.56,895000,-15901.0732421875,115.2932,4580.87,179,295.4103,179
4939.35,900000,-16005.8515625,107.1269,5200.13,180,297.1501,180
5073.23,905000,-15507.1748046875,115.9982,5218.1,181,306.4069,181
5088.38,910000,-15741.44140625,103.54,5246.27,182,299.8204,182
5053.59,915000,-15807.1630859375,107.3156,5222.78,183,299.2443,183
4463.7,920000,-16177.66796875,135.9903,3216.77,184,308.2624,184
5046.21,925000,-16086.3916015625,126.8805,5184.37,185,312.7864,185
5004.44,930000,-16017.5380859375,101.6454,5206.25,186,298.2231,186
4920.48,935000,-16112.4072265625,102.1371,5225.45,187,298.2881,187
5007.14,940000,-16330.71484375,93.375,3649.6,188,292.7221,188
4729.7,945000,-16381.931640625,101.1338,3749.39,189,296.4473,189
4800.75,950000,-16636.7265625,115.1473,5292.96,190,302.9005,190
4977.75,955000,-16839.8984375,104.1287,5144.06,191,299.7434,191
4215.7,960000,-16910.486328125,117.256,5218.92,192,306.5648,192
3844.02,965000,-16983.54296875,139.279,5189.67,193,314.6243,193
4232.5,970000,-16870.654296875,111.4862,5190.68,194,310.0494,194
5033.74,975000,-16434.48828125,96.7941,5191.76,195,293.8471,195
4973.22,980000,-17187.716796875,106.8837,5033.31,196,301.3708,196
4476.0,985000,-17130.755859375,113.0135,5162.87,197,303.4901,197
2348.97,990000,-17551.173828125,179.6823,4237.62,198,339.1757,198
4050.42,995000,-17500.740234375,155.5545,4120.18,199,321.1171,199
4367.39,1000000,-16788.69921875,102.0683,3289.77,200,301.0399,200
4935.12,1005000,-16558.578125,109.723,4397.21,201,301.5701,201
5116.03,1010000,-16706.0,98.6047,4738.28,202,296.4797,202
4331.34,1015000,-16849.48046875,102.8978,5058.04,203,301.5625,203
