Running Forward KL,Running Update Time,Running Env Steps,Itration,Real Sto Return,Running Reverse KL,Reward Loss,Real Det Return
447.9288,0,0,0,295.46,251.4393,-1649.7833251953125,263.58
426.825,1,5000,1,350.89,249.5003,-2125.213623046875,448.32
421.5313,2,10000,2,358.4,250.1637,-2281.682373046875,382.25
436.4873,3,15000,3,336.34,281.9888,-1747.2691650390625,231.33
415.4261,4,20000,4,424.21,257.8383,-2959.62744140625,416.65
413.8074,5,25000,5,331.44,272.3391,-4182.3251953125,320.91
431.0867,6,30000,6,387.19,271.2872,-3845.367431640625,478.97
429.5438,7,35000,7,450.92,270.9009,-4049.670166015625,484.88
428.1691,8,40000,8,429.07,259.8628,-4445.50048828125,396.29
434.6965,9,45000,9,437.47,242.4513,-3934.257568359375,512.06
426.5511,10,50000,10,476.4,249.1757,-4623.4833984375,441.98
423.7376,11,55000,11,462.05,256.4316,-4425.4931640625,462.24
430.7476,12,60000,12,484.81,278.2114,-3478.24072265625,551.12
441.3615,13,65000,13,454.02,264.6804,-4768.58154296875,417.81
431.9542,14,70000,14,432.53,264.6964,-4727.7060546875,506.44
440.1708,15,75000,15,438.83,295.8638,-5910.02392578125,391.68
419.881,16,80000,16,520.49,272.1437,-5487.8125,488.2
412.7876,17,85000,17,517.39,252.1019,-5058.89306640625,473.39
436.8489,18,90000,18,507.25,280.6863,-6151.302734375,387.0
427.8149,19,95000,19,451.89,312.2224,-7514.37451171875,376.12
425.6624,20,100000,20,560.84,283.7613,-6934.0732421875,430.09
416.092,21,105000,21,520.09,261.2419,-7598.791015625,434.73
407.3214,22,110000,22,510.86,284.1985,-7113.5693359375,450.65
420.0268,23,115000,23,557.19,294.1608,-6325.81396484375,506.26
417.7982,24,120000,24,605.17,285.9751,-7896.876953125,520.14
409.8051,25,125000,25,582.02,270.0187,-7228.00732421875,505.05
399.9849,26,130000,26,582.67,294.4148,-7950.0078125,425.02
398.766,27,135000,27,546.42,290.7036,-8067.04541015625,648.74
414.3155,28,140000,28,563.19,266.12,-6713.7763671875,648.24
418.3987,29,145000,29,587.25,290.3973,-8122.9638671875,646.83
415.843,30,150000,30,536.0,290.9652,-7716.4560546875,524.24
411.7856,31,155000,31,580.04,302.3883,-9685.7421875,545.36
417.408,32,160000,32,610.02,272.7014,-7404.23876953125,591.4
407.0896,33,165000,33,679.89,253.9064,-9053.66015625,558.69
414.3815,34,170000,34,682.24,256.4921,-8573.873046875,571.7
412.0502,35,175000,35,598.47,274.5221,-8494.9326171875,586.55
412.3019,36,180000,36,715.5,259.8593,-8963.19140625,588.77
397.4949,37,185000,37,751.81,258.5084,-8112.2998046875,617.09
407.6035,38,190000,38,654.11,249.4905,-8626.9931640625,555.56
399.9833,39,195000,39,612.81,240.7633,-8604.52734375,737.67
