Running Update Time,Running Env Steps,Itration,Reward Loss,Running Reverse KL,Real Det Return,Real Sto Return,Running Forward KL
0,0,0,893.0840454101562,279.1678,268.95,305.08,458.3689
1,5000,1,702.8839721679688,273.5832,302.52,325.42,430.771
2,10000,2,-94.45357513427734,277.0753,483.77,348.69,436.3979
3,15000,3,-154.7377166748047,290.0139,433.09,446.79,416.7931
4,20000,4,-34.50489044189453,260.3612,330.41,400.87,417.9319
5,25000,5,-486.2403869628906,232.9951,365.87,423.36,419.3386
6,30000,6,-337.28741455078125,254.955,466.32,427.44,428.3875
7,35000,7,-1040.3154296875,243.2355,444.55,469.13,408.1538
8,40000,8,-888.9375,253.9109,441.51,430.92,418.839
9,45000,9,-1725.2303466796875,280.1282,379.29,437.01,430.421
10,50000,10,-1149.5018310546875,282.6786,375.39,438.56,411.5035
11,55000,11,-1676.1336669921875,276.6223,406.36,405.83,406.7109
12,60000,12,-2148.945556640625,271.387,504.18,440.85,419.4677
13,65000,13,-1584.5947265625,254.5569,415.59,498.54,405.3408
14,70000,14,-1898.4775390625,257.4551,533.65,498.63,414.769
15,75000,15,-2439.9150390625,273.0965,574.19,579.84,400.5986
16,80000,16,-2840.6103515625,262.9008,433.3,471.29,398.7917
17,85000,17,-2978.04931640625,254.8963,460.78,512.19,403.4302
18,90000,18,-3437.4560546875,238.1317,493.98,600.26,393.2703
19,95000,19,-4079.95654296875,276.9625,469.32,564.43,389.2196
20,100000,20,-4064.808837890625,252.5879,534.45,665.3,389.0073
21,105000,21,-4926.2060546875,271.2242,517.99,590.48,391.1474
22,110000,22,-4694.142578125,266.5546,487.94,654.1,384.2865
23,115000,23,-4960.2939453125,287.2005,617.07,551.12,403.4069
24,120000,24,-5359.80029296875,297.283,762.47,720.82,388.7574
25,125000,25,-4728.30126953125,255.2987,516.67,692.6,393.5918
26,130000,26,-5875.88818359375,277.1431,914.74,726.03,383.7028
27,135000,27,-5653.044921875,250.3343,854.53,772.21,380.3515
28,140000,28,-5904.66259765625,267.3593,965.76,750.67,369.751
29,145000,29,-6278.6005859375,241.7847,706.36,820.14,373.8875
30,150000,30,-7009.53564453125,282.6334,638.34,799.84,379.1151
31,155000,31,-6018.57275390625,247.2957,791.69,760.78,399.6836
32,160000,32,-6553.2822265625,233.1151,881.34,869.2,368.9645
33,165000,33,-6547.0048828125,213.0978,825.71,832.28,373.4646
34,170000,34,-7019.99365234375,213.0796,976.77,1071.98,358.2566
35,175000,35,-7441.294921875,250.1555,726.97,778.35,370.3216
36,180000,36,-8134.4912109375,261.2093,703.65,858.13,376.5786
37,185000,37,-7888.015625,251.3098,1468.54,1210.38,366.0039
38,190000,38,-8046.3408203125,256.5446,787.77,964.38,358.2219
39,195000,39,-8013.3779296875,247.2259,1219.64,1110.35,370.1517
40,200000,40,-8126.35791015625,259.6133,833.63,931.75,357.5349
41,205000,41,-7141.771484375,197.3607,1249.05,1159.48,329.896
42,210000,42,-7836.4970703125,220.2864,944.92,1170.74,334.1325
43,215000,43,-8739.1044921875,243.817,857.01,976.87,349.387
44,220000,44,-8680.70703125,249.6114,910.09,856.05,348.7426
45,225000,45,-8874.3515625,253.5366,1084.25,1177.96,353.9664
46,230000,46,-8442.939453125,222.3274,1140.05,1450.99,342.7782
47,235000,47,-9475.9794921875,265.149,1120.17,1386.09,350.1174
48,240000,48,-10005.8115234375,260.1731,764.02,1280.31,355.7378
49,245000,49,-9381.5615234375,243.6715,925.56,1268.89,346.6524
50,250000,50,-7466.79248046875,183.2447,1109.6,1817.17,324.0275
51,255000,51,-6561.974609375,184.8228,901.07,1781.33,308.2857
52,260000,52,-9599.46484375,259.9547,953.33,1531.47,336.5355
53,265000,53,-9905.5703125,234.9266,1253.54,1310.27,345.0058
54,270000,54,-7937.27685546875,184.8951,1181.48,1439.21,315.7069
55,275000,55,-8213.666015625,195.519,1401.45,1825.93,313.472
56,280000,56,-8102.369140625,199.7803,1781.99,2143.77,319.098
