Itration,Running Reverse KL,Real Det Return,Running Update Time,Reward Loss,Real Sto Return,Running Env Steps,Running Forward KL
0,264.1922,287.55,0,-588.9054565429688,351.95,0,431.4736
1,257.3358,359.1,1,-954.4207763671875,341.18,5000,441.2568
2,238.5959,380.17,2,-1855.52685546875,374.66,10000,438.2714
3,240.0259,279.58,3,-817.9646606445312,336.18,15000,421.0559
4,246.3167,575.5,4,-1198.0316162109375,384.53,20000,407.5322
5,245.4719,521.3,5,-1626.0220947265625,423.82,25000,399.5597
6,246.4848,416.33,6,-1759.896484375,439.35,30000,420.7498
7,244.2654,448.59,7,-1817.3330078125,498.17,35000,411.6676
8,239.0069,436.87,8,-2258.45849609375,496.38,40000,411.9661
9,245.2381,464.03,9,-2321.406005859375,599.37,45000,414.6683
10,235.9398,461.91,10,-2719.52490234375,608.31,50000,410.2869
11,255.0826,453.88,11,-3169.83837890625,597.02,55000,414.9486
12,261.8161,403.21,12,-3680.19140625,543.72,60000,407.407
13,258.3347,537.65,13,-3462.71044921875,618.56,65000,412.4219
14,260.6596,566.83,14,-3608.06884765625,538.26,70000,407.6902
15,250.2998,694.1,15,-3694.96044921875,661.68,75000,398.4956
16,249.3281,489.45,16,-3681.473388671875,778.03,80000,413.5856
