Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return,Itration
12.9536,48.7934,431.71,408.19,0
13.3332,49.5173,372.56,291.22,1
16.2599,48.9375,430.69,311.91,2
13.9472,48.965,308.55,306.78,3
17.1946,49.3501,410.61,369.82,4
12.6995,49.1825,315.52,350.39,5
13.7535,48.9093,478.26,399.43,6
16.0638,49.0161,413.87,418.1,7
13.1508,48.6022,446.0,469.92,8
14.779,49.1057,413.0,428.51,9
24.1014,49.5169,412.22,364.25,10
21.9746,49.0438,493.5,435.99,11
20.8731,48.3812,816.85,823.71,12
13.6838,47.8808,807.56,777.05,13
16.7761,48.0085,954.98,1542.96,14
14.9437,48.4974,855.74,1308.32,15
16.3196,47.7429,879.63,878.53,16
15.8243,47.2309,1886.26,1733.61,17
18.5718,48.0192,1155.51,1160.19,18
18.1343,47.2155,2285.93,1447.82,19
17.7473,47.6292,2288.62,1387.18,20
15.8573,48.0534,1658.35,780.14,21
14.8835,48.2637,361.14,840.33,22
17.7929,47.5466,2428.47,1507.79,23
15.8275,46.9338,2432.33,1542.53,24
16.5458,47.8335,1541.76,1269.36,25
15.5613,47.4728,1492.41,1309.78,26
21.3587,47.9135,956.04,995.59,27
16.8156,47.2035,1516.33,1317.93,28
21.6393,47.6078,1324.39,1108.39,29
19.2905,47.3124,1326.93,1100.56,30
27.2709,47.8674,870.55,1007.33,31
17.3681,47.1426,1403.57,1114.24,32
25.3832,47.0111,1764.06,1509.61,33
26.9211,47.2359,1837.75,1493.86,34
33.9816,47.8238,945.54,1028.34,35
25.384,47.3761,2005.89,1371.56,36
23.9229,46.4445,1554.21,1670.94,37
28.3194,46.738,2114.25,1580.36,38
29.5344,47.6367,1652.44,1338.49,39
23.1981,46.6934,2842.9,1758.77,40
34.1418,46.8958,1688.36,1132.07,41
22.6552,47.1036,1847.12,1831.95,42
19.651,46.9798,1797.04,1356.94,43
18.4378,46.8456,2277.53,1591.04,44
22.8992,47.1871,3322.88,1933.19,45
33.1206,46.8873,2265.28,1520.59,46
21.9389,46.3306,3371.12,2242.83,47
20.2356,46.4209,2887.52,1791.73,48
21.1378,46.4223,3310.92,2221.74,49
21.1372,46.34,3318.43,1960.79,50
20.8178,46.5869,3284.01,2536.39,51
20.913,45.9327,3115.46,1783.46,52
20.6105,46.0385,3314.45,2518.42,53
20.8806,46.1237,3427.84,2875.05,54
33.4664,46.3746,2486.27,1749.72,55
35.6819,46.5594,2562.64,1291.32,56
48.3045,47.2194,2316.04,2035.11,57
31.9194,47.3582,1178.73,1205.59,58
36.4233,46.6226,2874.73,1992.69,59
32.1343,46.0952,3168.77,2082.08,60
17.5956,46.142,2411.44,1878.5,61
19.4875,46.4177,2982.2,2262.83,62
18.8986,46.2312,3060.44,2878.46,63
37.6887,46.6783,2743.9,1730.79,64
18.8988,45.1597,2650.21,2199.95,65
26.3173,45.7315,3356.88,2350.02,66
31.3962,46.0535,2816.95,1958.5,67
32.3181,46.3159,1512.66,1853.78,68
38.3028,45.3878,2854.89,1829.83,69
34.7555,46.1189,2375.63,1670.45,70
32.7796,45.9193,2656.27,2480.04,71
23.3235,45.7305,3113.39,2377.69,72
19.0538,46.1405,3495.33,2932.75,73
18.9379,45.9077,3033.11,1882.6,74
