Itration,Running Forward KL,Running Reverse KL,Real Sto Return,Real Det Return
0,49.5652,12.2133,315.69,1001.5
1,50.5018,22.3006,332.5,483.54
2,49.6521,14.9049,400.55,373.83
3,50.1943,21.7161,410.62,486.06
4,50.1125,13.5806,345.62,316.05
5,48.6864,16.3431,395.44,425.17
6,49.4154,17.1072,382.31,424.58
7,49.6916,14.8291,349.93,328.87
8,48.6008,14.9311,420.02,416.7
9,48.8188,17.1021,475.04,423.92
10,48.8172,14.0425,554.6,626.61
11,48.0953,16.6089,604.1,690.22
12,47.4521,16.9764,1523.93,1715.11
13,48.2182,13.2284,709.47,720.97
14,47.0692,12.6647,767.29,805.01
15,47.267,15.4847,704.12,739.21
16,47.4773,17.7385,698.3,697.29
17,47.8366,13.8713,715.3,669.64
18,47.2317,31.8096,896.69,979.33
19,46.8141,16.1407,830.06,715.62
20,47.2553,26.1932,930.8,807.26
21,47.0266,19.9275,939.24,1082.63
22,47.0276,13.9868,896.92,864.21
23,47.0125,15.306,943.67,1002.61
24,47.1497,17.6432,842.52,908.15
25,47.3203,14.7389,850.44,843.09
26,47.3158,13.8888,854.45,1018.16
27,46.6029,14.4819,1038.59,1249.57
28,46.7326,13.5536,838.96,1042.39
29,46.8286,12.9624,852.32,1006.46
30,46.5517,13.1103,825.58,968.77
31,46.9304,13.5273,877.92,1037.08
32,47.1844,13.5907,883.01,854.38
33,46.6842,13.9963,744.7,818.4
34,46.9883,13.4868,881.01,981.38
35,47.1869,13.6064,902.04,1244.7
36,46.4224,17.5215,826.02,914.24
37,46.8557,13.6234,851.3,949.07
38,46.7526,13.5017,986.25,1015.19
39,46.6573,13.3521,945.32,885.32
40,47.6332,14.2032,879.1,883.98
41,46.739,12.7777,822.49,844.63
42,46.6484,13.177,885.22,1053.94
43,47.2545,12.6581,926.96,1001.24
44,46.1822,12.3353,1286.92,1061.2
45,46.1448,13.086,1463.8,1514.72
46,46.4005,14.4168,1446.44,1545.93
47,46.1468,12.5612,1228.81,967.36
48,45.8871,12.974,2083.99,2228.99
49,45.093,12.9239,2003.77,1915.74
