Running Forward KL,Real Det Return,Real Sto Return,Running Reverse KL,Running Update Time,Itration,Reward Loss,Running Env Steps
49.6764,332.81,314.07,12.8079,0,0,134.87208557128906,0
48.7708,266.63,284.54,13.3607,1,1,119.92118072509766,5000
48.6445,431.16,442.09,14.1114,2,2,98.67057037353516,10000
48.4171,520.23,346.9,23.6557,3,3,125.82841491699219,15000
48.5414,394.86,408.65,12.416,4,4,154.96694946289062,20000
49.1197,464.41,385.58,13.5346,5,5,73.51151275634766,25000
48.7777,440.85,421.85,15.0563,6,6,20.25678825378418,30000
48.8513,326.13,399.61,13.7575,7,7,54.29825210571289,35000
49.6575,710.23,424.92,15.1342,8,8,14.094293594360352,40000
48.5561,533.98,477.27,22.0826,9,9,-41.952999114990234,45000
48.7717,559.74,469.03,18.6498,10,10,25.712848663330078,50000
49.0739,487.77,476.83,33.2962,11,11,-146.353515625,55000
48.8737,503.35,497.58,28.1994,12,12,-134.68101501464844,60000
48.1638,243.45,332.1,15.1322,13,13,-2.100646495819092,65000
49.2116,624.09,427.3,27.2173,14,14,-115.52616882324219,70000
48.7083,518.87,436.53,17.6525,15,15,-42.58835220336914,75000
48.5065,568.87,499.2,25.2951,16,16,-134.00563049316406,80000
48.5922,560.13,532.52,27.751,17,17,-117.09651184082031,85000
48.4883,505.83,508.38,26.0552,18,18,-130.16050720214844,90000
48.4142,444.07,469.19,16.3877,19,19,-26.55821990966797,95000
48.1192,494.69,484.83,21.7024,20,20,-123.98368072509766,100000
48.3109,505.7,497.5,27.0804,21,21,-152.46591186523438,105000
48.3096,491.71,516.68,32.6842,22,22,-252.17803955078125,110000
48.0496,620.68,506.79,15.9593,23,23,-59.20353698730469,115000
48.1175,600.13,562.03,16.7203,24,24,-134.45181274414062,120000
47.83,616.4,589.77,15.6528,25,25,-75.79296875,125000
47.3487,629.9,627.55,16.1667,26,26,-75.65489196777344,130000
47.3122,692.95,652.48,14.4646,27,27,-157.01585388183594,135000
