Reward Loss,Running Reverse KL,Itration,Running Env Steps,Running Update Time,Real Det Return,Real Sto Return,Running Forward KL
146.73492431640625,13.1402,0,0,0,280.3,319.97,49.3276
151.5476837158203,13.2901,1,5000,1,264.32,278.02,49.924
192.40232849121094,13.6886,2,10000,2,449.43,317.59,49.0372
132.2786407470703,14.4094,3,15000,3,391.14,390.47,49.9636
154.52069091796875,13.5925,4,20000,4,406.06,375.83,49.7223
166.34906005859375,14.8025,5,25000,5,519.85,411.78,49.4069
147.90557861328125,14.1369,6,30000,6,762.7,461.35,48.2382
125.38948822021484,13.4929,7,35000,7,1644.69,805.74,48.4174
42.183353424072266,12.2566,8,40000,8,693.35,607.19,48.6461
33.651588439941406,13.431,9,45000,9,622.68,618.8,48.7757
34.89459991455078,15.8046,10,50000,10,751.71,597.35,47.5986
1.8144547939300537,16.3653,11,55000,11,641.26,668.79,47.5719
-54.33757781982422,20.7196,12,60000,12,577.8,769.36,48.1805
39.9145622253418,14.2189,13,65000,13,1053.94,794.17,47.4104
-59.625701904296875,19.3765,14,70000,14,1104.1,873.9,47.348
9.556055068969727,13.2785,15,75000,15,1055.99,866.9,46.6997
-16.934871673583984,12.5546,16,80000,16,871.95,840.93,46.5501
3.14168643951416,12.1748,17,85000,17,813.27,725.92,47.3001
-60.59645080566406,13.8769,18,90000,18,892.76,967.05,47.2857
-93.79727935791016,19.1507,19,95000,19,1010.52,823.72,46.7003
-65.13523864746094,17.3857,20,100000,20,899.21,807.71,47.0402
-116.6561508178711,21.3951,21,105000,21,1164.75,1007.66,46.0613
-109.60295867919922,21.9643,22,110000,22,986.82,1406.82,45.8452
-120.48822784423828,16.3416,23,115000,23,691.71,837.46,46.6716
-108.09793853759766,14.8962,24,120000,24,1291.05,905.67,44.5863
-130.58023071289062,19.034,25,125000,25,823.73,1016.37,46.0818
-148.9000244140625,19.5088,26,130000,26,890.54,928.31,46.3454
-175.369384765625,22.8086,27,135000,27,854.94,1100.71,46.8135
-166.21926879882812,16.7378,28,140000,28,1282.38,1129.44,45.9116
-180.47451782226562,18.17,29,145000,29,1311.69,1301.43,44.3791
-168.6865692138672,19.5367,30,150000,30,1688.65,1512.09,44.5453
-212.14430236816406,18.85,31,155000,31,1473.04,1422.09,45.1138
-158.4662322998047,16.8239,32,160000,32,1695.29,1531.34,43.7336
-204.0448455810547,17.2718,33,165000,33,949.02,1503.08,45.4403
-132.86105346679688,15.957,34,170000,34,2641.96,2572.58,45.09
-121.6700668334961,15.5642,35,175000,35,2166.19,2984.72,43.5009
-115.43896484375,16.0685,36,180000,36,2984.23,2997.3,45.4637
-95.69757843017578,15.6646,37,185000,37,3365.47,3213.41,43.6105
-128.58587646484375,16.3399,38,190000,38,3259.06,2911.28,43.9895
-138.94931030273438,16.2236,39,195000,39,3352.12,3275.75,44.5516
-129.74783325195312,18.7462,40,200000,40,3439.13,3449.29,44.1191
-129.91104125976562,18.4025,41,205000,41,3286.95,3283.33,44.3146
-133.34173583984375,18.6886,42,210000,42,3544.19,3438.31,43.6237
-120.34219360351562,17.8465,43,215000,43,3594.53,3558.3,43.0605
-133.51666259765625,19.7004,44,220000,44,3531.83,3457.74,44.3229
-133.3381805419922,18.3885,45,225000,45,3732.83,3690.95,42.8277
-120.8685073852539,19.8884,46,230000,46,3897.93,3831.72,43.1627
-129.61268615722656,19.0383,47,235000,47,3817.33,3730.09,42.9689
-133.6732177734375,17.7073,48,240000,48,3804.9,3792.26,42.2053
-133.63931274414062,18.5501,49,245000,49,3890.01,3815.73,42.1707
-131.09100341796875,17.3744,50,250000,50,3873.83,3841.04,41.5195
-133.87823486328125,18.8623,51,255000,51,3840.97,3821.29,42.7125
-128.09068298339844,17.5972,52,260000,52,3816.78,3815.04,42.0156
