Running Reverse KL,Real Det Return,Running Env Steps,Real Sto Return,Itration,Running Update Time,Running Forward KL,Reward Loss
13.6169,318.56,0,298.91,0,0,49.7347,-186.3275146484375
26.1657,335.29,5000,362.9,1,1,51.1429,-20.578369140625
34.1882,373.44,10000,355.43,2,2,50.6604,-42.61738967895508
19.0565,424.45,15000,434.1,3,3,50.2696,-116.53241729736328
16.8139,360.91,20000,395.49,4,4,49.1419,-264.58111572265625
14.348,587.64,25000,499.95,5,5,49.2124,-319.051513671875
15.3171,934.87,30000,570.7,6,6,48.1334,-233.38677978515625
17.0967,575.8,35000,481.24,7,7,49.0138,-244.21340942382812
38.1839,463.02,40000,439.93,8,8,48.7506,-81.00249481201172
23.6976,533.24,45000,525.69,9,9,48.7793,-230.09434509277344
20.4573,462.63,50000,511.48,10,10,48.2372,-304.291259765625
25.5067,561.91,55000,634.84,11,11,47.6503,-160.0697784423828
14.4192,695.06,60000,592.18,12,12,47.6197,-292.1741638183594
19.8045,1011.86,65000,731.36,13,13,47.3166,-168.37582397460938
16.1249,851.46,70000,1111.07,14,14,47.3085,-172.96542358398438
16.3655,960.79,75000,909.66,15,15,45.8183,-167.6844940185547
15.4593,1234.59,80000,944.46,16,16,46.4486,-191.5467987060547
16.7524,1069.4,85000,1807.51,17,17,46.0348,-122.53372955322266
16.5806,2485.86,90000,1836.6,18,18,46.7754,-128.41424560546875
19.3741,3266.88,95000,1879.19,19,19,45.6334,-201.31495666503906
19.053,3161.77,100000,2298.15,20,20,45.5066,-116.79257202148438
28.4062,3032.33,105000,2205.12,21,21,45.5731,-100.5167236328125
23.4967,3406.55,110000,2308.55,22,22,45.8782,-139.0511932373047
26.3905,3496.12,115000,2153.11,23,23,46.2053,-115.15465545654297
27.0705,1397.23,120000,2638.13,24,24,46.7175,-107.84441375732422
23.8513,3125.78,125000,2867.39,25,25,46.9609,-113.22611236572266
27.9853,3861.1,130000,2617.34,26,26,46.2712,-115.29236602783203
27.5578,3665.48,135000,2563.12,27,27,46.1553,-106.31898498535156
23.7248,3684.01,140000,3147.77,28,28,46.5218,-91.6222152709961
23.7462,3924.24,145000,3073.38,29,29,46.47,-120.71409606933594
25.4959,3177.02,150000,3199.88,30,30,45.6064,-107.9374008178711
24.6923,3523.6,155000,3379.87,31,31,45.7841,-136.08982849121094
24.0642,4110.13,160000,3244.3,32,32,45.8381,-141.76153564453125
25.3452,4077.41,165000,4069.1,33,33,45.2077,-117.04340362548828
23.5386,4055.03,170000,3472.69,34,34,45.0654,-160.08938598632812
25.3461,4097.3,175000,3943.98,35,35,46.6035,-120.57694244384766
26.647,4106.49,180000,3959.42,36,36,46.3645,-132.0845184326172
26.2112,4287.57,185000,3291.84,37,37,45.3652,-128.57080078125
27.274,4323.28,190000,4231.63,38,38,47.2194,-132.17970275878906
25.376,4285.38,195000,3918.09,39,39,46.1718,-152.57867431640625
27.655,4110.98,200000,4153.89,40,40,47.4717,-134.20689392089844
25.134,4280.78,205000,4090.45,41,41,46.6893,-162.09007263183594
27.7337,4245.22,210000,4165.17,42,42,47.8443,-151.835205078125
21.0833,4426.41,215000,3222.7,43,43,43.5641,-200.62464904785156
25.1485,4374.04,220000,3892.19,44,44,45.8255,-167.79415893554688
24.8842,4193.87,225000,4024.55,45,45,46.4233,-156.07244873046875
22.2923,4223.47,230000,4220.23,46,46,46.0403,-198.87960815429688
26.0189,4331.74,235000,4302.37,47,47,46.9109,-153.42698669433594
25.2132,4322.79,240000,4042.27,48,48,45.8636,-168.8785400390625
20.0349,4430.57,245000,3207.29,49,49,44.8527,-246.283447265625
22.8181,4470.03,250000,4192.27,50,50,44.6083,-186.8480682373047
21.8522,4352.54,255000,4171.54,51,51,44.6171,-191.754150390625
20.8536,4525.3,260000,3963.3,52,52,44.223,-210.71783447265625
23.9222,4399.07,265000,4350.97,53,53,44.3371,-187.83665466308594
24.3978,4427.37,270000,4252.77,54,54,44.9932,-194.2666778564453
25.9902,4433.07,275000,4404.62,55,55,45.4129,-196.5812225341797
25.2876,4380.78,280000,4353.5,56,56,45.5935,-210.88421630859375
23.6062,4353.54,285000,4121.7,57,57,44.2106,-219.4595947265625
26.9824,4401.95,290000,4354.02,58,58,47.2557,-217.662841796875
25.5193,4504.37,295000,4403.01,59,59,44.5275,-218.5393829345703
23.9003,4518.5,300000,4401.19,60,60,45.4892,-214.0185546875
24.8753,4568.17,305000,4424.14,61,61,45.1413,-232.73089599609375
25.0116,4439.41,310000,4378.72,62,62,46.5793,-219.74046325683594
24.614,4546.75,315000,4418.75,63,63,44.845,-224.39088439941406
24.0574,4541.58,320000,4429.46,64,64,45.3525,-235.59706115722656
25.1065,4619.37,325000,4507.24,65,65,47.2853,-243.76478576660156
24.7987,4577.92,330000,4426.0,66,66,46.6581,-246.39236450195312
23.6111,4488.76,335000,4415.14,67,67,45.9873,-258.1232604980469
22.1343,4567.08,340000,4008.61,68,68,45.1789,-278.784912109375
25.0943,4642.05,345000,4469.9,69,69,46.7091,-259.112060546875
24.7621,4712.96,350000,3708.08,70,70,42.8769,-299.62860107421875
26.4648,4610.15,355000,4457.09,71,71,44.2092,-271.6094055175781
23.0807,4519.06,360000,4323.41,72,72,44.3478,-279.12713623046875
23.5892,4508.2,365000,4299.79,73,73,45.9925,-274.36773681640625
23.3586,4550.56,370000,4356.03,74,74,44.5512,-292.0467224121094
21.2431,4485.39,375000,4438.48,75,75,42.2054,-289.0939025878906
24.6838,4603.98,380000,4477.96,76,76,46.78,-297.97027587890625
24.0348,4505.28,385000,4428.27,77,77,45.2932,-291.0606384277344
23.0507,4625.75,390000,4485.02,78,78,45.1776,-306.2591552734375
22.3375,4621.06,395000,4506.68,79,79,42.5669,-305.9991760253906
24.0087,4607.98,400000,4500.33,80,80,45.8055,-318.0599365234375
23.5369,4557.23,405000,4496.63,81,81,45.9973,-312.9467468261719
22.1302,4604.62,410000,4482.71,82,82,44.4549,-315.2961120605469
22.6294,4666.26,415000,4513.75,83,83,43.1921,-324.7759094238281
23.9549,4605.68,420000,4331.91,84,84,46.3589,-330.3719482421875
24.0251,4687.49,425000,4546.66,85,85,43.4823,-334.72802734375
23.2262,4629.17,430000,4477.63,86,86,43.1523,-340.8287048339844
23.9017,4698.07,435000,4389.45,87,87,45.7788,-342.31243896484375
24.3833,4659.39,440000,4565.34,88,88,44.6573,-356.72314453125
24.4639,4662.4,445000,4547.13,89,89,46.5086,-363.4316711425781
24.5897,4651.51,450000,4548.87,90,90,46.6306,-364.2855224609375
23.2637,4639.62,455000,4485.07,91,91,44.8306,-370.2684020996094
25.1935,4676.99,460000,4563.85,92,92,45.9248,-378.12188720703125
22.3987,4681.69,465000,4204.55,93,93,43.8196,-366.29168701171875
22.2454,4617.83,470000,4582.07,94,94,45.091,-376.261474609375
22.0715,4665.46,475000,4544.36,95,95,42.5095,-367.9813537597656
24.5322,4662.27,480000,4532.28,96,96,45.3893,-382.4324645996094
23.7237,4702.53,485000,4555.11,97,97,45.5839,-394.9804992675781
23.7516,4626.79,490000,4518.92,98,98,45.841,-398.5234375
23.4845,4701.86,495000,4588.94,99,99,45.4567,-401.57440185546875
23.6655,4638.97,500000,4546.37,100,100,44.9035,-403.98199462890625
26.3332,4686.39,505000,4576.71,101,101,45.7735,-427.2165832519531
23.0721,4663.7,510000,4554.57,102,102,44.6753,-415.0428771972656
22.3837,4705.6,515000,4555.39,103,103,43.0867,-409.2760925292969
23.5945,4713.11,520000,4594.7,104,104,45.8172,-436.2314758300781
24.1695,4733.23,525000,4603.57,105,105,46.6419,-441.6007995605469
23.466,4630.52,530000,4399.66,106,106,44.8715,-434.6048583984375
24.1553,4766.66,535000,4639.64,107,107,45.1849,-425.8107604980469
23.8244,4788.49,540000,4625.84,108,108,45.4462,-441.0943908691406
23.7223,4757.63,545000,4587.69,109,109,45.7445,-453.6277770996094
22.8661,4623.54,550000,4559.32,110,110,43.8604,-457.81622314453125
23.9612,4782.34,555000,4648.1,111,111,45.1828,-467.1434326171875
22.8764,4740.95,560000,4561.69,112,112,45.3248,-461.2972412109375
23.4779,4690.3,565000,4557.98,113,113,45.3282,-467.8362731933594
24.5086,4711.33,570000,4465.51,114,114,45.5069,-465.4502868652344
23.5717,4764.04,575000,4614.32,115,115,43.6133,-466.39154052734375
23.4343,4607.87,580000,4519.85,116,116,45.3173,-494.519287109375
24.3675,4750.78,585000,4600.11,117,117,46.0474,-500.92022705078125
23.4455,4704.32,590000,4612.09,118,118,45.6579,-492.71875
22.5637,4729.97,595000,4575.24,119,119,45.5477,-519.1860961914062
22.7416,4668.79,600000,4578.23,120,120,44.5519,-519.1024780273438
23.7029,4642.28,605000,4589.85,121,121,45.2154,-517.7535400390625
23.1676,4613.22,610000,4541.84,122,122,44.6069,-529.61376953125
22.8483,4593.94,615000,4522.87,123,123,44.922,-526.3663940429688
23.0229,4704.96,620000,4627.28,124,124,45.5435,-553.3464965820312
22.5495,4709.88,625000,4420.29,125,125,44.7863,-547.6256103515625
22.9855,4794.49,630000,4568.92,126,126,44.3952,-554.3186645507812
22.7766,4738.77,635000,4594.23,127,127,44.9001,-537.7030639648438
21.6727,4512.67,640000,4428.9,128,128,43.3308,-549.0906372070312
23.1439,4736.31,645000,4590.37,129,129,44.836,-560.6414184570312
22.5681,4686.27,650000,4545.71,130,130,44.4128,-567.6766357421875
23.6819,4643.5,655000,4607.59,131,131,45.8079,-580.3624877929688
22.5286,4663.61,660000,4574.68,132,132,43.4186,-566.5535888671875
22.6661,4809.65,665000,4617.9,133,133,42.9442,-568.7809448242188
23.706,4798.47,670000,4655.33,134,134,45.9126,-593.7095947265625
22.4297,4750.95,675000,4600.92,135,135,45.4558,-611.047119140625
23.1032,4592.93,680000,4570.56,136,136,45.076,-602.2115478515625
22.9428,4510.63,685000,4499.85,137,137,46.1195,-621.7783813476562
22.1938,4786.52,690000,4642.94,138,138,44.2326,-606.2376708984375
