Running Forward KL,Real Det Return,Itration,Running Reverse KL,Running Env Steps,Real Sto Return,Running Update Time,Reward Loss
49.9386,276.26,0,15.072,0,306.06,0,66.8147964477539
49.3315,380.89,1,13.7053,5000,327.01,1,75.37909698486328
49.4879,364.52,2,14.2461,10000,362.67,2,14.20155143737793
49.6747,528.16,3,14.4438,15000,369.31,3,88.60896301269531
49.0492,962.68,4,15.8099,20000,437.18,4,76.9341812133789
49.7108,411.72,5,20.2127,25000,463.28,5,62.35475158691406
48.8527,559.96,6,16.4959,30000,456.81,6,43.1115608215332
49.5311,338.32,7,35.9946,35000,477.43,7,62.07289505004883
49.5912,500.97,8,17.3328,40000,467.88,8,-28.343162536621094
48.3533,459.06,9,20.4654,45000,506.03,9,-57.83306884765625
47.9812,644.6,10,22.0375,50000,556.11,10,-72.50401306152344
47.0615,669.44,11,35.4607,55000,767.89,11,-67.12409210205078
46.3327,901.18,12,24.2388,60000,961.52,12,-69.4319076538086
46.7956,1550.0,13,23.2007,65000,1399.75,13,-80.4952392578125
47.0029,1215.91,14,22.5695,70000,937.24,14,-36.91285705566406
45.6163,1045.4,15,18.6835,75000,1011.64,15,-80.44994354248047
46.7523,2025.46,16,16.3105,80000,1438.59,16,-99.93307495117188
46.8836,2314.9,17,17.2731,85000,1427.34,17,-69.04684448242188
46.0975,2142.71,18,16.858,90000,1655.27,18,-61.86771774291992
46.9537,974.23,19,19.8294,95000,916.73,19,-153.3939666748047
46.1892,1099.87,20,17.2202,100000,985.98,20,-172.56358337402344
46.924,978.2,21,18.4381,105000,1057.28,21,-177.1511993408203
46.6156,1443.96,22,19.777,110000,1350.66,22,-178.0091094970703
45.9355,1423.06,23,18.864,115000,1301.28,23,-189.45643615722656
45.7359,1758.95,24,16.6217,120000,1545.35,24,-178.7010955810547
46.0804,1349.32,25,22.6348,125000,1276.88,25,-207.24215698242188
45.9995,1948.96,26,32.2065,130000,1525.1,26,-217.69325256347656
45.5505,1602.01,27,25.7158,135000,1548.58,27,-226.53504943847656
46.1192,1177.55,28,28.6091,140000,1280.0,28,-170.97694396972656
46.3144,2242.62,29,35.6262,145000,1401.6,29,-222.9556121826172
45.9333,2058.55,30,31.8495,150000,1675.59,30,-213.327880859375
45.6559,2226.26,31,18.6269,155000,2019.84,31,-139.90936279296875
45.9601,1623.45,32,23.1808,160000,1372.53,32,-180.35699462890625
46.4229,1473.12,33,28.1063,165000,1788.05,33,-160.2664031982422
45.8887,1295.64,34,18.4906,170000,1870.19,34,-150.64305114746094
45.8823,1507.99,35,25.2804,175000,1683.07,35,-169.3314208984375
