Running Reverse KL,Real Det Return,Real Sto Return,Running Forward KL,Running Update Time,Running Env Steps,Itration,Reward Loss
12.7951,669.65,423.44,48.9424,0,0,0,172.2144775390625
16.0702,350.49,347.43,48.7864,1,5000,1,43.548152923583984
13.1693,387.94,363.17,48.5603,2,10000,2,137.59568786621094
24.9159,314.32,347.85,49.3222,3,15000,3,6.022989749908447
18.6621,463.79,469.8,48.7507,4,20000,4,-18.115922927856445
15.0673,2091.05,1334.91,47.2354,5,25000,5,109.20387268066406
15.7468,2080.31,1159.55,47.2546,6,30000,6,157.37294006347656
16.8737,2046.84,1540.96,47.5997,7,35000,7,57.0098762512207
13.4784,1976.68,1231.39,46.8828,8,40000,8,111.52401733398438
12.6164,781.08,757.68,47.6546,9,45000,9,152.8131103515625
13.8622,2464.02,1416.78,46.9361,10,50000,10,79.80693817138672
13.5452,669.51,1119.74,46.9814,11,55000,11,85.22205352783203
13.5155,1163.9,1244.88,47.2351,12,60000,12,66.68606567382812
18.6273,878.55,896.57,47.128,13,65000,13,3.328293561935425
19.7537,952.22,978.07,46.9564,14,70000,14,-18.77655029296875
27.8536,1509.94,1219.47,46.7316,15,75000,15,-56.43272399902344
18.245,1325.48,1106.7,46.6627,16,80000,16,-47.61837387084961
18.1627,1249.63,1621.16,46.7456,17,85000,17,-25.02398109436035
15.5969,1372.79,1261.95,46.2931,18,90000,18,84.97804260253906
15.7215,1796.52,1552.62,46.0935,19,95000,19,49.935550689697266
20.3762,1605.35,1443.56,46.5309,20,100000,20,10.032474517822266
22.6422,1494.11,1067.7,46.7663,21,105000,21,91.53866577148438
16.993,1246.08,1337.83,46.5787,22,110000,22,17.382293701171875
17.0533,1795.66,1222.17,46.9542,23,115000,23,-10.638266563415527
46.8144,1432.64,1706.54,46.1703,24,120000,24,-84.52938842773438
29.1058,1626.65,1428.81,46.4154,25,125000,25,-114.70237731933594
22.2896,2029.08,1227.58,45.9976,26,130000,26,-95.25239562988281
21.2021,2493.11,2184.91,45.9396,27,135000,27,-95.99627685546875
23.2977,2016.32,1625.27,46.1294,28,140000,28,-131.50601196289062
17.0148,2481.32,2327.23,45.9368,29,145000,29,-104.04930877685547
32.3692,1465.07,1486.71,46.4234,30,150000,30,-217.0867156982422
19.9942,2657.37,1944.75,46.325,31,155000,31,-128.94570922851562
20.4506,2953.23,2447.85,45.7479,32,160000,32,-142.6195068359375
19.044,2863.78,2390.57,46.7359,33,165000,33,-135.01959228515625
24.2926,2820.86,2285.58,46.2275,34,170000,34,-170.2114715576172
22.1764,2364.03,1672.41,46.2845,35,175000,35,-186.68804931640625
18.7177,3009.73,1857.68,45.7773,36,180000,36,-168.64576721191406
18.2397,2848.96,1721.99,45.6952,37,185000,37,-192.77685546875
18.3291,2797.84,2427.9,45.737,38,190000,38,-188.21600341796875
30.3255,1959.34,1583.69,46.1558,39,195000,39,-309.0984191894531
31.4014,2309.7,1877.62,46.5225,40,200000,40,-316.1337890625
19.746,2676.22,2773.48,46.3399,41,205000,41,-203.88368225097656
17.1626,2804.93,2562.63,45.7751,42,210000,42,-187.1658935546875
17.3524,2711.36,2460.6,45.7006,43,215000,43,-194.0275421142578
16.9376,2133.46,2632.5,47.2147,44,220000,44,-201.36314392089844
17.6611,2749.51,2828.6,46.2867,45,225000,45,-186.770263671875
19.1488,3031.3,2792.14,45.5919,46,230000,46,-234.10194396972656
22.6927,2908.49,2077.95,45.7672,47,235000,47,-317.795654296875
22.7758,2825.58,2056.21,46.3114,48,240000,48,-313.57855224609375
22.9698,1924.86,1516.42,46.5503,49,245000,49,-406.641845703125
20.782,3124.47,2167.83,45.885,50,250000,50,-338.1728515625
20.4191,3022.45,2552.25,45.8912,51,255000,51,-298.0876770019531
19.7441,2936.59,2648.22,45.4775,52,260000,52,-269.580322265625
17.8119,3012.25,2921.05,45.4515,53,265000,53,-281.3042907714844
25.677,2985.28,2917.37,46.209,54,270000,54,-360.0889587402344
27.3073,3114.8,2039.92,45.8077,55,275000,55,-384.4093322753906
21.871,3030.99,2288.2,45.7752,56,280000,56,-350.87957763671875
22.0641,3059.73,2161.54,45.8462,57,285000,57,-315.5694580078125
23.463,3195.91,2064.68,45.4774,58,290000,58,-378.1315612792969
32.9479,2952.2,2087.86,45.7005,59,295000,59,-439.9193420410156
17.6032,2968.25,2845.71,45.1777,60,300000,60,-285.5643005371094
19.6639,3347.13,1821.21,45.1063,61,305000,61,-393.1543884277344
22.4574,2839.19,2010.35,45.3864,62,310000,62,-396.1964111328125
18.2716,3062.22,2338.97,44.9323,63,315000,63,-345.23602294921875
17.7911,3337.06,2583.13,45.5692,64,320000,64,-399.63623046875
18.6482,3073.26,2317.96,45.6003,65,325000,65,-416.7306213378906
22.0099,3043.37,2308.08,45.6137,66,330000,66,-461.0231628417969
21.9176,2863.48,2874.92,46.4954,67,335000,67,-366.33966064453125
18.6263,2818.41,2868.45,45.4589,68,340000,68,-408.4950866699219
29.2867,2978.46,2056.93,45.8869,69,345000,69,-503.7986145019531
21.221,3012.31,2027.85,45.4277,70,350000,70,-495.6374816894531
22.6634,3082.67,2216.3,45.874,71,355000,71,-473.5105895996094
18.4808,3374.22,2532.6,46.0518,72,360000,72,-471.05413818359375
15.4177,3141.47,1872.94,44.8623,73,365000,73,-409.7579650878906
24.9657,3125.4,2205.4,45.7634,74,370000,74,-540.5553588867188
20.9266,2167.28,1841.68,45.884,75,375000,75,-566.31201171875
16.2073,3346.13,2631.99,45.4967,76,380000,76,-438.9310302734375
18.8542,3219.05,2659.38,45.5239,77,385000,77,-463.354736328125
17.1246,2728.08,2161.25,45.6689,78,390000,78,-509.129638671875
18.4306,3622.78,3409.16,45.2978,79,395000,79,-362.6282958984375
20.6621,3496.31,2868.37,45.515,80,400000,80,-473.0196228027344
22.739,3533.76,2185.15,45.8848,81,405000,81,-574.5555419921875
17.9196,3438.74,2810.84,45.6714,82,410000,82,-419.8661193847656
18.9521,3752.08,2430.31,45.2421,83,415000,83,-487.2290344238281
18.7686,3570.77,3217.28,45.3003,84,420000,84,-457.21282958984375
19.9143,3353.81,3360.92,45.6227,85,425000,85,-396.1239013671875
20.1231,3613.49,3642.13,45.8938,86,430000,86,-406.5873718261719
19.0986,3571.12,3423.43,45.81,87,435000,87,-386.979736328125
19.3145,3425.47,2769.05,45.0439,88,440000,88,-454.6605529785156
20.2741,3720.27,3148.83,45.7613,89,445000,89,-438.5214538574219
19.9515,3676.17,3398.98,45.3522,90,450000,90,-515.5545654296875
16.955,3305.73,3440.59,46.0991,91,455000,91,-476.0743408203125
19.3876,3173.49,3662.18,45.4793,92,460000,92,-478.6814270019531
19.2371,3333.26,2943.25,45.9561,93,465000,93,-495.1634521484375
18.6133,3232.4,2463.43,46.1327,94,470000,94,-625.6386108398438
19.209,3293.32,3370.51,45.8286,95,475000,95,-488.454833984375
17.707,3438.67,3548.18,45.9281,96,480000,96,-483.4300537109375
17.5006,3070.01,3151.91,45.5162,97,485000,97,-526.7012329101562
15.6903,3030.1,2787.23,45.1287,98,490000,98,-538.9840698242188
18.6442,3189.08,3069.11,45.7502,99,495000,99,-634.3974609375
17.2741,3274.69,3381.46,45.3264,100,500000,100,-499.3581237792969
17.4398,3202.16,3555.81,45.4975,101,505000,101,-540.3367309570312
14.9644,3031.73,2648.02,45.4906,102,510000,102,-606.1209716796875
17.2131,3116.56,3339.73,45.7805,103,515000,103,-556.2975463867188
18.9781,3264.49,3503.93,45.4314,104,520000,104,-592.1296997070312
17.2153,2901.92,3030.18,45.5598,105,525000,105,-586.5865478515625
17.6087,3206.53,3306.47,45.755,106,530000,106,-581.009521484375
16.9123,3328.97,3460.14,45.4435,107,535000,107,-562.2496948242188
18.2419,3014.52,3440.87,44.7554,108,540000,108,-668.1458740234375
17.1962,3307.95,3454.19,45.4042,109,545000,109,-600.1803588867188
16.1843,3173.56,3277.2,46.0039,110,550000,110,-607.8494873046875
17.0141,3027.36,3026.6,45.8177,111,555000,111,-637.0153198242188
17.3186,3220.62,3446.63,45.2137,112,560000,112,-647.9190673828125
15.9946,3061.09,3267.91,45.733,113,565000,113,-640.4147338867188
17.2029,3328.78,3035.55,45.4301,114,570000,114,-748.6038818359375
18.978,3518.63,3393.32,45.4226,115,575000,115,-647.8206176757812
16.938,3485.27,3228.61,45.44,116,580000,116,-700.1820068359375
16.3793,3415.64,3440.73,45.2789,117,585000,117,-728.5489501953125
17.0733,3216.71,3173.43,45.2885,118,590000,118,-655.3953857421875
16.4985,3188.86,3287.87,45.341,119,595000,119,-694.9087524414062
19.7447,3093.17,2831.15,45.3963,120,600000,120,-803.5360717773438
17.1195,3500.26,3210.32,45.5524,121,605000,121,-708.4179077148438
16.7746,3201.41,3053.99,45.3204,122,610000,122,-787.2158203125
17.8934,3219.89,2109.14,45.6423,123,615000,123,-820.7642211914062
17.9354,3325.68,2673.17,45.3735,124,620000,124,-772.7476196289062
15.8504,3087.26,3008.57,45.4967,125,625000,125,-805.4802856445312
18.8691,3297.82,3043.19,44.943,126,630000,126,-707.3226318359375
17.5109,3263.4,2736.9,45.3758,127,635000,127,-825.0453491210938
19.0989,3314.23,3021.56,45.0326,128,640000,128,-799.44384765625
19.903,3082.2,3238.77,45.2334,129,645000,129,-820.9325561523438
18.3287,3289.83,3345.17,45.531,130,650000,130,-839.2285766601562
17.8807,3340.41,3258.22,44.9877,131,655000,131,-773.7684936523438
17.8662,2342.51,2788.83,45.4853,132,660000,132,-875.3797607421875
16.8792,2985.46,3273.86,45.441,133,665000,133,-871.210693359375
17.7327,3287.82,3189.54,44.654,134,670000,134,-768.6203002929688
16.3434,3137.29,3381.98,45.3737,135,675000,135,-828.6185302734375
16.8086,3252.49,3119.98,45.0849,136,680000,136,-828.9457397460938
18.1486,3165.84,3156.28,45.4719,137,685000,137,-876.7619018554688
16.1109,3277.27,2991.57,45.8325,138,690000,138,-963.9963989257812
18.4775,3173.52,3017.17,45.3852,139,695000,139,-889.1701049804688
19.0102,3290.49,3486.82,45.511,140,700000,140,-982.84130859375
21.566,3254.66,2282.42,45.1276,141,705000,141,-1064.906494140625
20.7637,3066.8,2276.48,45.1551,142,710000,142,-1002.1687622070312
18.1949,3322.2,3337.25,44.9627,143,715000,143,-896.1893310546875
18.9632,3047.37,2428.25,45.0159,144,720000,144,-975.0677490234375
20.7088,3148.25,2698.48,45.6673,145,725000,145,-1095.8294677734375
17.6131,3509.59,3259.01,44.9133,146,730000,146,-868.784423828125
18.0608,3270.35,2606.74,45.2929,147,735000,147,-991.8871459960938
17.3738,3497.88,2688.25,45.1607,148,740000,148,-1027.5880126953125
17.7583,3471.33,2954.7,45.3479,149,745000,149,-1005.2122802734375
17.0084,3383.84,3182.07,44.8471,150,750000,150,-957.3138427734375
17.7422,3214.77,3269.27,45.1757,151,755000,151,-1018.9881591796875
17.5395,3460.87,2450.59,44.9516,152,760000,152,-1096.4114990234375
17.9871,3287.62,3062.03,45.4157,153,765000,153,-1022.6151733398438
18.9732,3300.16,2765.4,45.6441,154,770000,154,-1203.31787109375
18.4252,3398.37,2924.3,45.0674,155,775000,155,-981.9418334960938
16.5332,3456.8,3354.36,44.9971,156,780000,156,-1062.3814697265625
17.5922,3527.7,3171.29,44.9696,157,785000,157,-1101.588623046875
15.9917,3413.11,3260.57,45.1032,158,790000,158,-1008.4388427734375
17.3243,3389.38,3578.91,44.7599,159,795000,159,-997.1041870117188
18.9531,3661.6,3509.97,45.1233,160,800000,160,-967.9654541015625
18.8755,3927.97,3432.74,45.2924,161,805000,161,-1024.7725830078125
21.1178,2926.08,2987.17,45.3561,162,810000,162,-1120.8173828125
17.2077,3338.63,3672.32,44.9738,163,815000,163,-1008.5108032226562
17.1621,3248.94,3191.04,45.4131,164,820000,164,-1068.9739990234375
18.2744,3348.6,3544.48,45.5199,165,825000,165,-1146.8292236328125
17.2807,3166.41,3226.66,45.703,166,830000,166,-1131.3543701171875
17.8182,3359.36,3131.79,45.1168,167,835000,167,-1176.38916015625
17.5697,3160.67,3420.47,45.4132,168,840000,168,-1102.425048828125
17.9675,3436.11,3216.06,45.1258,169,845000,169,-1149.5654296875
18.6515,3558.48,3542.14,45.4558,170,850000,170,-1131.50341796875
17.4382,3017.99,2859.73,44.8255,171,855000,171,-1305.366455078125
18.4785,3522.99,2969.17,44.8503,172,860000,172,-1163.095458984375
