Real Det Return,Running Env Steps,Running Reverse KL,Real Sto Return,Running Forward KL,Running Update Time,Reward Loss,Itration
503.93,0,14.7915,297.85,49.6627,0,113.44829559326172,0
412.04,5000,14.6604,421.67,49.2724,1,210.17222595214844,1
383.46,10000,24.1543,366.62,49.5695,2,384.81658935546875,2
396.71,15000,16.9312,348.27,49.587,3,285.1969909667969,3
291.21,20000,18.2721,198.48,50.6814,4,221.64479064941406,4
216.01,25000,18.9717,214.57,52.2248,5,146.22381591796875,5
16.9,30000,29.8436,59.96,50.5503,6,99.4233627319336,6
305.78,35000,14.2707,246.21,49.7527,7,253.7710418701172,7
222.58,40000,14.668,203.67,49.8025,8,147.30850219726562,8
290.42,45000,13.8935,305.73,49.7462,9,91.25662231445312,9
153.67,50000,25.8935,186.86,51.3189,10,1.8147528171539307,10
347.33,55000,63.8072,275.3,49.7244,11,105.56236267089844,11
249.19,60000,39.6624,229.31,51.2967,12,73.77999877929688,12
355.59,65000,22.3393,181.82,49.479,13,75.78089904785156,13
510.79,70000,110.77,448.64,49.3899,14,83.1055908203125,14
381.61,75000,44.3515,364.37,50.2987,15,-174.41685485839844,15
415.55,80000,20.7245,413.88,50.0947,16,101.9328842163086,16
261.0,85000,45.7923,266.17,51.0902,17,44.52130126953125,17
322.62,90000,54.4863,260.6,52.1749,18,54.50248718261719,18
58.44,95000,89.6926,152.12,50.855,19,-17.974018096923828,19
3.09,100000,75.7921,3.61,53.0156,20,-44.129432678222656,20
-9.64,105000,100.7458,-9.46,57.3158,21,40.02115249633789,21
-18.29,110000,96.9641,-20.05,56.2995,22,-223.93975830078125,22
685.06,115000,17.7634,376.23,50.6753,23,-0.21344423294067383,23
413.4,120000,18.6749,351.22,50.1051,24,7.312983512878418,24
735.33,125000,38.2383,711.36,52.0141,25,-124.24909973144531,25
357.93,130000,21.1403,425.28,49.3106,26,65.69576263427734,26
502.46,135000,46.2402,522.39,53.5795,27,-266.2176513671875,27
452.97,140000,39.4566,537.01,51.8572,28,-242.88186645507812,28
693.59,145000,62.9942,818.95,50.0101,29,-294.8721008300781,29
1023.37,150000,51.8654,1024.41,57.7078,30,-366.95843505859375,30
1049.16,155000,49.5657,1065.63,55.9783,31,-377.1883239746094,31
1025.95,160000,51.13,1029.33,57.0887,32,-384.73785400390625,32
1162.84,165000,37.3155,1164.9,54.0716,33,-317.90765380859375,33
1263.49,170000,54.9409,1153.0,54.7179,34,-308.8221435546875,34
116.19,175000,47.837,111.63,50.8999,35,5.204558372497559,35
383.22,180000,53.4163,331.41,53.5408,36,-309.4764099121094,36
1017.31,185000,59.3057,1016.77,57.3901,37,-432.38153076171875,37
1030.42,190000,54.5384,983.69,56.0396,38,-440.4652404785156,38
744.35,195000,60.7627,426.43,54.946,39,-374.33740234375,39
239.71,200000,35.0585,262.68,50.0726,40,-193.4338836669922,40
1057.89,205000,64.3542,1068.7,56.5336,41,-299.8810119628906,41
1039.11,210000,45.9754,936.43,55.0181,42,-298.91796875,42
760.02,215000,31.9954,814.55,51.5841,43,-344.649658203125,43
860.7,220000,31.708,753.96,53.5711,44,-376.1786193847656,44
69.75,225000,133.1699,67.63,55.9459,45,-38.97565460205078,45
343.47,230000,72.5053,215.82,53.6822,46,-356.5241394042969,46
286.98,235000,62.2423,398.32,52.8338,47,-469.4848327636719,47
221.17,240000,27.8532,204.94,51.0561,48,-268.624755859375,48
569.5,245000,21.6796,366.85,50.5192,49,-262.6575012207031,49
1053.96,250000,22.4559,615.0,48.9263,50,-185.1048126220703,50
1026.46,255000,48.6447,1028.28,55.6512,51,-567.3289184570312,51
1020.66,260000,52.7071,1020.75,56.9236,52,-584.502685546875,52
872.77,265000,53.8793,866.74,56.1289,53,-515.9008178710938,53
428.11,270000,47.0602,558.23,55.0337,54,-477.51824951171875,54
931.85,275000,62.7507,920.61,54.8574,55,-533.5424194335938,55
789.96,280000,49.8992,635.44,53.9981,56,-553.2514038085938,56
121.46,285000,75.5785,140.66,55.9543,57,-348.5022277832031,57
444.71,290000,94.0776,444.54,55.3138,58,-512.1254272460938,58
1262.6,295000,51.0886,902.67,53.9521,59,-514.6024169921875,59
312.37,300000,41.2428,185.44,50.1258,60,-460.2191467285156,60
1021.86,305000,41.1086,946.31,51.1814,61,-560.2033081054688,61
1042.82,310000,34.0025,470.55,51.9179,62,-432.383056640625,62
1006.45,315000,30.283,987.53,53.8993,63,-563.1355590820312,63
698.74,320000,21.4399,660.49,50.4572,64,-423.6728820800781,64
1029.65,325000,52.5997,997.43,55.5006,65,-729.18994140625,65
77.43,330000,40.911,245.36,54.5779,66,-444.7123107910156,66
943.43,335000,36.6762,939.97,53.9428,67,-682.4078369140625,67
965.49,340000,25.5957,640.07,52.1517,68,-583.7435913085938,68
864.77,345000,42.4997,388.32,51.2068,69,-506.46783447265625,69
387.68,350000,42.203,233.18,50.4126,70,-681.5933837890625,70
149.3,355000,32.3667,168.78,51.4522,71,-503.8955078125,71
186.5,360000,26.5869,160.84,51.032,72,-519.7846069335938,72
294.83,365000,86.9761,321.89,51.4299,73,-679.5619506835938,73
984.56,370000,39.5361,760.0,48.9804,74,-473.5906677246094,74
229.19,375000,56.8546,260.97,51.7978,75,-788.406494140625,75
352.6,380000,28.7986,306.78,51.8606,76,-563.75634765625,76
484.39,385000,16.7039,428.55,50.0222,77,-309.06201171875,77
342.58,390000,72.452,347.08,51.7875,78,-564.5519409179688,78
418.67,395000,61.1886,397.58,49.8196,79,-797.9306030273438,79
823.9,400000,33.3305,440.0,51.1929,80,-598.2805786132812,80
2.7,405000,88.3769,2.33,50.4597,81,-790.577392578125,81
129.78,410000,68.473,151.74,51.6561,82,-714.3590087890625,82
999.47,415000,53.0655,998.67,57.3232,83,-908.2977905273438,83
44.42,420000,54.6619,36.65,52.8787,84,-827.0330200195312,84
331.37,425000,37.814,363.12,51.6251,85,-623.6847534179688,85
633.29,430000,45.2101,570.94,53.7643,86,-893.4277954101562,86
504.72,435000,47.0078,465.09,53.3936,87,-793.5259399414062,87
930.18,440000,32.7217,953.75,53.6328,88,-869.0048217773438,88
298.73,445000,54.7186,296.88,53.9384,89,-728.6400756835938,89
