Real Sto Return,Running Forward KL,Running Env Steps,Running Reverse KL,Running Update Time,Itration,Reward Loss,Real Det Return
344.02,49.478,0,11.9953,0,0,72.52429962158203,941.64
282.02,50.1446,5000,22.2519,1,1,13.701312065124512,321.8
414.28,48.8928,10000,19.1451,2,2,26.088491439819336,440.95
370.91,49.9523,15000,13.4907,3,3,37.68117904663086,368.12
403.05,49.3745,20000,17.8795,4,4,-3.76934552192688,419.37
409.65,49.1482,25000,13.7306,5,5,-16.205764770507812,585.87
453.76,48.9803,30000,17.6598,6,6,-42.47874069213867,422.68
360.4,49.2852,35000,12.8276,7,7,-23.985668182373047,370.31
415.31,48.9807,40000,16.5954,8,8,-94.5044174194336,377.2
376.49,49.3112,45000,20.9293,9,9,-101.48713684082031,374.46
748.32,47.8356,50000,12.8689,10,10,-73.06782531738281,749.06
576.14,47.7434,55000,11.864,11,11,-61.972530364990234,727.39
487.38,48.8013,60000,12.5822,12,12,-102.13337707519531,486.48
711.25,47.4257,65000,14.204,13,13,-87.55436706542969,858.81
553.45,48.5223,70000,14.5659,14,14,-74.6182632446289,531.83
708.66,47.4476,75000,14.1486,15,15,-122.14716339111328,709.22
736.02,47.7886,80000,12.9494,16,16,-157.42283630371094,819.32
820.4,48.5797,85000,17.6624,17,17,-137.3538360595703,1008.95
704.77,47.5219,90000,14.9072,18,18,-158.76327514648438,913.55
1003.02,47.8554,95000,17.3298,19,19,-187.02455139160156,1008.24
1191.62,47.7818,100000,16.729,20,20,-175.26197814941406,1314.76
1085.17,46.868,105000,15.5656,21,21,-196.39012145996094,1351.48
1185.27,46.4945,110000,25.9912,22,22,-217.17315673828125,1343.87
923.8,47.2526,115000,18.3503,23,23,-179.13902282714844,1012.55
1077.51,46.7514,120000,19.5956,24,24,-188.1446990966797,1173.12
905.17,46.9919,125000,12.3672,25,25,-206.09141540527344,922.4
785.24,47.1569,130000,14.774,26,26,-214.03076171875,945.36
1003.25,47.1722,135000,16.2525,27,27,-223.91387939453125,1101.9
984.98,46.7364,140000,13.5798,28,28,-245.61865234375,1297.22
863.37,47.3693,145000,17.2444,29,29,-229.64312744140625,805.15
1155.13,47.3115,150000,22.6892,30,30,-225.60223388671875,1368.19
1127.37,46.4852,155000,17.2181,31,31,-215.18338012695312,1227.76
1117.78,46.53,160000,25.1011,32,32,-216.32920837402344,1312.39
1070.06,47.4298,165000,25.0237,33,33,-227.7367401123047,1388.74
1289.26,46.3995,170000,25.1141,34,34,-237.500732421875,1403.61
1226.65,47.5752,175000,21.0494,35,35,-205.95523071289062,1296.5
2273.3,45.2784,180000,24.1191,36,36,-217.6445770263672,3095.63
1310.21,46.7851,185000,19.014,37,37,-253.15440368652344,1930.18
1331.29,46.1028,190000,22.2604,38,38,-270.0485534667969,1848.83
1455.55,45.7558,195000,18.2572,39,39,-236.95602416992188,1588.83
2139.93,45.0024,200000,17.2831,40,40,-239.3727569580078,2764.59
2196.46,44.9158,205000,17.5734,41,41,-223.16217041015625,2928.28
2624.77,45.0628,210000,17.5318,42,42,-268.1115417480469,3538.86
2751.62,45.2495,215000,18.5401,43,43,-250.69308471679688,1854.01
2462.62,45.7435,220000,19.9266,44,44,-235.13772583007812,3240.58
2666.08,45.6897,225000,18.8053,45,45,-253.19105529785156,3044.72
2988.73,46.3466,230000,22.9372,46,46,-220.59011840820312,3530.16
3459.13,45.9894,235000,22.5253,47,47,-228.29920959472656,3371.32
3383.42,45.4915,240000,22.6685,48,48,-231.71273803710938,3513.35
3369.41,45.0811,245000,20.5334,49,49,-232.22425842285156,3621.07
3582.6,45.314,250000,20.4339,50,50,-260.8819274902344,3847.02
3693.09,44.9308,255000,22.8688,51,51,-248.16912841796875,3763.03
3686.7,44.9605,260000,21.8577,52,52,-285.5929870605469,3815.07
3356.16,44.6099,265000,21.621,53,53,-294.1194152832031,3286.25
3687.44,45.2871,270000,25.6403,54,54,-300.46124267578125,3860.74
3666.98,44.6819,275000,22.6067,55,55,-295.7961120605469,3806.27
3811.75,44.9126,280000,21.3871,56,56,-289.3906555175781,3710.05
3707.83,44.2881,285000,20.7005,57,57,-325.0479431152344,3875.18
3664.63,44.8534,290000,21.6786,58,58,-312.1239318847656,3679.43
3289.39,44.2625,295000,20.5589,59,59,-323.54278564453125,3830.49
3415.19,44.1526,300000,22.1564,60,60,-338.9256591796875,3999.97
