Itration,Real Sto Return,Running Env Steps,Reward Loss,Running Update Time,Running Forward KL,Real Det Return,Running Reverse KL
0,342.12,0,153.6782989501953,0,48.8879,308.03,13.1036
1,226.37,5000,47.226844787597656,1,50.3904,703.4,14.2479
2,402.65,10000,93.42765808105469,2,48.9153,383.75,13.4389
3,341.29,15000,60.115665435791016,3,49.2095,318.25,16.6614
4,315.9,20000,113.40840148925781,4,49.618,438.21,13.8752
5,420.1,25000,69.97721099853516,5,48.6873,368.32,15.1823
6,424.88,30000,78.40067291259766,6,48.6375,412.66,13.6518
7,529.39,35000,68.4704360961914,7,48.7885,546.15,13.5304
8,502.22,40000,134.86846923828125,8,48.0394,586.48,13.5753
9,558.72,45000,75.36095428466797,9,48.1356,586.42,13.3512
10,581.55,50000,88.61779022216797,10,47.452,579.99,14.8483
11,623.47,55000,72.50896453857422,11,47.6636,628.93,14.7231
12,762.68,60000,51.45222091674805,12,48.1241,807.09,15.5033
13,619.53,65000,-9.744241714477539,13,47.8835,718.2,16.3935
14,592.14,70000,4.304513454437256,14,47.3349,628.12,14.6955
15,620.09,75000,17.96601676940918,15,48.0645,616.29,15.2513
16,583.22,80000,-114.38250732421875,16,48.3791,625.92,22.7567
17,692.05,85000,-136.94259643554688,17,46.9302,872.16,25.4439
18,642.28,90000,-87.216552734375,18,46.7931,679.33,16.9162
19,671.5,95000,-132.5930633544922,19,47.0136,809.02,19.9924
20,729.75,100000,-121.52840423583984,20,46.8235,1122.43,18.8791
21,808.13,105000,-144.38880920410156,21,46.1004,780.25,28.7654
22,1729.27,110000,-70.14171600341797,22,44.2365,1688.19,12.9405
23,1874.67,115000,-102.90603637695312,23,44.8352,2512.44,15.4312
24,2166.4,120000,-82.95783233642578,24,44.8022,2674.52,11.9231
25,1989.76,125000,-142.38560485839844,25,43.6388,2908.91,17.4615
26,2264.58,130000,-111.05418395996094,26,43.3603,2151.4,13.8139
27,1995.5,135000,-100.62615203857422,27,43.0358,1482.1,12.0354
28,2156.14,140000,-77.19155883789062,28,42.3034,1947.6,12.4102
29,2683.9,145000,-96.45257568359375,29,43.6729,3125.93,13.466
30,2490.38,150000,-70.7712173461914,30,43.6047,2646.5,13.4522
31,2527.93,155000,-119.52224731445312,31,42.3459,3316.16,17.3592
32,3461.88,160000,-97.777099609375,32,42.7141,3470.88,15.2646
33,3805.06,165000,-78.45413970947266,33,41.4038,3958.49,14.7356
34,3796.42,170000,-67.15929412841797,34,41.9363,3972.79,15.394
35,3946.85,175000,-75.50379943847656,35,40.8376,3930.42,14.1218
36,3803.18,180000,-71.51818084716797,36,40.8429,3938.04,14.6243
37,3856.3,185000,-95.6904296875,37,40.9985,3918.71,14.8486
38,3785.57,190000,-96.35287475585938,38,41.2921,3764.08,13.8942
39,3899.89,195000,-68.53488159179688,39,40.0757,4080.15,15.5693
40,2856.43,200000,-111.99483489990234,40,40.6061,639.44,13.0941
41,4178.3,205000,-82.9809341430664,41,40.1817,4166.64,15.5247
42,4396.32,210000,-76.20191955566406,42,39.9186,4430.48,15.1067
43,3921.0,215000,-120.56645965576172,43,40.5845,1381.79,15.2353
44,4372.39,220000,-87.94123077392578,44,40.3246,4428.69,15.4697
45,3947.09,225000,-82.12977600097656,45,40.2845,4173.37,14.6335
46,4055.17,230000,-81.34844970703125,46,39.4967,3879.75,14.6662
47,4182.29,235000,-83.38546752929688,47,39.5775,4300.83,14.492
48,4407.35,240000,-80.44969940185547,48,39.4362,4383.83,15.4884
49,4325.04,245000,-100.3675765991211,49,39.0404,4379.51,16.9536
50,4369.31,250000,-100.62769317626953,50,40.1538,4360.32,15.206
51,4391.77,255000,-102.76573944091797,51,39.1186,4157.22,14.4377
52,4381.78,260000,-100.3304443359375,52,38.3598,4477.04,13.195
53,4055.38,265000,-95.69596862792969,53,38.8322,4574.58,14.6793
54,4327.2,270000,-97.16337585449219,54,39.9538,4499.88,14.9508
55,4150.76,275000,-127.48968505859375,55,39.9159,3760.1,14.8298
56,4089.18,280000,-118.00971984863281,56,40.2187,4478.76,15.9295
57,2075.94,285000,-145.0625,57,41.1801,1425.68,13.7001
58,4409.66,290000,-105.09076690673828,58,39.245,4405.22,15.8744
59,3593.56,295000,-138.8599853515625,59,39.7085,4516.81,16.5361
60,4451.87,300000,-122.45670318603516,60,38.2095,4411.28,14.2779
61,4639.05,305000,-113.0038833618164,61,38.2476,4741.37,15.2035
62,4406.36,310000,-147.02352905273438,62,39.7441,4428.34,15.9522
63,4612.2,315000,-124.581787109375,63,38.4575,4667.66,16.3735
64,4353.53,320000,-146.91087341308594,64,39.3993,4379.89,16.0145
65,4591.37,325000,-113.28631591796875,65,38.8963,4709.05,15.9604
66,4604.25,330000,-125.22441101074219,66,38.2356,4690.19,15.2726
67,4525.11,335000,-134.57513427734375,67,38.2553,4626.92,15.5643
68,3910.87,340000,-174.25950622558594,68,39.0443,4688.75,15.5914
69,2083.61,345000,-187.890625,69,38.7224,2428.05,12.7745
70,4416.71,350000,-154.82286071777344,70,38.7144,4488.7,15.0714
71,4082.1,355000,-165.69027709960938,71,37.7504,4445.0,13.7891
72,4467.3,360000,-165.0996856689453,72,38.3086,4457.95,15.2617
73,4367.45,365000,-164.7979278564453,73,38.2326,4360.24,14.0673
74,4292.59,370000,-168.111328125,74,37.1081,4563.26,14.1533
75,4598.25,375000,-149.8458709716797,75,37.1216,4695.02,13.1914
76,4470.65,380000,-147.7936248779297,76,37.0137,4704.07,13.4406
77,4514.92,385000,-141.06800842285156,77,37.0127,4463.74,14.4176
78,3990.91,390000,-158.66244506835938,78,38.129,4635.24,15.6354
79,4589.36,395000,-177.2447509765625,79,37.6148,4668.64,15.7104
80,4609.15,400000,-151.17022705078125,80,36.5342,4757.56,14.8405
81,4532.83,405000,-197.0289306640625,81,37.7538,4791.85,15.8519
82,4228.29,410000,-229.56454467773438,82,39.784,3953.61,17.7767
83,4568.31,415000,-174.02792358398438,83,36.6034,4678.38,14.4105
84,4518.28,420000,-178.48843383789062,84,36.9655,4582.46,14.6126
85,4663.95,425000,-150.61988830566406,85,36.0149,4803.57,13.1053
86,4204.59,430000,-201.1772918701172,86,37.5493,1846.95,16.3143
87,4896.7,435000,-160.11476135253906,87,36.9966,4977.04,15.7555
88,4626.35,440000,-183.87374877929688,88,38.4926,4894.4,16.0456
89,4740.59,445000,-160.97537231445312,89,36.7193,4859.61,14.3007
90,4521.58,450000,-171.59915161132812,90,38.0055,4656.92,13.9657
91,4607.98,455000,-180.61656188964844,91,36.2376,4727.17,14.1251
92,4692.96,460000,-180.31520080566406,92,37.8329,4623.79,14.6911
93,4147.27,465000,-196.93809509277344,93,38.1035,4905.7,14.063
94,4774.49,470000,-158.7158966064453,94,34.4319,4751.88,14.4255
95,4788.53,475000,-161.4795379638672,95,35.1531,4846.4,14.5701
96,4905.81,480000,-165.19337463378906,96,37.0257,4963.89,16.3066
97,3635.07,485000,-301.15118408203125,97,39.8577,4735.63,12.5382
98,4585.63,490000,-215.2307586669922,98,38.745,4908.93,14.9952
99,4782.19,495000,-174.5864715576172,99,35.3608,4985.21,13.4981
100,4676.36,500000,-194.1341094970703,100,37.2891,4995.37,13.9536
101,4590.26,505000,-173.7602996826172,101,35.9537,4759.03,14.1294
102,4658.09,510000,-225.39501953125,102,37.9751,5037.51,14.6774
103,4867.18,515000,-191.5214080810547,103,37.0863,5015.34,14.8217
104,4822.78,520000,-212.34422302246094,104,37.1425,4827.79,16.7092
105,4962.08,525000,-216.81004333496094,105,37.9803,5029.33,15.6405
106,4867.61,530000,-183.2283172607422,106,36.6351,5073.23,15.947
107,4628.89,535000,-204.56719970703125,107,38.6284,4828.83,16.2189
108,4405.3,540000,-180.94944763183594,108,37.7875,4904.98,16.1827
109,4563.92,545000,-188.13973999023438,109,37.9392,4803.94,14.1547
110,4528.58,550000,-223.21575927734375,110,35.781,5157.89,15.1016
111,4990.09,555000,-202.85862731933594,111,37.7894,5111.97,16.329
112,4795.45,560000,-228.72393798828125,112,36.7579,4830.91,15.2128
113,4864.62,565000,-182.2718963623047,113,35.39,4708.99,15.8043
114,4892.25,570000,-218.52349853515625,114,37.1548,4988.2,17.1307
115,4994.99,575000,-219.2239227294922,115,36.9031,5103.8,17.0466
116,4677.7,580000,-241.93942260742188,116,36.7735,5054.46,14.1928
117,4864.75,585000,-230.58807373046875,117,37.717,5031.99,16.1647
118,4775.66,590000,-247.4390869140625,118,36.2347,4786.69,14.9738
119,4895.92,595000,-219.4588165283203,119,34.7168,5018.7,15.2663
120,4884.86,600000,-219.8540496826172,120,36.1117,4990.24,16.4768
121,4884.21,605000,-230.29815673828125,121,36.608,5064.4,16.1365
122,4930.64,610000,-217.88168334960938,122,36.3721,5064.98,16.1043
123,4931.7,615000,-225.98838806152344,123,36.3041,4977.58,14.9961
124,4795.77,620000,-232.1922149658203,124,35.2534,4895.4,13.6575
125,3705.56,625000,-420.56671142578125,125,39.8262,4410.8,14.0153
126,4967.34,630000,-239.05844116210938,126,37.1569,5040.8,15.6566
127,3635.89,635000,-327.428466796875,127,36.4745,4894.27,22.3166
128,4239.92,640000,-248.60870361328125,128,37.8795,5107.25,15.8826
129,4784.57,645000,-271.9622802734375,129,37.9464,5053.29,17.2334
130,4980.56,650000,-249.45956420898438,130,36.1891,5123.0,16.5207
131,4888.71,655000,-257.29058837890625,131,36.3143,4923.05,14.7679
132,4494.08,660000,-257.70611572265625,132,38.0441,5170.17,16.7002
133,4975.7,665000,-271.4858093261719,133,36.9448,5135.18,16.1893
134,4787.36,670000,-345.4617919921875,134,37.4247,5027.03,15.9996
135,4297.72,675000,-251.66636657714844,135,37.6138,4729.54,17.2227
136,4914.76,680000,-320.257080078125,136,38.7086,5028.47,16.383
137,4707.5,685000,-284.1754455566406,137,35.7035,4797.35,16.055
138,4854.33,690000,-290.9708557128906,138,37.1926,4903.44,15.0812
139,4777.31,695000,-320.3345031738281,139,36.9419,4840.68,15.8699
140,-7.4,700000,-563.3541259765625,140,40.1304,-8.89,20.0277
141,4819.97,705000,-324.4520568847656,141,36.675,4942.8,17.9427
142,4830.74,710000,-323.37933349609375,142,38.6548,4657.66,16.7584
143,4831.14,715000,-300.9347229003906,143,36.4975,4876.81,14.1833
144,4771.13,720000,-291.6655578613281,144,36.9126,5155.33,16.1367
145,4951.84,725000,-291.3150329589844,145,35.1722,5020.42,15.0522
146,4938.26,730000,-289.9303894042969,146,36.4544,5189.31,14.5213
147,4919.21,735000,-274.691650390625,147,35.8956,5011.7,14.4282
148,4957.67,740000,-332.96905517578125,148,38.2384,5026.93,17.196
149,4975.83,745000,-387.3136901855469,149,37.6371,5085.34,17.5419
150,4949.78,750000,-309.1872253417969,150,36.4081,5068.78,14.9794
151,4913.22,755000,-341.9083251953125,151,36.9676,4881.08,16.562
152,5004.75,760000,-342.71722412109375,152,36.7947,5036.41,16.6821
153,4867.65,765000,-370.93572998046875,153,37.8346,4928.43,16.8505
154,4943.04,770000,-411.7099609375,154,37.8988,4935.73,19.7429
155,4728.15,775000,-367.92266845703125,155,37.5849,5085.55,15.4816
156,4974.73,780000,-354.4637451171875,156,37.1084,5012.06,17.2299
157,5097.25,785000,-293.6311340332031,157,36.0276,5254.27,14.8639
158,4876.86,790000,-413.53375244140625,158,37.9779,4902.0,15.5865
159,4516.33,795000,-462.58319091796875,159,39.1967,5060.83,20.2625
160,4845.5,800000,-348.266845703125,160,35.7901,4988.02,13.9598
161,4888.04,805000,-342.2107238769531,161,36.3165,4926.01,15.1849
162,4874.3,810000,-408.2410888671875,162,37.5947,4940.16,16.1777
163,4982.1,815000,-352.9401550292969,163,35.6678,5074.75,15.2573
164,5060.96,820000,-352.8790588378906,164,36.0698,5175.87,16.2119
165,4963.18,825000,-411.562255859375,165,36.8194,5072.09,16.0438
166,4806.9,830000,-345.6841125488281,166,36.0472,5178.27,14.5962
167,4992.47,835000,-362.3998107910156,167,36.9339,5209.26,16.7836
168,4940.4,840000,-347.67608642578125,168,36.4674,5085.14,15.9161
169,4819.41,845000,-350.8191223144531,169,36.3546,5266.2,14.5527
170,4635.5,850000,-385.8115539550781,170,36.456,5105.35,16.7163
171,3924.9,855000,-467.04583740234375,171,36.2394,5065.81,25.5238
172,5014.58,860000,-395.54632568359375,172,36.2519,5081.33,16.0049
173,4825.47,865000,-471.1175537109375,173,37.4417,4893.42,19.3804
174,4763.57,870000,-411.890380859375,174,35.516,4732.38,14.4394
175,47.69,875000,-735.8485717773438,175,53.5074,48.04,51.799
176,129.72,880000,-821.9782104492188,176,50.5959,333.91,41.5084
177,1638.48,885000,-726.2437133789062,177,47.2777,1663.37,20.4081
178,2289.84,890000,-804.5418090820312,178,48.304,2317.91,24.1588
179,2831.28,895000,-714.34521484375,179,46.1122,2823.84,19.2
180,3501.39,900000,-627.4866943359375,180,40.4952,3454.59,15.6182
181,3804.07,905000,-603.38232421875,181,41.4892,3666.74,16.3797
182,2988.51,910000,-615.8477783203125,182,36.918,3041.32,15.0469
183,2212.29,915000,-683.0870971679688,183,39.1619,2322.07,16.8425
184,3467.35,920000,-580.7583618164062,184,38.5239,1577.65,16.771
185,3091.85,925000,-545.7609252929688,185,36.714,3335.96,20.7314
186,2985.25,930000,-689.6158447265625,186,37.5609,4380.2,19.7151
187,4867.7,935000,-441.39337158203125,187,37.5209,4955.5,17.0213
188,5012.22,940000,-437.32696533203125,188,36.6028,5047.24,16.8389
189,4797.29,945000,-442.85015869140625,189,36.5782,4868.67,15.649
190,4768.91,950000,-496.6515197753906,190,37.0167,4846.3,15.492
191,4877.7,955000,-539.125732421875,191,38.044,4954.06,17.1983
192,4929.36,960000,-468.4483947753906,192,37.1037,5008.09,16.9605
193,4409.78,965000,-559.960693359375,193,38.0474,4936.1,14.7815
