Running Reverse KL,Real Sto Return,Itration,Running Forward KL,Real Det Return,Running Env Steps,Reward Loss,Running Update Time
15.803,277.87,0,48.9404,344.05,0,-95.36924743652344,0
12.9219,351.27,1,49.1744,406.78,5000,-135.493408203125,1
19.0138,433.55,2,49.7994,446.77,10000,-64.93751525878906,2
13.9327,354.48,3,49.3255,398.01,15000,-234.1917266845703,3
13.3227,469.74,4,49.3359,324.19,20000,-272.3766784667969,4
13.3547,349.39,5,47.8573,550.12,25000,-241.01316833496094,5
14.7605,486.0,6,48.6956,558.4,30000,-244.74050903320312,6
14.9519,559.65,7,48.1802,512.15,35000,-224.5299835205078,7
14.0512,545.77,8,47.8511,667.36,40000,-282.5133361816406,8
16.6589,491.36,9,48.051,488.23,45000,-214.2281494140625,9
16.7109,600.3,10,47.928,1057.41,50000,-349.7503967285156,10
22.5588,688.31,11,47.4188,745.35,55000,-219.9794921875,11
16.9395,1066.95,12,47.0462,1234.52,60000,-270.2968444824219,12
21.0771,1053.34,13,46.7551,1182.07,65000,-145.30630493164062,13
15.6568,1406.61,14,47.4225,1611.1,70000,-275.1529541015625,14
18.6085,1348.84,15,46.4967,1495.13,75000,-249.48751831054688,15
17.2976,1098.18,16,46.8861,1187.4,80000,-235.4311981201172,16
25.067,1216.03,17,46.1197,1371.28,85000,-199.96392822265625,17
19.2677,1090.27,18,47.5872,1636.41,90000,-300.1103210449219,18
24.7917,912.28,19,47.7055,914.35,95000,-366.78485107421875,19
17.1031,1500.28,20,46.381,1843.53,100000,-271.7514953613281,20
23.0641,1226.62,21,46.8441,1302.34,105000,-194.1967010498047,21
14.6599,1392.61,22,47.6065,827.5,110000,-421.84503173828125,22
23.5555,1144.06,23,47.1493,1362.73,115000,-160.10476684570312,23
39.3246,1189.19,24,47.0751,1441.34,120000,-267.4064636230469,24
35.5111,1107.83,25,46.6696,1314.97,125000,-295.8002014160156,25
19.3611,904.27,26,46.1248,1068.46,130000,-349.9638671875,26
24.5562,1015.81,27,47.1764,1141.74,135000,-332.1622009277344,27
32.2122,1024.7,28,46.4472,1258.26,140000,-266.7315673828125,28
20.6791,1240.41,29,45.5837,1763.83,145000,-313.7611999511719,29
31.2184,1248.67,30,46.4384,1136.53,150000,-228.31175231933594,30
30.7703,1257.56,31,45.9193,1761.32,155000,-261.1095275878906,31
30.962,1259.57,32,46.8339,1576.38,160000,-257.2022705078125,32
29.3367,1305.05,33,46.0152,1333.86,165000,-284.5209045410156,33
35.4709,1703.35,34,46.228,1969.5,170000,-255.4989471435547,34
34.1141,1392.66,35,46.8037,1419.72,175000,-262.2191467285156,35
39.9196,1324.95,36,45.7284,1356.03,180000,-247.0335693359375,36
22.0675,1344.99,37,45.6463,1731.02,185000,-299.5034484863281,37
28.2572,1291.59,38,46.2748,1593.31,190000,-283.6239013671875,38
23.8184,1247.25,39,45.8621,1466.1,195000,-337.79962158203125,39
31.3172,1302.27,40,45.8803,1480.98,200000,-320.7828369140625,40
38.1013,1498.26,41,46.5478,2089.17,205000,-326.43927001953125,41
26.0009,1308.54,42,46.9874,1490.27,210000,-334.4200744628906,42
36.8206,1207.25,43,46.8656,1370.25,215000,-349.5030822753906,43
29.5433,1073.74,44,46.4653,1210.88,220000,-354.59466552734375,44
29.7742,1364.12,45,45.5155,1560.85,225000,-369.71795654296875,45
23.8477,1209.79,46,45.7535,1292.28,230000,-378.1843566894531,46
28.6165,1266.11,47,46.3648,1373.8,235000,-384.60772705078125,47
21.6216,1429.83,48,46.0033,1881.54,240000,-440.9807434082031,48
24.4869,1262.08,49,46.472,1712.75,245000,-363.7294616699219,49
19.3041,1344.89,50,45.8963,1959.83,250000,-465.5274658203125,50
28.4183,1257.71,51,46.2599,1345.8,255000,-423.3477478027344,51
28.0064,1088.55,52,47.1043,1187.3,260000,-471.626953125,52
30.7121,1330.63,53,45.6949,1566.02,265000,-430.6995849609375,53
22.7127,1337.79,54,46.4701,1570.41,270000,-495.6183776855469,54
31.7405,1411.72,55,46.5493,1704.07,275000,-440.3343811035156,55
31.5514,1400.53,56,45.5057,1486.18,280000,-447.5343933105469,56
17.9456,1547.76,57,45.5874,2655.66,285000,-531.627197265625,57
18.4116,1198.58,58,45.9575,1375.76,290000,-529.9429931640625,58
17.3556,1209.92,59,46.6981,1607.33,295000,-600.8741455078125,59
26.245,1588.94,60,46.4437,1582.66,300000,-564.2576904296875,60
18.3501,1286.58,61,46.1398,1568.52,305000,-556.5160522460938,61
16.0543,2301.22,62,45.9456,2388.13,310000,-524.69482421875,62
21.5688,1751.5,63,45.7884,2898.48,315000,-498.3147277832031,63
23.3129,1676.74,64,46.3692,1818.95,320000,-545.6113891601562,64
20.6692,1713.88,65,45.1543,2656.21,325000,-527.4719848632812,65
17.0991,2094.61,66,44.6978,3370.44,330000,-482.73248291015625,66
18.0639,1465.71,67,45.5034,1982.63,335000,-515.9746704101562,67
18.7092,2541.7,68,45.0893,3142.36,340000,-438.1903991699219,68
17.7104,3289.13,69,45.6409,3377.09,345000,-376.188232421875,69
18.3639,2521.56,70,45.3352,3337.11,350000,-375.3966979980469,70
22.7806,2348.24,71,45.6642,3001.93,355000,-521.27294921875,71
19.3935,2905.9,72,44.8097,3426.21,360000,-440.45721435546875,72
24.4896,1699.17,73,46.1613,2003.19,365000,-587.631103515625,73
23.2464,2077.13,74,45.5676,2571.85,370000,-612.929931640625,74
22.857,2099.83,75,45.888,3505.83,375000,-556.3338623046875,75
27.6327,1925.59,76,45.9882,2466.87,380000,-620.2178344726562,76
26.5166,1668.24,77,46.2003,1570.15,385000,-684.2780151367188,77
41.7816,1265.6,78,46.5095,1378.31,390000,-726.6238403320312,78
20.9902,2072.79,79,45.8826,3037.27,395000,-664.7310180664062,79
25.3904,1636.79,80,45.6453,3270.78,400000,-684.7015991210938,80
27.3993,2216.81,81,45.9793,3282.69,405000,-657.0001831054688,81
30.1218,1442.86,82,46.1433,1764.39,410000,-742.034423828125,82
17.3451,2764.88,83,45.2934,3651.78,415000,-617.8683471679688,83
19.4897,3547.09,84,46.045,3597.63,420000,-442.3108825683594,84
17.6928,3140.94,85,45.5686,3425.71,425000,-478.154541015625,85
18.0104,2135.97,86,45.6319,2368.3,430000,-704.2000732421875,86
16.2386,2414.56,87,45.4472,3314.21,435000,-619.9711303710938,87
21.8697,1931.03,88,46.0367,2145.27,440000,-699.27880859375,88
15.4539,2895.68,89,44.7669,3336.79,445000,-614.8820190429688,89
16.9564,3027.1,90,45.0445,3524.93,450000,-507.5293273925781,90
21.8153,3638.12,91,46.1773,3712.33,455000,-467.252685546875,91
18.1459,3204.71,92,44.3207,3611.85,460000,-484.8133544921875,92
18.7385,3421.77,93,45.027,2805.89,465000,-576.1029052734375,93
16.3911,2741.6,94,45.4753,2936.21,470000,-720.4879760742188,94
17.9772,3140.21,95,45.6387,3679.11,475000,-586.8939819335938,95
20.9232,3373.56,96,45.2605,3819.33,480000,-515.5699462890625,96
18.9033,3512.26,97,45.0521,3730.93,485000,-563.3134155273438,97
18.7834,3700.37,98,44.0274,3721.92,490000,-456.8541259765625,98
21.387,3342.2,99,45.1435,3161.63,495000,-618.866943359375,99
17.4121,3729.08,100,44.5546,3815.97,500000,-505.8184814453125,100
