Running Env Steps,Running Update Time,Running Reverse KL,Running Forward KL,Real Sto Return,Real Det Return,Reward Loss,Itration
0,0,12.9507,50.1627,501.39,487.41,684.990478515625,0
5000,1,15.4924,49.6657,319.83,336.01,613.9652709960938,1
10000,2,15.7733,49.2437,320.32,302.26,627.9994506835938,2
15000,3,31.6472,51.281,239.14,151.44,1001.6913452148438,3
20000,4,17.0395,49.2659,342.72,490.42,792.8093872070312,4
25000,5,13.2867,49.2031,364.88,350.77,475.3294677734375,5
30000,6,13.5073,49.2365,356.47,385.04,452.5992126464844,6
35000,7,23.6556,49.1101,354.86,267.79,686.954833984375,7
40000,8,21.8,48.5204,566.29,483.48,537.6729125976562,8
45000,9,19.3398,48.4384,511.84,517.52,500.5885314941406,9
50000,10,29.7476,48.8693,512.54,499.89,609.1442260742188,10
55000,11,17.0894,48.782,526.53,638.43,301.3431396484375,11
60000,12,14.4169,47.9596,570.77,641.26,184.54273986816406,12
65000,13,18.3394,47.832,539.87,587.1,195.6624755859375,13
70000,14,15.405,47.9663,580.11,662.62,32.65581130981445,14
75000,15,15.5483,48.1459,641.79,637.34,-59.957733154296875,15
80000,16,16.4658,47.5802,698.93,699.17,-256.2089538574219,16
85000,17,14.091,48.318,686.6,713.47,-252.70704650878906,17
90000,18,15.1113,47.8941,623.77,666.12,-476.1488342285156,18
95000,19,14.1942,47.5811,651.43,713.39,-448.86590576171875,19
100000,20,13.5294,47.3199,828.41,917.72,-479.1044006347656,20
105000,21,13.4404,47.3107,1001.05,1044.21,-628.4386596679688,21
110000,22,16.3521,47.6759,1125.78,1257.3,-480.1887512207031,22
115000,23,15.5114,47.4799,731.04,894.92,-675.9033813476562,23
120000,24,24.1292,48.267,950.47,889.96,-355.29345703125,24
125000,25,15.6886,47.3508,845.99,942.88,-786.0394897460938,25
130000,26,14.1231,46.6857,982.49,1249.84,-866.6744995117188,26
135000,27,13.6941,47.4383,984.89,1569.85,-909.3783569335938,27
140000,28,14.0757,47.6817,719.8,752.39,-933.0686645507812,28
145000,29,14.367,46.8889,1057.1,826.77,-937.8552856445312,29
150000,30,17.4057,46.7935,1479.43,2154.58,-798.5076293945312,30
155000,31,15.237,46.5878,1596.36,1860.95,-856.9589233398438,31
160000,32,19.5297,47.3924,1163.24,1310.05,-693.7202758789062,32
165000,33,18.1513,47.2287,1079.08,1042.6,-996.1121826171875,33
170000,34,16.8828,46.8558,1325.01,1760.09,-1006.51806640625,34
175000,35,21.385,47.0492,1087.0,1331.11,-1128.6724853515625,35
180000,36,17.5381,46.515,1147.73,1317.24,-1120.98193359375,36
185000,37,17.3255,46.6947,1227.76,1533.01,-1195.120849609375,37
190000,38,16.294,46.3685,1161.5,1274.73,-1295.0849609375,38
195000,39,15.6649,46.7295,900.89,682.83,-1353.49267578125,39
200000,40,16.5441,47.4509,1233.79,1353.32,-1459.1451416015625,40
205000,41,22.7969,46.5341,1802.59,2903.77,-1431.879150390625,41
210000,42,15.474,46.8173,1357.45,1458.47,-1578.85400390625,42
215000,43,18.6597,46.2692,2217.51,3256.85,-1479.75048828125,43
220000,44,21.0084,46.4681,1079.84,1320.73,-1413.09521484375,44
225000,45,17.9272,46.32,1516.82,1702.32,-1582.38916015625,45
230000,46,16.048,47.1738,1107.08,1220.99,-1809.759521484375,46
235000,47,19.5978,46.3027,1315.34,1718.1,-1755.0146484375,47
240000,48,17.0539,46.3846,1229.99,276.1,-1845.151611328125,48
245000,49,21.1521,46.5253,2363.21,3503.51,-1461.211669921875,49
250000,50,19.0306,45.7652,1240.05,1325.63,-1905.549560546875,50
255000,51,16.5379,46.1955,1559.14,1969.12,-1853.978271484375,51
260000,52,16.9936,45.3619,1739.66,2059.29,-1863.104248046875,52
265000,53,20.2358,46.0516,1325.2,1579.45,-2120.319580078125,53
270000,54,19.662,45.8498,1255.37,1483.37,-2124.492431640625,54
275000,55,15.3894,45.8768,1417.66,1550.86,-2167.662353515625,55
280000,56,17.9325,46.4846,1815.34,2563.92,-2111.947998046875,56
285000,57,15.967,44.8499,2010.96,3493.09,-1954.424072265625,57
290000,58,14.7051,45.5777,1556.98,2192.38,-2213.928466796875,58
295000,59,14.8566,46.5191,1230.56,1388.33,-2405.065185546875,59
300000,60,16.5554,46.1612,1914.89,2609.71,-2326.069580078125,60
305000,61,14.1086,45.647,1658.55,1634.03,-2566.084716796875,61
310000,62,18.0335,45.9503,1572.79,2046.02,-2595.3203125,62
315000,63,14.9176,46.9996,945.28,748.93,-2949.1259765625,63
320000,64,15.3384,45.4503,1603.02,1893.97,-2579.499755859375,64
325000,65,14.2421,45.5339,1662.75,1817.04,-2688.76708984375,65
330000,66,14.5226,45.3752,1597.31,1702.03,-2819.511962890625,66
335000,67,16.0104,45.8558,1694.05,1944.26,-2689.68994140625,67
340000,68,13.9321,45.7612,1672.53,1797.72,-2848.32568359375,68
345000,69,15.7903,46.0209,1500.13,2342.63,-2902.597900390625,69
350000,70,19.8535,44.9497,2650.64,3573.82,-2279.367919921875,70
355000,71,17.1487,46.485,1667.42,2925.46,-3094.14794921875,71
360000,72,16.304,44.7643,2260.19,3446.11,-2546.786865234375,72
365000,73,18.5517,45.1109,3395.71,3588.96,-2414.193115234375,73
370000,74,16.6467,45.1144,2994.27,3622.85,-2576.38525390625,74
375000,75,17.2397,44.9904,2560.12,3506.75,-2650.825927734375,75
380000,76,23.1207,46.4315,3312.57,3667.28,-2368.919189453125,76
385000,77,20.5063,46.0392,3183.02,3492.23,-2425.614990234375,77
390000,78,18.1542,44.8384,2549.03,3297.38,-2613.456298828125,78
395000,79,19.2271,44.8576,2774.57,3498.49,-2757.95458984375,79
400000,80,22.8761,44.6151,2308.15,2842.14,-2620.470947265625,80
405000,81,21.0971,45.78,2594.59,3015.75,-2649.279541015625,81
410000,82,16.3201,45.0017,2602.2,2739.18,-2727.610107421875,82
415000,83,15.507,45.3869,2039.25,2839.27,-3181.1943359375,83
420000,84,14.0589,45.3408,1714.75,1998.39,-3365.4228515625,84
425000,85,15.1073,44.5459,2225.33,3243.39,-3213.4892578125,85
430000,86,15.9194,45.4121,2199.21,3095.93,-3126.0849609375,86
435000,87,18.1839,45.7222,3130.56,3549.85,-2917.99755859375,87
440000,88,15.1626,45.3242,2498.56,3073.02,-3216.274169921875,88
445000,89,14.8102,45.0935,1777.59,2317.28,-3388.16748046875,89
450000,90,18.1219,44.3712,2998.0,3561.17,-2913.740966796875,90
455000,91,20.1871,44.3885,2986.76,3605.3,-2681.095703125,91
460000,92,21.1471,45.5874,3495.34,3553.52,-2886.221923828125,92
465000,93,17.051,44.9298,3241.83,3578.52,-3064.44921875,93
470000,94,18.6683,44.2915,3524.08,3617.02,-2911.464111328125,94
475000,95,20.5104,45.4927,3507.99,3647.15,-3036.94482421875,95
480000,96,21.93,45.2183,3682.12,3673.15,-3160.838134765625,96
485000,97,20.5326,44.8236,3690.42,3710.1,-3054.390380859375,97
490000,98,21.9415,44.2593,3053.96,3003.61,-3143.818603515625,98
495000,99,33.3302,45.0475,1383.04,1353.51,-3535.72119140625,99
500000,100,26.3508,46.9487,1071.82,1131.62,-3916.806396484375,100
505000,101,32.2335,48.4666,753.37,747.04,-3920.316650390625,101
510000,102,22.2035,45.6028,1726.52,1670.35,-3545.08837890625,102
515000,103,22.473,46.6926,1325.32,2480.01,-4345.68896484375,103
520000,104,18.3271,46.0542,2053.0,2334.55,-4189.66943359375,104
525000,105,23.3004,46.3217,3040.7,3409.88,-3377.85546875,105
530000,106,22.6831,46.4047,3494.72,3550.75,-3553.714599609375,106
535000,107,17.6532,44.8555,2735.01,3148.51,-3806.247802734375,107
540000,108,20.6336,44.906,3225.9,3279.16,-3537.678955078125,108
545000,109,18.5932,45.0081,3070.41,3136.92,-3793.6787109375,109
550000,110,20.6942,44.4038,3513.34,3629.06,-3551.83984375,110
555000,111,20.2036,44.3016,3362.17,3629.1,-3555.99609375,111
560000,112,17.7518,44.1867,2732.36,3023.36,-3601.5927734375,112
565000,113,19.9764,44.2485,3384.66,3574.33,-3690.32373046875,113
570000,114,20.0193,44.3141,3208.29,3583.72,-3786.091064453125,114
575000,115,20.2965,44.0648,3668.14,3682.47,-3689.3642578125,115
580000,116,20.4503,44.8737,3506.86,3554.53,-3871.552490234375,116
585000,117,22.2241,45.3397,3612.84,3664.68,-4006.93994140625,117
590000,118,19.557,44.5682,3421.39,3648.4,-4008.90869140625,118
595000,119,47.6617,50.5863,149.96,120.79,-4676.68505859375,119
600000,120,23.4535,46.8739,1970.5,3349.88,-5106.89013671875,120
605000,121,23.145,46.778,3508.21,3481.97,-4254.5361328125,121
610000,122,20.9559,45.2929,3112.41,3190.2,-4460.25,122
615000,123,19.0214,44.0234,3040.01,3186.15,-4415.83056640625,123
620000,124,17.149,44.2331,2755.74,3176.06,-4703.1240234375,124
625000,125,20.6611,44.9721,3157.89,3471.34,-4383.56005859375,125
630000,126,19.3143,44.5133,3219.28,3472.08,-4349.2314453125,126
635000,127,20.0325,44.3934,3277.38,3697.82,-4559.95849609375,127
640000,128,16.3888,44.8714,3204.83,139.49,-5014.564453125,128
645000,129,18.8629,44.009,3393.26,3739.41,-4479.55517578125,129
650000,130,18.8828,44.1762,3557.11,3604.09,-4566.087890625,130
655000,131,20.5655,44.3552,3659.5,3702.78,-4571.29541015625,131
660000,132,20.146,43.7269,3705.52,3762.11,-4422.0830078125,132
665000,133,21.5378,44.5594,3618.25,3762.56,-4608.3935546875,133
670000,134,19.1515,44.2333,3492.99,3385.52,-4847.17333984375,134
675000,135,16.5955,43.8601,3632.74,3676.05,-4782.8740234375,135
680000,136,16.514,44.2935,3589.83,3648.58,-4790.57861328125,136
685000,137,19.1996,44.1941,3681.51,3752.07,-4767.1171875,137
690000,138,17.1272,43.9313,3641.06,3681.63,-4863.0380859375,138
695000,139,17.2175,44.0078,3640.64,3771.69,-4877.3525390625,139
700000,140,18.0359,44.7649,3350.82,3711.12,-5089.978515625,140
705000,141,19.7995,44.1411,3603.58,3673.14,-4939.18359375,141
710000,142,19.4231,44.2311,3575.48,3526.2,-4990.2978515625,142
715000,143,19.7482,44.4373,3616.5,3642.4,-4995.359375,143
720000,144,18.6171,44.0117,3348.76,3645.36,-4983.38818359375,144
725000,145,16.9313,44.7038,3634.88,3673.09,-5138.6708984375,145
730000,146,18.3303,44.699,3698.74,3712.23,-4949.61865234375,146
735000,147,19.2711,44.5342,3402.23,3605.95,-5208.64208984375,147
740000,148,17.6161,44.1791,3634.02,3597.5,-5355.2119140625,148
745000,149,19.334,43.9889,3678.1,3733.82,-5218.783203125,149
750000,150,18.1525,44.4233,3681.18,3733.01,-5315.6923828125,150
755000,151,18.5472,44.2736,3632.58,3672.84,-5303.5390625,151
760000,152,18.1264,44.6437,3559.58,3638.22,-5429.47314453125,152
765000,153,19.2317,44.132,3755.99,3775.15,-5440.46923828125,153
770000,154,17.2882,44.1989,3617.98,3621.61,-5607.48291015625,154
775000,155,19.5098,44.3579,3727.29,3780.33,-5677.0146484375,155
780000,156,20.1331,44.3572,3750.11,3782.82,-5516.76220703125,156
785000,157,22.6606,44.9953,3779.36,3800.38,-5603.39697265625,157
790000,158,19.5291,43.8345,3884.93,3902.16,-5721.2109375,158
795000,159,21.206,44.3346,3830.23,3809.92,-5723.77783203125,159
800000,160,19.2201,44.1605,3817.2,3852.45,-5584.1298828125,160
805000,161,18.4206,44.0461,3695.62,3946.38,-5777.2138671875,161
810000,162,18.6245,43.6207,3802.34,3784.97,-5728.462890625,162
815000,163,17.9748,43.9129,3829.78,3796.31,-5710.7412109375,163
820000,164,19.9361,43.9389,3853.52,3866.62,-5656.6708984375,164
825000,165,19.3128,43.8705,3835.92,3935.81,-5751.46923828125,165
830000,166,18.708,43.7223,3758.16,3859.42,-5702.55029296875,166
835000,167,19.8506,43.9208,3896.25,3947.49,-5827.9619140625,167
840000,168,18.6935,43.4724,3851.13,3847.56,-5810.697265625,168
845000,169,17.497,43.7126,3829.18,3818.15,-5953.7021484375,169
850000,170,18.2793,43.4434,3912.77,3930.61,-6013.80810546875,170
855000,171,17.5607,44.2335,3837.53,3822.75,-6058.43359375,171
860000,172,19.8592,43.6654,3921.03,4042.75,-6091.66455078125,172
865000,173,18.5484,43.3892,3895.0,4025.59,-6426.43212890625,173
870000,174,18.493,43.633,3941.61,4020.04,-6109.15576171875,174
875000,175,19.1065,43.9553,3776.58,4005.68,-6225.09521484375,175
880000,176,18.7741,43.7425,3918.69,3916.54,-6160.61279296875,176
885000,177,19.0573,43.6853,3851.11,3974.24,-6181.1865234375,177
890000,178,18.5182,43.3237,3931.55,3945.37,-6215.33349609375,178
895000,179,20.6577,43.5975,4016.98,4120.4,-6226.8544921875,179
900000,180,18.5631,43.7529,4001.05,4021.54,-6363.22900390625,180
905000,181,18.4255,43.3856,3881.23,3875.14,-6502.8095703125,181
910000,182,18.73,43.5282,3949.71,4027.22,-6473.38671875,182
915000,183,19.4404,43.9606,3956.57,3959.9,-6842.7158203125,183
920000,184,19.0187,43.3783,3583.16,4015.83,-6599.68798828125,184
925000,185,18.1163,44.0941,3931.01,3958.96,-6755.03564453125,185
930000,186,18.0029,44.0368,3837.01,3947.01,-6729.916015625,186
935000,187,17.2608,43.7415,3907.69,3929.02,-6803.8515625,187
940000,188,16.6633,43.6139,3906.12,3918.48,-6922.22802734375,188
945000,189,19.1094,43.8415,3941.32,3996.55,-6922.474609375,189
950000,190,19.9757,44.0377,3991.38,4011.89,-6997.1826171875,190
955000,191,18.0389,44.0041,3932.26,3958.36,-7060.1650390625,191
960000,192,18.113,44.1876,3939.58,3906.03,-7061.431640625,192
965000,193,18.2545,43.9323,3838.14,3995.56,-7056.51806640625,193
