Real Sto Return,Running Env Steps,Running Update Time,Running Forward KL,Reward Loss,Itration,Real Det Return,Running Reverse KL
429.49,0,0,48.7064,717.3525390625,0,407.22,12.7954
280.06,5000,1,49.2576,112.39714050292969,1,220.48,12.4681
278.56,10000,2,50.6214,-231.97247314453125,2,382.68,18.352
370.17,15000,3,48.9254,269.24652099609375,3,380.27,12.6536
315.39,20000,4,49.0346,-187.19064331054688,4,349.53,23.7168
447.42,25000,5,48.788,-274.5671691894531,5,502.92,13.5714
453.44,30000,6,49.0664,-246.98475646972656,6,491.26,25.0211
451.07,35000,7,48.2168,-530.9295654296875,7,481.22,30.4055
544.82,40000,8,48.2628,-54.64004898071289,8,605.43,14.7646
445.43,45000,9,48.2786,-527.3700561523438,9,469.78,17.4999
512.22,50000,10,48.5962,-286.7929382324219,10,505.17,22.9015
535.37,55000,11,48.1708,-102.39935302734375,11,569.64,20.9323
516.51,60000,12,49.0508,-273.0716552734375,12,527.3,34.446
475.49,65000,13,48.4758,-234.99966430664062,13,489.46,24.1949
486.3,70000,14,48.7009,-308.48095703125,14,488.83,20.1053
550.54,75000,15,47.6214,-844.9593505859375,15,562.12,32.7736
557.02,80000,16,47.9733,-469.9556579589844,16,650.41,19.6894
601.17,85000,17,47.2127,-272.75274658203125,17,705.58,15.8269
889.33,90000,18,47.2543,-1099.4708251953125,18,956.57,21.7155
762.99,95000,19,47.1702,-1616.338623046875,19,744.8,34.4198
953.13,100000,20,47.1447,-1732.435302734375,20,1061.82,36.7833
873.67,105000,21,47.579,-1703.0767822265625,21,896.61,44.0811
731.54,110000,22,47.2717,-1773.58447265625,22,661.33,43.2247
927.67,115000,23,46.7319,-1721.7122802734375,23,1225.51,34.5768
868.76,120000,24,47.1255,-2028.94091796875,24,1357.41,40.3732
980.44,125000,25,46.7358,-1894.4500732421875,25,1401.3,39.3778
994.11,130000,26,46.5386,-1820.9591064453125,26,1196.54,28.4485
931.14,135000,27,46.6589,-1732.8837890625,27,1241.56,19.1239
826.62,140000,28,47.3354,-1207.8621826171875,28,500.39,16.5651
806.34,145000,29,46.5571,-1680.239501953125,29,404.54,16.5682
820.78,150000,30,46.8948,-1550.7974853515625,30,1125.61,15.0431
858.82,155000,31,46.8936,-1842.5870361328125,31,912.92,16.3975
846.75,160000,32,47.1216,-1787.815185546875,32,862.15,16.4177
827.65,165000,33,46.9311,-1892.83642578125,33,947.76,16.447
1103.1,170000,34,46.0939,-1598.7967529296875,34,1252.21,14.5197
943.32,175000,35,46.6738,-1702.3787841796875,35,1134.54,15.0746
994.62,180000,36,46.0438,-1741.120849609375,36,1166.25,14.6322
946.39,185000,37,46.3462,-1934.7960205078125,37,1137.74,20.867
995.33,190000,38,46.0433,-1657.0191650390625,38,1128.05,15.6945
733.02,195000,39,47.2407,-2096.468017578125,39,609.08,43.268
